gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.01,1766877220088
0,0.03,1766877220881
0,0,1766877221688
0,0,1766877222474
0,0,1766877223249
0,0,1766877224082
0,0,1766877224942
0,0.06,1766877225663
0,0,1766877226467
0,0,1766877227320
0,0,1766877228131
0,0,1766877229050
0,0,1766877229805
0,0,1766877230698
0,0,1766877231615
0,0,1766877232359
0,5,1766877233284
0,0.05,1766877234204
0,0.05,1766877235157
0,0,1766877236063
0,0,1766877236914
0,0.01,1766877237733
0,0,1766877238728
0,0,1766877239478
0,0,1766877240251
0,0,1766877241206
0,0,1766877241984
0,0,1766877242797
0,0,1766877243771
0,0,1766877244708
0,0.06,1766877245448
0,0,1766877246462
0,0,1766877247462
0,0,1766877248261
0,0,1766877249238
0,0,1766877250078
0,0.05,1766877250881
0,0.06,1766877251882
0,0.06,1766877252685
0,0.05,1766877253483
0,0,1766877254495
0,0,1766877255297
0,0,1766877256102
0,0,1766877257038
0,0.01,1766877257925
0,0,1766877258725
0,0,1766877259666
0,0.06,1766877260495
0,0.05,1766877261281
0,0,1766877262224
0,0.05,1766877263164
0,0,1766877263899
0,0,1766877264785
0,0,1766877265758
0,0,1766877266542
0,0,1766877267443
0,0,1766877268397
0,0,1766877269218
0,0,1766877270130
0,0,1766877271101
0,0.05,1766877271822
0,0,1766877272708
0,0.06,1766877273591
0,0,1766877274385
0,0,1766877275258
0,0,1766877276153
0,0,1766877276905
0,0,1766877277806
0,0,1766877278738
0,0,1766877279550
0,0,1766877280471
0,0,1766877281374
0,0,1766877282182
0,0,1766877283052
0,0,1766877283919
0,0,1766877284743
0,0,1766877285787
0,0,1766877286603
0,0,1766877287384
0,0,1766877288430
0,0,1766877289258
0,0,1766877289952
0,0,1766877290960
0,0,1766877291831
0,0,1766877292599
0,0,1766877293429
0,0,1766877294267
0,0,1766877295050
0,0,1766877295933
0,0,1766877296744
0,0,1766877297526
0,0,1766877298437
0,0,1766877299372
0,0,1766877300178
0,0,1766877301087
0,0,1766877301951
0,0,1766877302736
0,0,1766877303682
0,0,1766877304450
0,0,1766877305214
0,0,1766877306232
0,0,1766877307125
0,0,1766877307946
0,0,1766877308894
0,0,1766877309612
0,0,1766877310475
0,0,1766877311320
0,0,1766877312149
0,0,1766877312985
0,0,1766877314033
0,0,1766877314818
0,0,1766877315591
0,0,1766877316540
0,0,1766877317362
0,0,1766877318105
0,0,1766877319128
0,0,1766877319915
0,0,1766877320661
0,0,1766877321541
0,0,1766877322370
0,0,1766877323195
0,0,1766877324179
0,0,1766877325062
0,0,1766877325830
0,6,1766877326758
0,0,1766877327574
0,0,1766877328302
0,0,1766877329226
0,0,1766877330162
0,6,1766877330961
0,5,1766877331788
0,0.05,1766877332689
0,0.06,1766877333485
0,0,1766877334489
0,0,1766877335231
0,0,1766877336033
0,0,1766877337014
0,0,1766877337881
0,0,1766877338699
0,0,1766877339573
0,0,1766877340374
0,0,1766877341181
0,0,1766877342183
0,0,1766877343019
