cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,4.6,1766877471733
0,5.1,1766877472838
0,5.1,1766877473776
0,5.2,1766877474732
0,5.2,1766877475671
0,5.0,1766877476699
0,5.4,1766877477694
0,5.3,1766877478656
0,5.2,1766877479671
0,5.0,1766877480712
0,5.0,1766877481761
0,5.4,1766877482739
0,4.9,1766877483740
0,4.9,1766877484804
0,4.5,1766877485895
0,5.1,1766877486845
0,5.1,1766877487845
0,4.6,1766877488802
0,4.7,1766877489919
0,4.1,1766877490867
0,5.1,1766877491823
0,5.1,1766877492865
0,5.1,1766877493926
0,5.1,1766877494999
0,5.2,1766877495964
0,4.8,1766877496977
0,5.0,1766877498150
0,3.9,1766877499233
0,3.9,1766877500172
0,4.0,1766877501060
0,3.7,1766877502037
0,3.8,1766877502978
0,3.9,1766877503915
0,3.8,1766877504821
0,3.8,1766877505754
0,3.8,1766877506758
0,3.9,1766877507757
0,3.9,1766877508697
0,3.8,1766877509637
0,3.2,1766877510695
0,4.0,1766877511617
0,3.8,1766877512628
0,3.8,1766877513510
0,3.9,1766877514496
0,3.7,1766877515505
0,3.8,1766877516463
0,3.8,1766877517427
0,4.0,1766877518400
0,3.8,1766877519372
0,3.8,1766877520467
0,4.2,1766877521433
0,5.1,1766877522394
0,4.6,1766877523350
0,4.7,1766877524371
0,4.3,1766877525567
0,4.6,1766877526500
0,4.2,1766877527430
0,4.9,1766877528475
0,4.5,1766877529569
0,4.3,1766877530612
0,4.5,1766877531710
0,4.3,1766877532828
0,4.3,1766877533976
0,4.3,1766877535031
0,4.4,1766877536111
0,3.3,1766877537412
0,4.2,1766877538571
0,4.4,1766877539616
0,4.3,1766877540691
0,4.5,1766877541732
0,4.3,1766877542833
0,4.4,1766877543898
0,4.3,1766877545002
0,4.3,1766877546109
0,4.2,1766877547284
0,4.2,1766877548372
0,3.7,1766877549506
0,4.0,1766877550664
0,4.4,1766877551726
0,4.3,1766877552868
0,4.4,1766877553967
0,4.3,1766877555089
0,4.2,1766877556231
0,4.2,1766877557322
0,4.3,1766877558481
0,4.3,1766877559620
0,4.4,1766877560636
0,4.3,1766877561682
0,3.4,1766877562979
0,4.3,1766877564060
0,4.5,1766877565125
0,4.4,1766877566191
0,4.2,1766877567235
0,4.4,1766877568313
0,4.4,1766877569377
0,5.2,1766877570336
0,3.8,1766877571420
0,3.8,1766877572388
0,4.0,1766877573330
0,3.8,1766877574319
0,3.7,1766877575237
0,3.5,1766877576297
0,3.9,1766877577305
0,3.8,1766877578278
0,3.8,1766877579194
0,4.1,1766877580105
0,3.8,1766877581035
0,3.9,1766877581988
0,4.9,1766877582877
0,5.0,1766877583829
0,4.7,1766877584922
0,4.9,1766877585895
0,4.5,1766877587067
0,4.4,1766877587991
0,4.0,1766877589062
0,4.6,1766877590177
0,4.3,1766877591190
0,4.5,1766877592252
0,4.4,1766877593308
0,4.6,1766877594333
0,4.2,1766877595387
0,4.4,1766877596410
0,4.3,1766877597417
0,4.4,1766877598486
0,4.4,1766877599580
0,4.4,1766877600722
0,3.4,1766877601945
0,4.4,1766877603026
0,4.3,1766877604123
0,4.5,1766877605141
0,4.4,1766877606179
0,4.4,1766877607195
0,5.1,1766877608105
0,4.2,1766877609125
0,3.9,1766877610046
0,3.8,1766877611052
0,4.0,1766877612041
0,5.0,1766877612966
0,5.0,1766877613878
0,4.6,1766877614845
0,5.1,1766877615875
0,4.4,1766877616981
0,4.7,1766877617903
0,4.4,1766877618868
0,5.2,1766877619819
0,4.9,1766877620888
0,4.7,1766877621913
0,4.7,1766877622949
0,4.9,1766877623895
0,4.6,1766877625037
0,4.6,1766877626079
0,5.0,1766877626995
0,3.8,1766877628306
0,4.7,1766877629410
0,4.7,1766877630429
0,5.1,1766877631361
0,4.8,1766877632386
0,4.5,1766877633448
0,5.0,1766877634391
0,5.1,1766877635338
0,4.7,1766877636455
0,4.6,1766877637625
0,4.9,1766877638608
0,4.9,1766877639631
0,4.2,1766877640763
0,4.5,1766877641885
0,4.9,1766877642840
0,5.0,1766877643828
0,4.5,1766877644930
0,4.7,1766877645903
0,5.0,1766877646890
0,5.1,1766877647967
0,4.7,1766877649058
0,4.8,1766877650041
0,4.9,1766877651108
0,4.6,1766877652168
0,4.7,1766877653098
0,4.4,1766877654156
0,4.5,1766877655369
0,4.5,1766877656389
0,4.9,1766877657349
0,5.0,1766877658384
0,4.7,1766877659420
0,4.6,1766877660445
0,4.9,1766877661414
0,5.0,1766877662446
0,4.4,1766877663665
0,4.7,1766877664672
0,5.1,1766877665600
0,4.5,1766877666679
0,4.3,1766877667917
0,5.4,1766877668802
0,5.6,1766877669629
0,3.6,1766877670590
0,3.3,1766877671355
0,3.9,1766877672156
0,5.5,1766877673016
0,5.8,1766877673792
0,5.7,1766877674579
0,5.3,1766877675449
0,5.6,1766877676233
0,5.3,1766877677090
0,5.4,1766877677921
0,4.1,1766877678676
0,4.3,1766877679487
0,5.1,1766877680518
0,5.2,1766877681468
0,4.9,1766877682464
0,4.7,1766877683557
0,4.7,1766877684545
0,5.0,1766877685520
0,4.9,1766877686581
0,4.7,1766877687614
0,4.8,1766877688588
0,4.8,1766877689701
0,4.7,1766877690780
0,4.5,1766877691807
0,4.2,1766877692836
0,4.3,1766877694001
0,4.6,1766877695140
0,4.7,1766877696202
0,5.1,1766877697135
0,4.7,1766877698157
0,4.6,1766877699186
0,4.9,1766877700200
0,5.0,1766877701131
0,4.5,1766877702276
0,4.4,1766877703336
0,5.0,1766877704332
0,4.8,1766877705296
0,3.6,1766877706447
0,5.1,1766877707479
0,5.1,1766877708621
0,4.6,1766877709623
0,5.0,1766877710569
