gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,36.0,1766877621193
0,35.0,1766877622811
0,35.0,1766877624253
0,34.0,1766877625725
0,38.0,1766877627044
0,39.0,1766877628641
0,36.0,1766877630092
0,36.0,1766877631409
0,35.0,1766877632879
0,35.0,1766877634289
0,36.0,1766877635591
0,39.0,1766877637090
0,37.0,1766877638578
0,36.0,1766877639978
0,39.0,1766877641421
0,38.0,1766877642814
0,36.0,1766877644264
0,36.0,1766877645716
0,36.0,1766877647093
0,38.0,1766877648514
0,37.0,1766877650009
0,37.0,1766877651421
0,37.0,1766877652842
0,36.0,1766877654315
0,36.0,1766877655847
0,36.0,1766877657242
0,36.0,1766877658608
0,39.0,1766877660049
0,38.0,1766877661426
0,36.0,1766877662981
0,36.0,1766877664432
0,36.0,1766877665856
0,36.0,1766877667446
0,35.0,1766877668745
0,35.0,1766877670135
0,35.0,1766877671288
0,33.0,1766877672549
0,33.0,1766877673705
0,33.0,1766877675003
0,33.0,1766877676193
0,32.0,1766877677445
0,32.0,1766877678610
0,33.0,1766877680029
0,33.0,1766877681437
0,34.0,1766877682797
0,35.0,1766877684231
0,35.0,1766877685573
0,34.0,1766877687045
0,34.0,1766877688474
0,34.0,1766877689930
0,33.0,1766877691409
0,33.0,1766877692947
0,33.0,1766877694533
0,33.0,1766877695965
0,33.0,1766877697293
0,33.0,1766877698723
0,33.0,1766877700081
0,34.0,1766877701582
0,33.0,1766877703132
0,33.0,1766877704536
0,33.0,1766877706224
0,33.0,1766877707694
0,34.0,1766877709191
0,34.0,1766877710518
0,34.0,1766877711867
0,33.0,1766877713191
0,33.0,1766877714545
0,33.0,1766877715908
0,35.0,1766877717203
0,33.0,1766877718519
0,33.0,1766877719766
0,33.0,1766877721001
0,32.0,1766877722193
0,32.0,1766877723375
0,31.0,1766877724589
0,31.0,1766877725770
0,31.0,1766877726959
0,31.0,1766877728193
0,31.0,1766877729396
0,31.0,1766877730568
0,29.0,1766877731773
0,29.0,1766877732989
0,29.0,1766877734195
0,29.0,1766877735481
0,29.0,1766877736754
0,29.0,1766877737965
0,28.0,1766877739172
0,28.0,1766877740366
0,28.0,1766877741586
0,28.0,1766877742777
0,27.0,1766877743979
0,27.0,1766877745197
0,27.0,1766877746523
0,33.0,1766877747770
0,41.0,1766877748947
0,44.0,1766877750158
0,45.0,1766877751366
0,46.0,1766877752572
0,47.0,1766877753761
0,48.0,1766877754994
0,48.0,1766877756168
0,49.0,1766877757388
0,50.0,1766877758649
0,50.0,1766877759875
0,51.0,1766877761073
0,40.0,1766877762279
0,38.0,1766877763491
0,37.0,1766877764693
0,36.0,1766877765898
0,35.0,1766877767107
0,35.0,1766877768316
0,34.0,1766877769495
0,34.0,1766877770699
0,34.0,1766877771995
0,34.0,1766877773218
0,34.0,1766877774398
0,33.0,1766877775611
0,33.0,1766877776826
