gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,33.0,1766573281573
0,42.0,1766573282332
0,34.0,1766573283337
0,45.0,1766573283863
0,38.0,1766573284300
0,43.0,1766573284774
0,37.0,1766573285506
0,47.0,1766573286062
0,37.0,1766573286812
0,41.0,1766573287466
0,44.0,1766573287983
0,46.0,1766573288732
0,46.0,1766573289520
0,42.0,1766573290196
0,42.0,1766573290990
0,40.0,1766573291574
0,43.0,1766573292321
0,47.0,1766573293150
0,44.0,1766573293740
0,48.0,1766573294416
0,41.0,1766573295111
0,47.0,1766573295831
0,45.0,1766573296537
0,47.0,1766573297163
0,47.0,1766573297696
0,48.0,1766573298409
0,48.0,1766573299173
0,42.0,1766573299820
0,45.0,1766573300556
0,45.0,1766573301194
0,44.0,1766573302020
0,51.0,1766573302763
0,44.0,1766573303315
0,52.0,1766573303998
0,42.0,1766573304670
0,51.0,1766573305317
0,49.0,1766573306151
0,52.0,1766573306712
0,52.0,1766573307315
0,42.0,1766573308472
0,48.0,1766573309023
0,43.0,1766573309799
0,52.0,1766573310357
0,43.0,1766573310947
0,46.0,1766573311805
0,50.0,1766573312448
0,48.0,1766573312986
0,51.0,1766573313793
0,44.0,1766573314513
0,53.0,1766573315249
0,47.0,1766573315983
0,54.0,1766573316531
0,51.0,1766573317269
0,46.0,1766573318014
0,53.0,1766573318648
0,45.0,1766573319381
0,52.0,1766573319793
0,45.0,1766573320523
0,51.0,1766573321270
