memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.6,1766573160595
0,1.6,1766573161328
0,1.6,1766573162354
0,1.6,1766573163180
0,1.6,1766573163939
0,1.6,1766573164647
0,1.6,1766573165435
0,1.6,1766573166532
0,1.6,1766573167128
0,1.6,1766573167923
0,1.6,1766573168819
0,1.6,1766573169588
0,1.6,1766573170362
0,1.6,1766573171029
0,1.6,1766573171942
0,1.6,1766573172835
0,1.6,1766573173656
0,1.6,1766573174470
0,1.6,1766573175456
0,1.6,1766573176304
0,1.6,1766573176972
0,1.6,1766573177850
0,1.6,1766573178783
0,1.6,1766573179688
0,1.6,1766573180355
0,1.6,1766573181256
0,1.6,1766573182163
0,1.6,1766573182851
0,1.6,1766573183643
0,1.6,1766573184317
0,1.6,1766573185260
0,1.6,1766573186069
0,1.6,1766573186788
0,1.6,1766573187842
0,1.6,1766573188661
0,1.6,1766573189509
0,1.6,1766573190213
0,1.6,1766573190995
0,1.6,1766573191932
0,1.6,1766573192631
0,1.6,1766573193552
0,1.6,1766573194405
0,1.6,1766573195271
0,1.6,1766573196011
0,1.6,1766573196725
0,1.6,1766573197699
0,1.6,1766573198451
0,1.6,1766573199325
0,1.6,1766573200108
0,1.6,1766573201105
0,1.6,1766573201791
0,1.6,1766573202583
0,1.6,1766573203473
0,1.6,1766573204356
0,1.6,1766573205194
0,1.6,1766573205835
0,1.6,1766573206806
0,1.6,1766573207582
0,1.6,1766573208232
0,1.6,1766573209039
0,1.6,1766573209771
0,1.6,1766573210707
0,1.6,1766573211415
0,1.6,1766573212215
0,1.6,1766573213263
0,1.6,1766573214076
0,1.6,1766573214859
0,1.6,1766573215484
0,1.6,1766573216403
0,1.6,1766573217300
0,1.6,1766573218039
0,1.6,1766573219011
0,1.6,1766573219882
0,1.6,1766573220752
0,1.6,1766573221444
0,1.6,1766573222275
0,1.6,1766573223181
0,1.6,1766573223953
0,1.6,1766573224783
0,1.6,1766573225604
0,1.6,1766573226627
0,1.6,1766573227323
0,1.6,1766573228020
0,1.6,1766573228957
0,1.6,1766573229796
0,1.6,1766573230616
0,1.6,1766573231343
0,1.6,1766573232438
0,1.6,1766573233175
0,1.6,1766573233876
0,1.6,1766573234703
0,1.6,1766573235515
0,1.6,1766573236374
0,1.6,1766573237062
0,1.6,1766573237973
0,1.6,1766573238943
0,1.6,1766573239729
0,1.6,1766573240528
0,1.6,1766573241281
0,1.6,1766573242325
0,1.6,1766573243061
0,1.6,1766573243851
0,1.6,1766573244799
0,1.6,1766573245595
0,1.6,1766573246378
0,1.6,1766573247067
0,1.6,1766573248004
0,1.6,1766573248859
0,1.6,1766573249657
0,1.6,1766573250394
0,1.6,1766573251278
0,1.6,1766573252126
0,1.6,1766573252848
0,1.6,1766573253690
0,1.6,1766573254569
0,1.6,1766573255412
0,1.6,1766573256089
0,1.6,1766573256763
