cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.9,1766572562221
0,1.9,1766572564018
0,1.8,1766572565964
0,2.1,1766572567759
0,1.8,1766572569640
0,1.9,1766572571597
0,1.9,1766572573487
0,1.9,1766572575356
0,1.8,1766572577422
0,2.0,1766572579196
0,2.0,1766572581170
0,1.7,1766572583198
0,2.1,1766572585049
0,2.0,1766572586982
0,1.8,1766572589018
0,2.0,1766572590899
0,2.0,1766572592935
0,1.7,1766572594800
0,2.0,1766572596643
0,2.0,1766572598641
0,1.8,1766572600475
0,2.1,1766572602380
0,2.0,1766572604273
0,1.9,1766572606153
0,1.9,1766572608158
0,2.0,1766572610032
0,2.0,1766572611948
0,1.8,1766572613940
0,2.0,1766572615815
0,2.0,1766572617780
0,1.7,1766572619744
0,2.1,1766572621586
0,1.9,1766572623616
0,1.8,1766572625537
0,2.1,1766572627489
0,2.0,1766572629393
0,1.8,1766572631263
0,2.0,1766572633415
0,2.0,1766572635394
0,2.0,1766572637272
0,1.9,1766572639331
0,2.0,1766572641196
0,2.0,1766572643103
0,1.7,1766572645123
0,2.0,1766572647028
0,2.0,1766572649022
0,1.7,1766572651017
0,2.1,1766572652853
0,2.0,1766572654893
0,1.8,1766572656845
0,2.0,1766572658753
0,2.0,1766572660682
0,1.9,1766572662541
0,1.9,1766572664599
0,2.0,1766572666480
0,2.0,1766572668392
0,1.8,1766572670424
0,2.1,1766572672279
0,2.0,1766572674248
0,1.8,1766572676168
0,2.1,1766572678005
0,2.0,1766572680028
0,1.8,1766572681866
0,2.0,1766572683830
0,2.0,1766572685764
0,2.0,1766572687692
0,1.9,1766572689821
0,2.0,1766572691716
0,2.0,1766572693718
0,1.7,1766572695834
0,2.0,1766572697706
0,2.0,1766572699712
0,1.8,1766572701764
0,2.1,1766572703609
0,2.0,1766572705575
0,1.8,1766572707519
0,2.0,1766572709395
0,2.0,1766572711348
0,1.9,1766572713228
0,2.0,1766572715246
0,2.1,1766572717095
0,2.1,1766572719024
0,1.8,1766572721152
0,2.0,1766572722995
0,2.0,1766572724937
0,1.7,1766572726862
0,2.0,1766572728734
0,2.0,1766572730733
0,1.8,1766572732578
0,2.0,1766572734545
0,2.1,1766572736470
0,1.9,1766572738347
0,1.9,1766572740497
0,2.0,1766572742347
0,2.1,1766572744252
0,1.8,1766572746350
0,2.0,1766572748206
0,2.0,1766572750216
0,1.8,1766572752155
0,2.1,1766572754015
0,2.0,1766572755998
0,1.8,1766572757860
0,2.0,1766572759750
0,2.0,1766572761711
0,1.9,1766572763601
0,1.9,1766572765647
0,2.0,1766572767508
0,2.0,1766572769561
0,1.8,1766572771575
0,2.0,1766572773471
0,2.0,1766572775525
0,1.7,1766572777585
0,2.0,1766572779448
0,1.9,1766572781502
0,1.8,1766572783399
0,2.1,1766572785322
0,2.0,1766572787323
0,1.8,1766572789180
0,2.0,1766572791221
0,2.0,1766572793189
0,1.9,1766572795072
0,1.8,1766572797149
0,2.0,1766572799031
0,2.0,1766572801004
0,1.7,1766572803082
0,2.0,1766572804989
0,2.1,1766572807139
0,1.8,1766572809122
0,2.1,1766572810972
0,2.0,1766572812969
0,1.8,1766572814819
0,2.0,1766572816712
0,2.0,1766572818674
0,1.9,1766572820568
0,2.0,1766572822585
0,2.0,1766572824435
0,2.0,1766572826409
0,1.8,1766572828484
0,2.1,1766572830342
0,2.0,1766572832439
0,1.7,1766572834498
0,2.1,1766572836334
0,2.0,1766572838323
0,1.8,1766572840214
0,2.0,1766572842160
0,2.0,1766572844082
0,1.9,1766572845931
0,1.9,1766572847960
0,2.0,1766572849798
0,2.0,1766572851705
0,1.8,1766572853774
0,2.0,1766572855686
0,2.0,1766572857748
0,1.7,1766572859787
0,2.1,1766572861647
0,2.0,1766572863636
0,1.8,1766572865516
0,2.2,1766572867432
0,2.0,1766572869404
0,1.8,1766572871269
0,2.0,1766572873363
0,2.0,1766572875330
0,1.9,1766572877266
0,1.9,1766572879350
0,2.1,1766572881226
0,2.0,1766572883223
0,1.7,1766572885305
0,2.1,1766572887149
0,2.0,1766572889238
0,1.7,1766572891267
0,2.1,1766572893161
0,2.0,1766572895217
0,1.8,1766572897069
0,2.0,1766572898943
0,2.0,1766572900877
