gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,2,1766572562451
0,0.03,1766572564280
0,0,1766572566219
0,0.02,1766572567989
0,0,1766572569946
0,2,1766572571790
0,0,1766572573794
0,0,1766572575680
0,0,1766572577644
0,0,1766572579501
0,0.02,1766572581438
0,0,1766572583424
0,0.02,1766572585324
0,0,1766572587240
0,1,1766572589247
0,0,1766572591193
0,0,1766572593157
0,0,1766572595025
0,0,1766572596950
0,0,1766572598852
0,0.03,1766572600777
0,0,1766572602614
0,0,1766572604545
0,0,1766572606435
0,0,1766572608380
0,0.03,1766572610353
0,0,1766572612220
0,0,1766572614180
0,0,1766572616103
0,0,1766572618046
0,0,1766572620012
0,0,1766572621892
0,0.03,1766572623838
0,0,1766572625816
0,0,1766572627702
0,0.03,1766572629641
0,0,1766572631626
0,0,1766572633691
0,0,1766572635660
0,0.03,1766572637613
0,0,1766572639547
0,0.02,1766572641514
0,0.03,1766572643317
0,3,1766572645364
0,0,1766572647283
0,2,1766572649257
0,0,1766572651189
0,0,1766572653170
0,0,1766572655159
0,0,1766572657117
0,0,1766572659021
0,0,1766572660909
0,2,1766572662838
0,0,1766572664797
0,0,1766572666785
0,0.03,1766572668653
0,0,1766572670639
0,0,1766572672561
0,0,1766572674454
0,0,1766572676366
0,0,1766572678262
0,0,1766572680242
0,0,1766572682169
0,0,1766572684076
0,0,1766572686068
0,0,1766572688073
0,0.02,1766572690052
0,0,1766572692074
0,0,1766572693999
0,0,1766572696065
0,0,1766572697976
0,0,1766572699997
0,3,1766572701989
0,0,1766572703834
0,0,1766572705804
0,0.03,1766572707788
0,0,1766572709620
0,3,1766572711582
0,0,1766572713501
0,2,1766572715448
0,0,1766572717398
0,0,1766572719320
0,0,1766572721397
0,0,1766572723253
0,0,1766572725163
0,0,1766572727089
0,0.03,1766572729013
0,0,1766572730951
0,0,1766572732896
0,0,1766572734751
0,0,1766572736720
0,0,1766572738727
0,0,1766572740685
0,0,1766572742617
0,0,1766572744526
0,0,1766572746596
0,0,1766572748507
0,0,1766572750455
0,0,1766572752391
0,0.02,1766572754279
0,0,1766572756225
0,0,1766572758120
0,0,1766572759965
0,0,1766572761976
0,2,1766572763909
0,0,1766572765855
0,0.03,1766572767806
0,0,1766572769828
0,0,1766572771809
0,0,1766572773824
0,0,1766572775777
0,0,1766572777816
0,0.02,1766572779768
0,0,1766572781675
0,2,1766572783702
0,0,1766572785541
0,0,1766572787527
0,0,1766572789532
0,0,1766572791463
0,0,1766572793470
0,0,1766572795432
0,3,1766572797379
0,0,1766572799327
0,1,1766572801293
0,0,1766572803331
0,0,1766572805320
0,0.02,1766572807405
0,0,1766572809346
0,3,1766572811218
0,0,1766572813187
0,0.02,1766572815100
0,0,1766572816949
0,1,1766572818925
0,0,1766572820815
0,0,1766572822795
0,0,1766572824725
0,0,1766572826687
0,0,1766572828670
0,0,1766572830668
0,0,1766572832707
0,0,1766572834692
0,0.02,1766572836607
0,0,1766572838563
0,0,1766572840520
0,0,1766572842365
0,0,1766572844284
0,0,1766572846252
0,0,1766572848180
0,0,1766572850097
0,0,1766572851940
0,2,1766572854006
0,0,1766572855976
0,0,1766572858038
0,0.03,1766572860019
0,0,1766572861901
0,0,1766572863855
0,0,1766572865782
0,0.01,1766572867653
0,0,1766572869625
0,1,1766572871660
0,0,1766572873617
0,0,1766572875610
0,0.02,1766572877605
0,0,1766572879609
0,0,1766572881534
0,0,1766572883499
0,0.02,1766572885507
0,0,1766572887487
0,0,1766572889527
0,0,1766572891496
0,0,1766572893456
0,0,1766572895407
0,3,1766572897339
0,0,1766572899148
0,0,1766572901086
0,0,1766572903055
0,0,1766572904936
0,0,1766572906850
0,0,1766572908735
0,0,1766572910708
0,0,1766572912675
0,3,1766572914649
0,2,1766572916569
0,0,1766572918426
0,0,1766572920390
0,0.01,1766572922230
0,0,1766572924034
0,0,1766572925970
0,0,1766572927787
0,0,1766572929643
0,0,1766572931555
0,0,1766572933371
0,0,1766572935447
0,0,1766572937332
0,0,1766572939285
0,0,1766572941266
0,3,1766572943112
0,0.03,1766572945057
0,0,1766572947017
0,0,1766572949002
0,0,1766572950952
0,0,1766572952945
0,0,1766572954963
0,0.02,1766572956875
0,0,1766572958864
0,0,1766572960852
0,0,1766572962813
0,0,1766572964745
0,0,1766572966707
0,0,1766572968596
0,0,1766572970516
0,0,1766572972491
0,2,1766572974356
0,0,1766572976414
0,0,1766572978358
0,0,1766572980386
0,2,1766572982359
0,0,1766572984312
0,0,1766572986332
0,0,1766572988318
0,0.02,1766572990199
0,0,1766572992068
0,0,1766572993889
0,0,1766572995780
0,0,1766572997727
0,0.03,1766572999588
0,0,1766573001476
0,0,1766573003364
0,0,1766573005279
0,0,1766573007165
0,0,1766573009121
0,0,1766573010926
0,0,1766573012746
0,0,1766573014685
0,0,1766573016711
0,0,1766573018696
0,0,1766573020686
0,0,1766573022628
0,0,1766573024612
0,0,1766573026563
0,0,1766573028546
0,0,1766573030537
0,0,1766573032516
0,0,1766573034458
0,0,1766573036373
0,0,1766573038266
0,0,1766573040211
0,0.03,1766573042186
0,0,1766573044089
0,1,1766573046035
0,0,1766573048079
0,0,1766573050058
0,0,1766573052055
0,0,1766573054014
0,0,1766573055998
0,0,1766573057996
0,0,1766573059939
0,0,1766573061937
0,0,1766573063843
0,0,1766573065889
0,0,1766573067787
0,0,1766573069697
0,0,1766573071650
0,0,1766573073648
0,0,1766573075562
0,0,1766573077533
0,0.02,1766573079460
0,0,1766573081451
0,0,1766573083397
0,0,1766573085429
0,0,1766573087321
0,2,1766573089260
0,0,1766573091182
0,0,1766573093134
0,0,1766573095062
0,0,1766573097042
0,0,1766573098990
0,0,1766573100903
0,0,1766573102918
0,0,1766573104865
0,0,1766573106903
0,0,1766573108842
0,0,1766573110863
0,0,1766573112820
0,0,1766573114748
0,3,1766573116690
0,0,1766573118655
0,0,1766573120575
0,0,1766573122464
0,0,1766573124392
0,0.01,1766573126156
0,0,1766573128093
0,0.03,1766573129878
0,0.03,1766573131725
0,0,1766573133637
0,0,1766573135455
0,0,1766573137376
0,0,1766573139202
0,0,1766573141094
0,0.02,1766573142922
0,0,1766573144756
0,0.02,1766573146742
0,0,1766573148631
0,0,1766573150388
0,0,1766573152265
0,0.01,1766573154115
0,0.01,1766573155965
0,0.03,1766573157911
0,0,1766573159742
0,0,1766573161734
0,0.02,1766573163718
0,0,1766573165648
0,0,1766573167649
0,0,1766573169565
0,0,1766573171434
0,0,1766573173397
0,0,1766573175344
0,0,1766573177211
0,0,1766573179171
0,2,1766573181120
0,0,1766573183112
0,0.03,1766573185063
0,0,1766573187027
0,0,1766573189038
0,0,1766573190976
0,0,1766573192916
0,0.03,1766573194895
0,0,1766573196742
0,0,1766573198737
0,0,1766573200638
0,0,1766573202503
0,0,1766573204489
0,0,1766573206379
0,0,1766573208345
0,0,1766573210288
0,0,1766573212216
0,0,1766573214198
0,0,1766573216111
0,0.02,1766573218147
0,0,1766573220145
0,0.03,1766573222031
0,0,1766573224028
0,0,1766573226001
0,0.02,1766573227918
0,0,1766573229936
0,0,1766573231884
0,0,1766573233876
0,0.03,1766573235794
0,0,1766573237705
0,0,1766573239740
0,0,1766573241635
0,0,1766573243615
0,0.03,1766573245526
0,0,1766573247343
0,0,1766573249389
0,0,1766573251304
0,0,1766573253185
0,0,1766573255093
0,0.02,1766573256960
0,0,1766573258822
0,0,1766573260660
0,0.03,1766573262485
0,0,1766573264383
0,0.02,1766573266175
0,0,1766573268027
0,2,1766573269946
0,0,1766573271700
0,0,1766573273540
0,0,1766573275370
0,0,1766573277206
0,0,1766573279041
0,0,1766573280880
0,0,1766573282923
0,1.0,1766573284833
0,0,1766573286772
0,1.0,1766573288668
0,0,1766573290579
0,0.85,1766573292499
0,1.0,1766573294394
0,1.0,1766573296188
0,1.0,1766573297987
0,0,1766573299854
0,1.0,1766573301757
0,0.48,1766573303607
0,1.0,1766573305510
0,1.0,1766573307357
0,1.0,1766573309357
0,1.0,1766573311255
0,1.0,1766573313135
0,1.0,1766573315085
0,0,1766573317007
0,0.99,1766573318907
0,100,1766573320770
0,0.07,1766573322606
0,1.0,1766573324386
0,1.0,1766573326227
0,1.0,1766573328107
0,1.0,1766573329932
0,1.0,1766573331773
0,1.0,1766573333603
0,1.0,1766573335423
0,0.41,1766573337268
0,0.2,1766573339124
0,0.27,1766573340970
0,1.0,1766573342799
0,1.0,1766573344649
0,1.0,1766573346497
0,1.0,1766573348355
0,1.0,1766573350241
0,1.0,1766573352069
0,1.0,1766573353888
0,1.0,1766573355744
0,1.0,1766573357578
0,1.0,1766573359464
0,1.0,1766573361278
0,0.84,1766573363110
0,1.0,1766573364952
0,0.57,1766573366776
0,1.0,1766573368670
0,1.0,1766573370476
0,1.0,1766573372317
0,1.0,1766573374174
0,1.0,1766573376015
0,1.0,1766573377854
0,1.0,1766573379680
0,1.0,1766573381570
0,1.0,1766573383402
0,0.49,1766573385234
0,1.0,1766573387058
0,1.0,1766573388903
0,1.0,1766573390747
0,1.0,1766573392579
0,0.99,1766573394481
0,0.99,1766573396320
0,0,1766573398124
0,0,1766573399971
0,0,1766573401815
0,0,1766573403651
0,0,1766573405488
0,0,1766573407343
0,0,1766573409205
0,0,1766573411046
0,0,1766573412909
0,0,1766573414758
0,0,1766573416598
0,0,1766573418456
0,0,1766573420296
0,0,1766573422150
0,0,1766573423997
0,0,1766573425861
0,0,1766573427714
0,0,1766573429535
0,0,1766573431388
0,0,1766573433231
0,0,1766573435073
0,0,1766573436894
0,0,1766573438759
0,0,1766573440598
0,0,1766573442443
0,0,1766573444294
0,0,1766573446115
0,0,1766573447968
0,0,1766573449804
0,0,1766573451635
0,0,1766573453498
0,0,1766573455342
0,0,1766573457196
0,0,1766573459038
0,0,1766573460880
0,0,1766573462722
0,0,1766573464554
0,0,1766573466419
0,0,1766573468258
0,0,1766573470092
0,0,1766573471950
0,0,1766573473775
0,0,1766573475608
0,0,1766573477446
0,0,1766573479297
0,0,1766573481110
0,0,1766573482951
0,0,1766573484804
0,0,1766573486620
0,0,1766573488478
0,0,1766573490300
0,0,1766573492155
0,0,1766573493975
0,0,1766573495822
0,0,1766573497675
0,0,1766573499504
0,0,1766573501344
0,0,1766573503186
0,0,1766573505032
0,0,1766573506891
0,0,1766573508706
0,0,1766573510553
0,0,1766573512395
0,0,1766573514259
0,0,1766573516118
0,0,1766573517941
0,0,1766573519787
0,0,1766573521601
0,0,1766573523467
0,0,1766573525289
0,0,1766573527151
0,0,1766573529002
0,0,1766573530826
0,0,1766573532689
0,0,1766573534518
0,0,1766573536370
0,0,1766573538218
0,0,1766573540058
0,0,1766573541908
0,0,1766573543760
0,0,1766573545621
0,0,1766573547458
0,0,1766573549271
0,0,1766573551105
0,0,1766573552947
0,0,1766573554785
0,0,1766573556637
0,0,1766573558496
0,0,1766573560331
0,0,1766573562154
0,0,1766573564009
0,0,1766573565850
0,0,1766573567703
0,0,1766573569550
0,0,1766573571402
0,0,1766573573273
0,0,1766573575110
0,0,1766573576973
0,0,1766573578797
0,0,1766573580639
0,0,1766573582483
0,0,1766573584337
0,0,1766573586178
0,0,1766573588026
0,0,1766573589884
0,0,1766573591721
0,0,1766573593548
0,0,1766573595414
0,0,1766573597257
0,0,1766573599105
0,0,1766573600940
0,0,1766573602792
0,0,1766573604645
0,0,1766573606464
0,0,1766573608338
0,0,1766573610164
0,0,1766573612029
0,0,1766573613877
0,0,1766573615742
