gpu_power_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.0,1766905782730
0,0.0,1766905786222
0,0.0,1766905790214
0,0.0,1766905794203
0,0.0,1766905798189
0,0.0,1766905802186
0,0.0,1766905806175
0,0.0,1766905810162
0,0.0,1766905814167
0,0.0,1766905818150
0,0.0,1766905822149
0,0.0,1766905826155
0,0.0,1766905830174
0,0.0,1766905834172
0,0.0,1766905838175
0,0.0,1766905842200
0,0.0,1766905846215
0,0.0,1766905850213
0,0.0,1766905854214
0,0.0,1766905858244
0,0.0,1766905862239
0,0.0,1766905866272
0,0.0,1766905870305
0,0.0,1766905874286
0,0.0,1766905878315
0,0.0,1766905882315
0,0.0,1766905886314
0,0.0,1766905890324
0,0.0,1766905894324
0,0.0,1766905898337
0,0.0,1766905902346
0,0.0,1766905906359
0,0.0,1766905910358
0,0.0,1766905914368
0,0.0,1766905918387
0,0.0,1766905922407
0,0.0,1766905926411
0,0.0,1766905930426
0,0.0,1766905934443
0,0.0,1766905938465
0,0.0,1766905942479
0,0.0,1766905946493
0,0.0,1766905950490
0,0.0,1766905954520
0,0.0,1766905958539
0,0.0,1766905962558
0,0.0,1766905966578
0,0.0,1766905970599
0,0.0,1766905974608
0,0.0,1766905978643
0,0.0,1766905982655
0,0.0,1766905986668
0,0.0,1766905990672
0,0.0,1766905994694
0,0.0,1766905998719
0,0.0,1766906002714
0,0.0,1766906006747
0,0.0,1766906010762
0,0.0,1766906015123
