disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.5,1766905004092
0,1.5,1766905004388
0,1.5,1766905004588
0,1.5,1766905004788
0,1.5,1766905004989
0,1.5,1766905005189
0,1.5,1766905005392
0,1.5,1766905005594
0,1.5,1766905005798
0,1.5,1766905005991
0,1.5,1766905006180
0,1.5,1766905006376
0,1.5,1766905006568
0,1.5,1766905006759
0,1.5,1766905006957
0,1.5,1766905007164
0,1.5,1766905007371
0,1.5,1766905007563
0,1.5,1766905007755
0,1.5,1766905007953
0,1.5,1766905008152
0,1.5,1766905008347
0,1.5,1766905008548
0,1.5,1766905008759
0,1.5,1766905008967
0,1.5,1766905009173
0,1.5,1766905009384
0,1.5,1766905009593
0,1.5,1766905009802
0,1.5,1766905010001
0,1.5,1766905010200
0,1.5,1766905010388
0,1.5,1766905010578
0,1.5,1766905010768
0,1.5,1766905010957
0,1.5,1766905011147
0,1.5,1766905011343
0,1.5,1766905011537
0,1.5,1766905011738
0,1.5,1766905011937
0,1.5,1766905012145
0,1.5,1766905012349
0,1.5,1766905012553
0,1.5,1766905012756
0,1.5,1766905012977
0,1.5,1766905013208
0,1.5,1766905013411
0,1.5,1766905013607
0,1.5,1766905013800
0,1.5,1766905013993
0,1.5,1766905014191
0,1.5,1766905014388
0,1.5,1766905014588
0,1.5,1766905014788
0,1.5,1766905014984
0,1.5,1766905015182
0,1.5,1766905015378
0,1.5,1766905015574
0,1.5,1766905015772
0,1.5,1766905015969
0,1.5,1766905016162
0,1.5,1766905016374
0,1.5,1766905016596
0,1.5,1766905016798
0,1.5,1766905016998
0,1.5,1766905017201
0,1.5,1766905017400
0,1.5,1766905017609
0,1.5,1766905017812
0,1.5,1766905018020
0,1.5,1766905018224
0,1.5,1766905018433
0,1.5,1766905018640
0,1.5,1766905018861
0,1.5,1766905019085
0,1.5,1766905019285
0,1.5,1766905019494
0,1.5,1766905019703
0,1.5,1766905019915
0,1.5,1766905020118
0,1.5,1766905020324
0,1.5,1766905020528
0,1.5,1766905020738
0,1.5,1766905020944
0,1.5,1766905021149
0,1.5,1766905021358
0,1.5,1766905021568
0,1.5,1766905021779
0,1.5,1766905021979
0,1.5,1766905022179
0,1.5,1766905022381
0,1.5,1766905022579
0,1.5,1766905022776
0,1.5,1766905022976
0,1.5,1766905023173
0,1.5,1766905023377
0,1.5,1766905023584
0,1.5,1766905023789
0,1.5,1766905023990
0,1.5,1766905024195
0,1.5,1766905024391
0,1.5,1766905024592
0,1.5,1766905024798
0,1.5,1766905025008
0,1.5,1766905025198
0,1.5,1766905025389
0,1.5,1766905025591
0,1.5,1766905025785
0,1.5,1766905025983
0,1.5,1766905026179
0,1.5,1766905026379
0,1.5,1766905026580
0,1.5,1766905026783
0,1.5,1766905026983
0,1.5,1766905027188
0,1.5,1766905027395
0,1.5,1766905027604
0,1.5,1766905027812
0,1.5,1766905028013
0,1.5,1766905028213
0,1.5,1766905028404
0,1.5,1766905028592
0,1.5,1766905028782
0,1.5,1766905028973
0,1.5,1766905029163
0,1.5,1766905029355
0,1.5,1766905029549
0,1.5,1766905029752
0,1.5,1766905029952
0,1.5,1766905030154
0,1.5,1766905030353
0,1.5,1766905030577
0,1.5,1766905030805
0,1.5,1766905031004
0,1.5,1766905031212
0,1.5,1766905031419
0,1.5,1766905031626
0,1.5,1766905031832
0,1.5,1766905032029
0,1.5,1766905032228
0,1.5,1766905032429
0,1.5,1766905032629
0,1.5,1766905032829
0,1.5,1766905033027
0,1.5,1766905033224
0,1.5,1766905033426
0,1.5,1766905033625
0,1.5,1766905033814
0,1.5,1766905034005
0,1.5,1766905034198
0,1.5,1766905034390
0,1.5,1766905034581
0,1.5,1766905034794
0,1.5,1766905035023
0,1.5,1766905035226
0,1.5,1766905035434
0,1.5,1766905035640
0,1.5,1766905035842
0,1.5,1766905036051
0,1.5,1766905036256
0,1.5,1766905036473
0,1.5,1766905036698
0,1.5,1766905036901
0,1.5,1766905037109
0,1.5,1766905037315
0,1.5,1766905037522
0,1.5,1766905037728
0,1.5,1766905037938
0,1.5,1766905038146
0,1.5,1766905038356
0,1.5,1766905038566
0,1.5,1766905038773
0,1.5,1766905038980
0,1.5,1766905039186
0,1.5,1766905039396
