cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,3.3,1766904959360
0,3.5,1766904959592
0,3.4,1766904959740
0,3.3,1766904959878
0,3.4,1766904960041
0,3.4,1766904960201
0,3.0,1766904960358
0,3.5,1766904960507
0,3.3,1766904960655
0,3.4,1766904960795
0,3.4,1766904960953
0,3.5,1766904961145
0,3.1,1766904961333
0,3.1,1766904961505
0,3.4,1766904961663
0,3.4,1766904961822
0,3.4,1766904961975
0,3.4,1766904962139
0,3.3,1766904962304
0,3.4,1766904962465
0,3.5,1766904962619
0,3.4,1766904962775
0,3.3,1766904962937
0,3.5,1766904963099
0,3.4,1766904963250
0,3.4,1766904963410
0,3.4,1766904963565
0,3.4,1766904963718
0,3.3,1766904963866
0,3.4,1766904964021
0,3.4,1766904964169
0,3.4,1766904964325
0,3.4,1766904964477
0,3.5,1766904964636
0,3.3,1766904964786
0,3.5,1766904964941
0,3.4,1766904965099
0,3.3,1766904965254
0,3.4,1766904965409
0,3.4,1766904965566
0,3.4,1766904965720
0,3.4,1766904965896
0,3.4,1766904966065
0,2.9,1766904966254
0,3.4,1766904966411
0,3.4,1766904966565
0,3.4,1766904966717
0,3.4,1766904966869
0,3.4,1766904967026
0,3.4,1766904967181
0,3.4,1766904967338
0,3.5,1766904967496
0,3.5,1766904967655
0,3.3,1766904967816
0,3.3,1766904967976
0,3.4,1766904968132
0,3.5,1766904968292
0,3.4,1766904968455
0,3.4,1766904968621
0,3.3,1766904968779
0,3.5,1766904968944
0,3.3,1766904969085
0,3.3,1766904969224
0,3.4,1766904969364
0,3.3,1766904969504
0,3.3,1766904969643
0,3.4,1766904969783
0,3.3,1766904969923
0,3.4,1766904970061
0,3.2,1766904970199
0,3.3,1766904970338
0,3.4,1766904970485
0,3.4,1766904970631
0,3.4,1766904970793
0,3.4,1766904970940
0,3.3,1766904971083
0,3.3,1766904971224
0,3.4,1766904971367
0,3.2,1766904971506
0,3.4,1766904971648
0,3.4,1766904971814
0,3.4,1766904971991
0,3.1,1766904972205
0,3.4,1766904972365
0,3.4,1766904972517
0,3.4,1766904972679
0,3.4,1766904972835
0,3.3,1766904972990
0,3.4,1766904973135
0,3.3,1766904973289
0,3.4,1766904973436
0,3.2,1766904973590
0,3.4,1766904973736
0,3.3,1766904973884
0,3.3,1766904974042
0,3.4,1766904974187
0,3.4,1766904974347
0,3.4,1766904974503
0,3.4,1766904974665
0,3.3,1766904974821
0,3.5,1766904974983
0,3.4,1766904975132
0,3.4,1766904975286
0,3.4,1766904975445
0,3.5,1766904975592
0,3.3,1766904975747
0,3.4,1766904975901
0,3.4,1766904976048
0,3.3,1766904976202
0,3.4,1766904976352
0,3.4,1766904976512
0,3.3,1766904976654
0,3.5,1766904976802
0,3.3,1766904976944
0,3.3,1766904977090
0,3.3,1766904977233
0,3.3,1766904977380
0,3.4,1766904977520
0,3.4,1766904977684
0,3.3,1766904977849
0,3.0,1766904978006
0,3.5,1766904978148
0,3.4,1766904978289
0,3.2,1766904978429
0,3.4,1766904978583
0,3.4,1766904978735
0,3.4,1766904978880
0,3.3,1766904979024
0,3.4,1766904979169
0,3.2,1766904979320
0,3.4,1766904979497
0,3.5,1766904979670
0,3.0,1766904979859
0,3.3,1766904980021
0,3.4,1766904980182
0,3.5,1766904980345
0,3.4,1766904980506
0,3.5,1766904980672
0,3.3,1766904980834
0,3.4,1766904980984
0,3.4,1766904981140
0,3.4,1766904981288
0,3.3,1766904981443
0,3.3,1766904981593
0,3.4,1766904981752
0,3.4,1766904981910
0,3.3,1766904982064
0,3.5,1766904982212
0,3.3,1766904982370
0,3.3,1766904982523
0,3.4,1766904982681
0,3.5,1766904982833
0,3.4,1766904982988
0,3.4,1766904983149
0,3.4,1766904983302
0,3.3,1766904983467
0,3.3,1766904983630
0,3.2,1766904983800
0,3.2,1766904983959
