gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,62.0,1766904959438
0,62.0,1766904959674
0,62.0,1766904959815
0,62.0,1766904959966
0,61.0,1766904960123
0,62.0,1766904960288
0,62.0,1766904960438
0,62.0,1766904960588
0,62.0,1766904960730
0,62.0,1766904960879
0,62.0,1766904961044
0,62.0,1766904961244
0,62.0,1766904961432
0,62.0,1766904961592
0,62.0,1766904961748
0,62.0,1766904961907
0,62.0,1766904962063
0,62.0,1766904962229
0,62.0,1766904962392
0,62.0,1766904962551
0,62.0,1766904962706
0,62.0,1766904962862
0,62.0,1766904963024
0,62.0,1766904963181
0,62.0,1766904963336
0,62.0,1766904963497
0,62.0,1766904963646
0,62.0,1766904963799
0,62.0,1766904963947
0,62.0,1766904964102
0,62.0,1766904964252
0,62.0,1766904964408
0,62.0,1766904964564
0,62.0,1766904964719
0,62.0,1766904964868
0,62.0,1766904965025
0,62.0,1766904965181
0,62.0,1766904965337
0,62.0,1766904965492
0,62.0,1766904965649
0,62.0,1766904965816
0,62.0,1766904965984
0,62.0,1766904966171
0,62.0,1766904966337
0,62.0,1766904966497
0,62.0,1766904966647
0,62.0,1766904966800
0,62.0,1766904966952
0,62.0,1766904967109
0,62.0,1766904967266
0,62.0,1766904967423
0,62.0,1766904967581
0,62.0,1766904967743
0,62.0,1766904967902
0,62.0,1766904968062
0,62.0,1766904968218
0,62.0,1766904968377
0,62.0,1766904968543
0,62.0,1766904968709
0,62.0,1766904968866
0,62.0,1766904969021
0,62.0,1766904969159
0,62.0,1766904969299
0,62.0,1766904969441
0,62.0,1766904969579
0,62.0,1766904969719
0,62.0,1766904969858
0,62.0,1766904969997
0,62.0,1766904970135
0,62.0,1766904970273
0,62.0,1766904970412
0,62.0,1766904970562
0,62.0,1766904970720
0,62.0,1766904970870
0,62.0,1766904971018
0,62.0,1766904971159
0,62.0,1766904971301
0,62.0,1766904971442
0,62.0,1766904971582
0,62.0,1766904971737
0,62.0,1766904971910
0,62.0,1766904972091
0,62.0,1766904972289
0,62.0,1766904972448
0,62.0,1766904972605
0,62.0,1766904972764
0,62.0,1766904972916
0,62.0,1766904973070
0,62.0,1766904973216
0,62.0,1766904973369
0,62.0,1766904973516
0,62.0,1766904973671
0,62.0,1766904973818
0,62.0,1766904973966
0,62.0,1766904974121
0,62.0,1766904974267
0,62.0,1766904974433
0,62.0,1766904974589
0,62.0,1766904974750
0,62.0,1766904974909
0,62.0,1766904975064
0,62.0,1766904975214
0,62.0,1766904975369
0,62.0,1766904975525
0,62.0,1766904975674
0,62.0,1766904975828
0,62.0,1766904975981
0,62.0,1766904976129
0,62.0,1766904976283
0,62.0,1766904976438
0,62.0,1766904976590
0,62.0,1766904976731
0,62.0,1766904976879
0,62.0,1766904977020
0,62.0,1766904977168
0,62.0,1766904977309
0,62.0,1766904977456
0,62.0,1766904977607
0,61.0,1766904977770
0,62.0,1766904977938
0,62.0,1766904978083
0,62.0,1766904978226
0,62.0,1766904978364
0,62.0,1766904978512
0,62.0,1766904978662
0,62.0,1766904978813
0,62.0,1766904978958
0,62.0,1766904979103
0,62.0,1766904979249
0,62.0,1766904979413
0,62.0,1766904979587
0,62.0,1766904979778
0,62.0,1766904979947
0,62.0,1766904980108
0,62.0,1766904980270
0,62.0,1766904980432
0,62.0,1766904980598
0,62.0,1766904980760
0,62.0,1766904980915
0,62.0,1766904981067
0,62.0,1766904981221
0,62.0,1766904981370
0,62.0,1766904981525
0,62.0,1766904981678
0,63.0,1766904981838
0,62.0,1766904981991
0,62.0,1766904982145
0,62.0,1766904982296
0,62.0,1766904982454
0,62.0,1766904982607
0,62.0,1766904982765
0,62.0,1766904982917
0,62.0,1766904983076
0,62.0,1766904983231
0,62.0,1766904983388
0,62.0,1766904983559
0,62.0,1766904983726
0,62.0,1766904983889
0,62.0,1766904984042
0,62.0,1766904984205
0,62.0,1766904984367
0,62.0,1766904984530
0,62.0,1766904984689
0,62.0,1766904984849
0,62.0,1766904985011
0,62.0,1766904985170
0,62.0,1766904985329
0,62.0,1766904985485
0,62.0,1766904985647
0,62.0,1766904985805
0,62.0,1766904985966
0,62.0,1766904986125
0,62.0,1766904986285
0,62.0,1766904986444
0,62.0,1766904986599
0,62.0,1766904986756
0,62.0,1766904986913
0,62.0,1766904987066
0,62.0,1766904987220
0,62.0,1766904987376
0,62.0,1766904987514
0,62.0,1766904987654
0,62.0,1766904987797
0,62.0,1766904987950
0,63.0,1766904988101
0,62.0,1766904988242
0,62.0,1766904988384
0,62.0,1766904988526
0,62.0,1766904988669
0,62.0,1766904988811
0,62.0,1766904988961
0,62.0,1766904989110
0,62.0,1766904989256
0,62.0,1766904989420
0,62.0,1766904989589
0,62.0,1766904989743
