gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.05,1766904377941
0,0.04,1766904378163
0,0.08,1766904378324
0,0.04,1766904378483
0,0.07,1766904378642
0,0.06,1766904378871
0,0.04,1766904379035
0,0.04,1766904379194
0,0.04,1766904379353
0,0.08,1766904379515
0,0.04,1766904379673
0,0.04,1766904379836
0,0.08,1766904380013
0,0.08,1766904380184
0,0.04,1766904380367
0,0.04,1766904380534
0,0.08,1766904380739
0,0.04,1766904380906
0,0.04,1766904381074
0,0.04,1766904381239
0,0.04,1766904381408
0,0.08,1766904381580
0,0.04,1766904381757
0,0.04,1766904381926
0,0.08,1766904382102
0,0.04,1766904382267
0,0.04,1766904382437
0,0.04,1766904382602
0,0.04,1766904382782
0,0.08,1766904382945
0,0.04,1766904383126
0,0.04,1766904383299
0,0.08,1766904383483
0,0.04,1766904383646
0,0.04,1766904383821
0,0.04,1766904383991
0,0.07,1766904384161
0,0.05,1766904384315
0,0.04,1766904384494
0,0.04,1766904384663
0,0.08,1766904384839
0,0.08,1766904385001
0,0.04,1766904385184
0,0.04,1766904385349
0,0.04,1766904385520
0,0.08,1766904385687
0,0.04,1766904385861
0,0.04,1766904386022
0,0.04,1766904386198
0,0.08,1766904386362
0,0.04,1766904386542
0,0.04,1766904386724
0,0.04,1766904386895
0,0.08,1766904387072
0,0.04,1766904387247
0,0.04,1766904387420
0,0.04,1766904387595
0,0.08,1766904387773
0,0.04,1766904387943
0,0.04,1766904388108
0,0.07,1766904388278
0,0.05,1766904388449
0,0.05,1766904388624
0,0.04,1766904388797
0,0.08,1766904388974
0,0.04,1766904389141
0,0.04,1766904389334
0,0.04,1766904389505
0,0.08,1766904389676
0,0.08,1766904389841
0,0.04,1766904390016
0,0.04,1766904390185
0,0.08,1766904390361
0,0.04,1766904390534
0,0.04,1766904390700
0,0.04,1766904390869
0,0.04,1766904391037
0,0.08,1766904391206
0,0.04,1766904391379
0,0.04,1766904391544
0,0.08,1766904391711
0,0.04,1766904391876
0,0.04,1766904392054
0,0.04,1766904392214
0,0.08,1766904392382
0,0.04,1766904392546
0,0.04,1766904392720
0,0.08,1766904392888
0,0.04,1766904393065
0,0.04,1766904393235
0,0.04,1766904393402
0,0.08,1766904393569
0,0.04,1766904393737
0,0.04,1766904393904
0,0.04,1766904394082
0,0.04,1766904394249
0,0.08,1766904394422
0,0.04,1766904394588
0,0.04,1766904394762
0,0.08,1766904394929
0,0.04,1766904395095
0,0.04,1766904395261
0,0.04,1766904395434
0,0.08,1766904395605
0,0.04,1766904395770
0,0.04,1766904395939
0,0.08,1766904396105
0,0.04,1766904396273
0,0.04,1766904396442
0,0.04,1766904396612
0,0.08,1766904396785
0,0.04,1766904396950
0,0.04,1766904397118
0,0.04,1766904397287
0,0.04,1766904397455
0,0.08,1766904397625
0,0.04,1766904397795
0,0.04,1766904397965
0,0.08,1766904398137
0,0.04,1766904398300
0,0.04,1766904398471
0,0.04,1766904398639
0,0.08,1766904398812
0,0.04,1766904398978
0,0.04,1766904399145
0,0.08,1766904399315
0,0.04,1766904399487
0,0.04,1766904399654
0,0.04,1766904399827
0,0.08,1766904399995
