memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,3.1,1766904377560
0,3.2,1766904377774
0,3.3,1766904377909
0,3.3,1766904378041
0,3.4,1766904378179
0,3.4,1766904378319
0,3.5,1766904378455
0,3.5,1766904378596
0,3.6,1766904378781
0,3.6,1766904378962
0,3.6,1766904379099
0,3.2,1766904379236
0,3.2,1766904379376
0,3.3,1766904379524
0,3.3,1766904379666
0,3.3,1766904379806
0,3.3,1766904379961
0,3.3,1766904380108
0,3.3,1766904380259
0,3.3,1766904380411
0,3.3,1766904380566
0,3.3,1766904380760
0,3.3,1766904380917
0,3.3,1766904381071
0,3.3,1766904381215
0,3.2,1766904381375
0,3.2,1766904381526
0,3.2,1766904381688
0,3.2,1766904381843
0,3.2,1766904381999
0,3.2,1766904382151
0,3.2,1766904382300
0,3.2,1766904382467
0,3.2,1766904382623
0,3.2,1766904382785
0,3.2,1766904382932
0,3.2,1766904383100
0,3.2,1766904383243
0,3.2,1766904383404
0,3.2,1766904383546
0,3.2,1766904383710
0,3.2,1766904383862
0,3.2,1766904384015
0,3.2,1766904384186
0,3.2,1766904384338
0,3.2,1766904384494
0,3.2,1766904384640
0,3.2,1766904384813
0,3.2,1766904384952
0,3.2,1766904385121
0,3.2,1766904385267
0,3.2,1766904385430
0,3.2,1766904385581
0,3.2,1766904385734
0,3.2,1766904385892
0,3.2,1766904386042
0,3.2,1766904386206
0,3.2,1766904386346
0,3.2,1766904386524
0,3.2,1766904386684
0,3.2,1766904386845
0,3.2,1766904386996
0,3.2,1766904387146
0,3.2,1766904387290
0,3.2,1766904387443
0,3.2,1766904387600
0,3.2,1766904387740
0,3.2,1766904387918
0,3.2,1766904388064
0,3.2,1766904388230
0,3.2,1766904388370
0,3.2,1766904388523
0,3.2,1766904388676
0,3.2,1766904388828
0,3.2,1766904388992
0,3.2,1766904389142
0,3.2,1766904389314
0,3.2,1766904389455
0,3.2,1766904389621
0,3.2,1766904389770
0,3.2,1766904389932
0,3.2,1766904390079
0,3.2,1766904390232
0,3.2,1766904390383
0,3.2,1766904390546
0,3.2,1766904390701
0,3.2,1766904390854
