memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,2.7,1766848751953
0,2.9,1766848752421
0,3.0,1766848752936
0,3.0,1766848753223
0,3.1,1766848753522
0,3.2,1766848753878
0,3.2,1766848754333
0,3.3,1766848754739
0,3.4,1766848755083
0,3.5,1766848755474
0,3.6,1766848755874
0,3.6,1766848756248
0,3.7,1766848756571
0,3.8,1766848756949
0,3.9,1766848757287
0,3.9,1766848757615
0,4.0,1766848757997
0,4.1,1766848758384
0,4.2,1766848758712
0,4.2,1766848759071
0,4.3,1766848759483
0,4.4,1766848759825
0,4.5,1766848760135
0,4.5,1766848760473
0,4.6,1766848760904
0,4.7,1766848761264
0,4.8,1766848761602
0,4.8,1766848761938
0,4.9,1766848762299
0,5.0,1766848762780
0,5.1,1766848763213
0,5.2,1766848763589
0,5.2,1766848763932
0,5.2,1766848764516
0,4.7,1766848764854
0,3.8,1766848765226
0,2.6,1766848765637
0,2.6,1766848766037
0,2.7,1766848766394
0,2.6,1766848766768
0,2.3,1766848767210
0,2.3,1766848767574
0,2.3,1766848767941
0,2.3,1766848768292
0,2.3,1766848768621
0,2.3,1766848769041
0,2.3,1766848769419
0,2.3,1766848769755
0,2.3,1766848770096
0,2.3,1766848770428
0,2.3,1766848770822
0,2.3,1766848771138
0,2.3,1766848771510
0,2.3,1766848771825
0,2.3,1766848772178
0,2.3,1766848772552
0,2.3,1766848772932
0,2.3,1766848773347
0,2.3,1766848773620
