disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.3,1766848393713
0,0.3,1766848394073
0,0.3,1766848394253
0,0.3,1766848394461
0,0.3,1766848394916
0,0.3,1766848395184
0,0.3,1766848395390
0,0.3,1766848395626
0,0.3,1766848395820
0,0.3,1766848396254
0,0.3,1766848396515
0,0.3,1766848396744
0,0.3,1766848397001
0,0.3,1766848397293
0,0.3,1766848397545
0,0.3,1766848397765
0,0.3,1766848397991
0,0.3,1766848398205
0,0.3,1766848398415
0,0.3,1766848398673
0,0.3,1766848398984
0,0.3,1766848399173
0,0.3,1766848399476
0,0.3,1766848399774
0,0.3,1766848400003
0,0.3,1766848400327
0,0.3,1766848400581
0,0.3,1766848400848
0,0.3,1766848401169
0,0.3,1766848401371
0,0.3,1766848401622
0,0.3,1766848401901
0,0.3,1766848402179
0,0.3,1766848402467
0,0.3,1766848402743
0,0.3,1766848402960
0,0.3,1766848403227
0,0.3,1766848403467
0,0.3,1766848403733
0,0.3,1766848404085
0,0.3,1766848404294
0,0.3,1766848404570
0,0.3,1766848404821
0,0.3,1766848405049
0,0.3,1766848405268
0,0.3,1766848405485
0,0.3,1766848405982
0,0.3,1766848406226
0,0.3,1766848406588
0,0.3,1766848406786
0,0.3,1766848407036
0,0.3,1766848407291
0,0.3,1766848407635
0,0.3,1766848407879
0,0.3,1766848408173
0,0.3,1766848408447
0,0.3,1766848408696
0,0.3,1766848408934
0,0.3,1766848409325
0,0.3,1766848409589
0,0.3,1766848409799
0,0.3,1766848410116
0,0.3,1766848410561
0,0.3,1766848410802
0,0.3,1766848411078
0,0.3,1766848411376
0,0.3,1766848411606
0,0.3,1766848411828
0,0.3,1766848412081
0,0.3,1766848412317
0,0.3,1766848412558
0,0.3,1766848412816
0,0.3,1766848413034
0,0.3,1766848413268
0,0.3,1766848413579
0,0.3,1766848413861
0,0.3,1766848414167
0,0.3,1766848414428
0,0.3,1766848414666
0,0.3,1766848414889
0,0.3,1766848415250
0,0.3,1766848415523
0,0.3,1766848415747
0,0.3,1766848415967
0,0.3,1766848416259
0,0.3,1766848416476
0,0.3,1766848416756
0,0.3,1766848416991
0,0.3,1766848417252
0,0.3,1766848417528
0,0.3,1766848417764
0,0.3,1766848418002
0,0.3,1766848418268
0,0.3,1766848418553
0,0.3,1766848418787
0,0.3,1766848419008
0,0.3,1766848419266
0,0.3,1766848419487
0,0.3,1766848419705
0,0.3,1766848419981
0,0.3,1766848420300
0,0.3,1766848420598
0,0.3,1766848420859
0,0.3,1766848421144
0,0.3,1766848421379
0,0.3,1766848421637
0,0.3,1766848421839
0,0.3,1766848422101
0,0.3,1766848422359
0,0.3,1766848422603
0,0.3,1766848422814
0,0.3,1766848423053
0,0.3,1766848423322
0,0.3,1766848423690
0,0.3,1766848423921
0,0.3,1766848424169
0,0.3,1766848424405
0,0.3,1766848424697
0,0.3,1766848424947
0,0.3,1766848425260
0,0.3,1766848425477
0,0.3,1766848425717
0,0.3,1766848425959
0,0.3,1766848426209
0,0.3,1766848426508
0,0.3,1766848426730
0,0.3,1766848426984
0,0.3,1766848427210
0,0.3,1766848427411
0,0.3,1766848427623
0,0.3,1766848427819
0,0.3,1766848428036
0,0.3,1766848428278
0,0.3,1766848428581
0,0.3,1766848428808
0,0.3,1766848429035
0,0.3,1766848429373
0,0.3,1766848429665
0,0.3,1766848429962
0,0.3,1766848430262
0,0.3,1766848430504
0,0.3,1766848430723
0,0.3,1766848431002
0,0.3,1766848431218
0,0.3,1766848431574
0,0.3,1766848431829
0,0.3,1766848432086
0,0.3,1766848432377
0,0.3,1766848432674
0,0.3,1766848432869
0,0.3,1766848433197
0,0.3,1766848433410
0,0.3,1766848433717
0,0.3,1766848433934
0,0.3,1766848434310
0,0.3,1766848434521
0,0.3,1766848434800
0,0.3,1766848435039
0,0.3,1766848435274
0,0.3,1766848435553
0,0.3,1766848435807
0,0.3,1766848436058
0,0.3,1766848436341
0,0.3,1766848436617
0,0.3,1766848436872
0,0.3,1766848437096
0,0.3,1766848437360
0,0.3,1766848437633
0,0.3,1766848437849
0,0.3,1766848438083
0,0.3,1766848438346
0,0.3,1766848438661
0,0.3,1766848438904
0,0.3,1766848439212
0,0.3,1766848439454
0,0.3,1766848439664
0,0.3,1766848439971
0,0.3,1766848440211
0,0.3,1766848440422
0,0.3,1766848440678
0,0.3,1766848440889
0,0.3,1766848441251
0,0.3,1766848441503
0,0.3,1766848441841
0,0.3,1766848442130
0,0.3,1766848442338
0,0.3,1766848442648
0,0.3,1766848442940
0,0.3,1766848443190
0,0.3,1766848443501
0,0.3,1766848443722
0,0.3,1766848444064
0,0.3,1766848444298
0,0.3,1766848444587
0,0.3,1766848444804
0,0.3,1766848445150
0,0.3,1766848445353
0,0.3,1766848445541
0,0.3,1766848445797
0,0.3,1766848446013
0,0.3,1766848446325
0,0.3,1766848446562
0,0.3,1766848446759
0,0.3,1766848446985
0,0.3,1766848447204
0,0.3,1766848447506
0,0.3,1766848447733
0,0.3,1766848447956
0,0.3,1766848448244
0,0.3,1766848448510
0,0.3,1766848448737
0,0.3,1766848449053
0,0.3,1766848449313
0,0.3,1766848449588
0,0.3,1766848449911
0,0.3,1766848450175
0,0.3,1766848450419
0,0.3,1766848450741
0,0.3,1766848451047
0,0.3,1766848451270
0,0.3,1766848451612
0,0.3,1766848451943
0,0.3,1766848452150
0,0.3,1766848452365
0,0.3,1766848452707
0,0.3,1766848453100
0,0.3,1766848453331
0,0.3,1766848453551
0,0.3,1766848453762
0,0.3,1766848454026
0,0.3,1766848454257
0,0.3,1766848454471
0,0.3,1766848454779
0,0.3,1766848455057
0,0.3,1766848455293
0,0.3,1766848455537
0,0.3,1766848455783
0,0.3,1766848456030
0,0.3,1766848456339
0,0.3,1766848456632
0,0.3,1766848456887
0,0.3,1766848457122
0,0.3,1766848457365
0,0.3,1766848457577
0,0.3,1766848457824
0,0.3,1766848458050
0,0.3,1766848458327
0,0.3,1766848458600
0,0.3,1766848458862
0,0.3,1766848459159
0,0.3,1766848459465
0,0.3,1766848459687
0,0.3,1766848459975
0,0.3,1766848460393
0,0.3,1766848460665
0,0.3,1766848460911
0,0.3,1766848461201
0,0.3,1766848461430
0,0.3,1766848461619
0,0.3,1766848462027
0,0.3,1766848462226
0,0.3,1766848462578
0,0.3,1766848462797
0,0.3,1766848463039
0,0.3,1766848463262
0,0.3,1766848463541
0,0.3,1766848463856
0,0.3,1766848464172
0,0.3,1766848464398
0,0.3,1766848464672
0,0.3,1766848464909
0,0.3,1766848465183
0,0.3,1766848465396
0,0.3,1766848465647
0,0.3,1766848465872
0,0.3,1766848466134
0,0.3,1766848466375
0,0.3,1766848466618
0,0.3,1766848466888
0,0.3,1766848467129
0,0.3,1766848467360
0,0.3,1766848467550
0,0.3,1766848467801
0,0.3,1766848468019
0,0.3,1766848468428
0,0.3,1766848468718
0,0.3,1766848468950
0,0.3,1766848469185
0,0.3,1766848469422
0,0.3,1766848469663
0,0.3,1766848470022
0,0.3,1766848470233
0,0.3,1766848470448
0,0.3,1766848470734
0,0.3,1766848471004
0,0.3,1766848471197
0,0.3,1766848471495
