gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,34.0,1766848575007
0,34.0,1766848575383
0,34.0,1766848575778
0,35.0,1766848576026
0,36.0,1766848576220
0,36.0,1766848576443
0,36.0,1766848576667
0,36.0,1766848576893
0,36.0,1766848577128
0,36.0,1766848577356
0,36.0,1766848577670
0,36.0,1766848578006
0,36.0,1766848578368
0,36.0,1766848578602
0,37.0,1766848578825
0,37.0,1766848579056
0,37.0,1766848579303
0,37.0,1766848579534
0,37.0,1766848579766
0,37.0,1766848580109
0,37.0,1766848580434
0,37.0,1766848580700
0,37.0,1766848580970
0,37.0,1766848581220
0,37.0,1766848581485
0,37.0,1766848581837
0,37.0,1766848582125
0,37.0,1766848582418
0,37.0,1766848582715
0,37.0,1766848582968
0,37.0,1766848583269
0,37.0,1766848583591
0,37.0,1766848583996
0,37.0,1766848584239
0,38.0,1766848584477
0,37.0,1766848584824
0,37.0,1766848585079
0,37.0,1766848585328
0,38.0,1766848585611
0,37.0,1766848585907
0,38.0,1766848586172
0,38.0,1766848586511
0,38.0,1766848586748
0,38.0,1766848587020
0,38.0,1766848587259
0,38.0,1766848587584
0,38.0,1766848587862
0,38.0,1766848588183
0,38.0,1766848588487
0,38.0,1766848588806
0,38.0,1766848589095
0,38.0,1766848589330
0,38.0,1766848589635
0,38.0,1766848589956
0,38.0,1766848590179
0,38.0,1766848590437
0,38.0,1766848590783
0,39.0,1766848591041
0,39.0,1766848591255
0,39.0,1766848591581
0,39.0,1766848591826
0,39.0,1766848592068
0,39.0,1766848592331
0,39.0,1766848592582
0,39.0,1766848592890
0,39.0,1766848593170
0,38.0,1766848593516
0,39.0,1766848593772
0,39.0,1766848594143
0,39.0,1766848594402
0,39.0,1766848594651
0,39.0,1766848594924
0,39.0,1766848595198
0,39.0,1766848595443
0,39.0,1766848595706
0,39.0,1766848596024
0,39.0,1766848596314
0,39.0,1766848596681
0,39.0,1766848597032
0,39.0,1766848597370
0,39.0,1766848597630
0,39.0,1766848597983
0,39.0,1766848598266
0,39.0,1766848598551
0,39.0,1766848598827
0,39.0,1766848599128
0,40.0,1766848599352
0,39.0,1766848599655
0,40.0,1766848599878
0,39.0,1766848600180
0,40.0,1766848600435
0,39.0,1766848600690
0,40.0,1766848600960
0,40.0,1766848601244
0,40.0,1766848601486
0,40.0,1766848601783
0,40.0,1766848602066
0,40.0,1766848602320
0,40.0,1766848602632
0,40.0,1766848602872
0,40.0,1766848603210
0,40.0,1766848603447
0,40.0,1766848603716
0,40.0,1766848604055
0,40.0,1766848604349
0,40.0,1766848604559
0,40.0,1766848604814
0,40.0,1766848605137
0,40.0,1766848605378
0,40.0,1766848605622
0,41.0,1766848605864
0,40.0,1766848606153
0,40.0,1766848606435
0,41.0,1766848606643
0,41.0,1766848606898
0,41.0,1766848607138
0,41.0,1766848607419
0,40.0,1766848607712
0,40.0,1766848608039
0,41.0,1766848608259
0,40.0,1766848608579
0,40.0,1766848608897
0,41.0,1766848609154
0,41.0,1766848609440
0,41.0,1766848609691
0,41.0,1766848609958
0,41.0,1766848610201
0,41.0,1766848610449
0,41.0,1766848610722
0,41.0,1766848610950
0,41.0,1766848611272
0,41.0,1766848611537
0,41.0,1766848611787
0,41.0,1766848612016
0,41.0,1766848612304
0,41.0,1766848612555
0,41.0,1766848612864
0,41.0,1766848613177
0,41.0,1766848613500
0,41.0,1766848613740
