cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,5.0,1766848692888
0,5.5,1766848693269
0,6.3,1766848693476
0,5.1,1766848693918
0,5.9,1766848694183
0,5.0,1766848694437
0,5.5,1766848694760
0,5.7,1766848695042
0,5.6,1766848695315
0,4.8,1766848695558
0,5.6,1766848695823
0,5.8,1766848696092
0,5.7,1766848696473
0,5.0,1766848696810
0,5.3,1766848697236
0,5.7,1766848697608
0,5.2,1766848697853
0,5.6,1766848698107
0,5.3,1766848698340
0,5.2,1766848698625
0,5.1,1766848698956
0,5.7,1766848699293
0,5.6,1766848699658
0,5.0,1766848699926
0,5.5,1766848700187
0,5.5,1766848700442
0,4.3,1766848700781
0,3.9,1766848701045
0,3.4,1766848701317
0,4.2,1766848701558
0,4.1,1766848701830
0,3.8,1766848702072
0,3.7,1766848702318
0,4.0,1766848702629
0,4.1,1766848702930
0,3.9,1766848703188
0,4.1,1766848703406
0,3.3,1766848703670
0,4.3,1766848703904
0,3.9,1766848704136
0,3.9,1766848704384
0,4.0,1766848704657
0,3.3,1766848704915
0,4.0,1766848705181
0,4.0,1766848705426
0,4.1,1766848705733
0,3.5,1766848705982
0,4.0,1766848706224
0,4.1,1766848706480
0,4.1,1766848706737
0,4.0,1766848706972
0,3.5,1766848707234
0,4.0,1766848707489
0,4.0,1766848707788
0,4.0,1766848708080
0,4.0,1766848708300
0,3.8,1766848708530
0,4.2,1766848708814
0,4.2,1766848709085
0,4.2,1766848709366
0,3.6,1766848709611
0,4.0,1766848709863
0,4.3,1766848710128
0,4.2,1766848710383
0,4.1,1766848710617
0,3.4,1766848710903
0,4.1,1766848711143
0,4.2,1766848711406
0,4.1,1766848711686
0,4.0,1766848711929
0,3.9,1766848712163
0,3.9,1766848712395
0,4.2,1766848712631
0,4.1,1766848712884
0,3.9,1766848713171
0,3.9,1766848713424
0,3.4,1766848713708
0,4.2,1766848713959
0,4.0,1766848714218
0,4.2,1766848714551
0,4.3,1766848714772
0,3.5,1766848715038
0,4.1,1766848715259
0,4.2,1766848715511
0,4.0,1766848715764
0,4.2,1766848716022
0,3.5,1766848716285
0,4.1,1766848716501
0,4.3,1766848716774
0,4.1,1766848717065
0,3.8,1766848717339
0,4.2,1766848717566
0,3.9,1766848717865
0,4.1,1766848718104
0,4.2,1766848718375
0,3.8,1766848718663
0,4.1,1766848718917
0,4.2,1766848719178
0,4.1,1766848719459
0,4.0,1766848719693
0,3.8,1766848719933
0,4.4,1766848720186
0,5.3,1766848720467
0,6.4,1766848720755
0,5.6,1766848721016
0,3.6,1766848721331
0,4.1,1766848721649
0,4.3,1766848721942
0,4.0,1766848722179
0,3.7,1766848722416
0,4.1,1766848722660
0,4.1,1766848722911
0,4.0,1766848723149
0,3.9,1766848723468
0,4.0,1766848723800
0,4.2,1766848724064
0,4.3,1766848724319
0,3.4,1766848724488
