gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.03,1766848215335
0,0.03,1766848215771
0,0.03,1766848216070
0,0.03,1766848216395
0,0.03,1766848216694
0,0.03,1766848216995
0,0.04,1766848217302
0,0.03,1766848217614
0,0.03,1766848217923
0,0.04,1766848218224
0,0.03,1766848218522
0,0.03,1766848218827
0,0.03,1766848219135
0,0.03,1766848219443
0,0.03,1766848219758
0,0.03,1766848220068
0,0.03,1766848220378
0,0.03,1766848220687
0,0.03,1766848221011
0,0.04,1766848221309
0,0.03,1766848221619
0,0.03,1766848221924
0,0.03,1766848222231
0,0.03,1766848222548
0,0.03,1766848222861
0,0.03,1766848223173
0,0.03,1766848223482
0,0.03,1766848223785
0,0.04,1766848224085
0,0.03,1766848224393
0,0.03,1766848224703
0,0.03,1766848225012
0,0.03,1766848225322
0,0.0,1766848225795
0,0.03,1766848226123
0,0.03,1766848226451
0,0.03,1766848226760
0,0.03,1766848227071
0,0.0,1766848227388
0,0.03,1766848227723
0,0.03,1766848228032
0,0.03,1766848228337
0,0.03,1766848228636
0,0.04,1766848228964
0,0.05,1766848229272
0,0.03,1766848229599
0,0.03,1766848229910
0,0.03,1766848230228
0,0.03,1766848230528
0,0.03,1766848230885
0,0.03,1766848231191
0,0.03,1766848231494
0,0.03,1766848231798
0,0.06,1766848232114
0,0.03,1766848232408
0,0.03,1766848232715
0,0.03,1766848233023
0,0.03,1766848233330
0,0.03,1766848233639
0,0.03,1766848233940
0,0.06,1766848234253
0,0.04,1766848234591
0,0.03,1766848234892
0,0.03,1766848235202
0,0.03,1766848235502
0,0.03,1766848235808
0,0.03,1766848236145
0,0.03,1766848236436
0,0.03,1766848236749
0,0.06,1766848237049
0,0.03,1766848237357
0,0.03,1766848237661
0,0.03,1766848237970
0,0.03,1766848238277
0,0.06,1766848238594
0,0.04,1766848238887
0,0.03,1766848239193
0,0.03,1766848239503
0,0.03,1766848239809
0,0.03,1766848240121
0,0.03,1766848240422
0,0.03,1766848240729
0,0.03,1766848241039
0,0.04,1766848241352
0,0.03,1766848241666
0,0.03,1766848241973
0,0.03,1766848242296
0,0.03,1766848242594
0,0.03,1766848242901
0,0.03,1766848243210
0,0.03,1766848243518
0,0.03,1766848243835
0,0.03,1766848244144
0,0.03,1766848244457
0,0.03,1766848244767
0,0.03,1766848245073
0,0.03,1766848245383
0,0.03,1766848245696
0,0.04,1766848246002
0,0.03,1766848246317
0,0.03,1766848246612
0,0.03,1766848246921
0,0.03,1766848247229
0,0.06,1766848247536
0,0.03,1766848247867
0,0.03,1766848248164
0,0.03,1766848248474
0,0.03,1766848248780
0,0.03,1766848249089
0,0.03,1766848249402
0,0.03,1766848249712
0,0.03,1766848250017
0,0.03,1766848250325
0,0.03,1766848250633
0,0.04,1766848250941
0,0.03,1766848251252
0,0.03,1766848251577
0,0.03,1766848251869
0,0.03,1766848252176
0,0.03,1766848252483
0,0.06,1766848252796
0,0.03,1766848253107
0,0.03,1766848253412
0,0.03,1766848253712
0,0.03,1766848254022
0,0.03,1766848254330
0,0.03,1766848254643
0,0.03,1766848254951
0,0.04,1766848255261
0,0.03,1766848255568
0,0.03,1766848255873
0,0.03,1766848256182
0,0.03,1766848256495
0,0.03,1766848256810
0,0.03,1766848257122
0,0.06,1766848257421
0,0.03,1766848257731
0,0.03,1766848258039
0,0.03,1766848258349
0,0.03,1766848258658
0,0.03,1766848258971
0,0.07,1766848259280
0,0.03,1766848259585
0,0.05,1766848259886
0,0.03,1766848260204
0,0.03,1766848260514
0,0.03,1766848260833
0,0.03,1766848261130
0,0.03,1766848261437
0,0.03,1766848261744
0,0.03,1766848262059
0,0.06,1766848262366
0,0.03,1766848262676
0,0.03,1766848262983
0,0.03,1766848263290
0,0.03,1766848263599
0,0.03,1766848263911
0,0.02,1766848264222
0,0.05,1766848264538
0,0.03,1766848264846
0,0.03,1766848265155
0,0.03,1766848265468
0,0.03,1766848265778
0,0.03,1766848266095
0,0.03,1766848266407
0,0.03,1766848266712
0,0.06,1766848267016
0,0.03,1766848267324
0,0.03,1766848267637
0,0.03,1766848267945
0,0.03,1766848268256
0,0.03,1766848268587
0,0.03,1766848268895
0,0.03,1766848269193
0,0.06,1766848269507
0,0.04,1766848269854
0,0.03,1766848270163
0,0.04,1766848270479
0,0.03,1766848270791
0,0.03,1766848271114
0,0.03,1766848271423
0,0.03,1766848271730
0,0.03,1766848272044
0,0.03,1766848272352
0,0.0,1766848272865
0,0.03,1766848273178
0,0.03,1766848273490
0,0.03,1766848273799
0,0.03,1766848274117
0,0.03,1766848274413
0,0.03,1766848274726
0,0.03,1766848275047
0,0.03,1766848275353
0,0.03,1766848275695
0,0.03,1766848275996
0,0.03,1766848276307
0,0.03,1766848276608
0,0.03,1766848276918
0,0.03,1766848277238
0,0.03,1766848277571
0,0.03,1766848277886
0,0.03,1766848278201
0,0.03,1766848278513
0,0.06,1766848278821
0,0.04,1766848279139
0,0.03,1766848279454
0,0.03,1766848279769
0,0.03,1766848280088
0,0.03,1766848280404
0,0.03,1766848280719
0,0.03,1766848281032
0,0.03,1766848281341
0,0.03,1766848281654
0,0.03,1766848281983
0,0.03,1766848282296
0,0.03,1766848282611
0,0.03,1766848282937
0,0.03,1766848283252
0,0.03,1766848283564
0,0.03,1766848283871
0,0.03,1766848284182
0,0.03,1766848284493
0,0.03,1766848284806
0,0.03,1766848285119
0,0.06,1766848285438
0,0.03,1766848285754
0,0.03,1766848286067
0,0.03,1766848286389
0,0.03,1766848286697
0,0.03,1766848287013
0,0.03,1766848287330
0,0.03,1766848287648
0,0.03,1766848287964
0,0.03,1766848288277
0,0.07,1766848288580
0,0.03,1766848288896
0,0.03,1766848289236
0,0.03,1766848289537
0,0.03,1766848289852
0,0.03,1766848290187
0,0.03,1766848290509
0,0.03,1766848290822
0,0.04,1766848291126
0,0.03,1766848291440
0,0.03,1766848291766
0,0.0,1766848292080
0,0.03,1766848292399
0,0.06,1766848292718
0,0.03,1766848293030
0,0.04,1766848293338
0,0.03,1766848293648
0,0.03,1766848293960
0,0.03,1766848294271
0,0.03,1766848294601
0,0.03,1766848294910
0,0.03,1766848295235
0,0.03,1766848295552
0,0.03,1766848295864
0,0.03,1766848296184
0,0.03,1766848296506
0,0.07,1766848296825
0,0.03,1766848297143
0,0.03,1766848297463
0,0.03,1766848297784
0,0.03,1766848298095
0,0.03,1766848298402
0,0.03,1766848298718
0,0.03,1766848299039
0,0.03,1766848299357
0,0.03,1766848299671
0,0.03,1766848299988
0,0.03,1766848300296
0,0.03,1766848300624
0,0.03,1766848300938
0,0.03,1766848301255
0,0.03,1766848301567
0,0.04,1766848301895
0,0.04,1766848302213
0,0.03,1766848302523
0,0.03,1766848302832
0,0.03,1766848303146
0,0.03,1766848303476
0,0.03,1766848303800
0,0.03,1766848304111
0,0.03,1766848304418
0,0.03,1766848304732
0,0.03,1766848305056
0,0.03,1766848305372
0,0.03,1766848305682
0,0.03,1766848306001
0,0.03,1766848306322
0,0.03,1766848306637
0,0.03,1766848306957
0,0.03,1766848307265
0,0.03,1766848307580
