disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.4,1766873271833
0,0.4,1766873274280
0,0.4,1766873276889
0,0.4,1766873279599
0,0.4,1766873282159
0,0.4,1766873284773
0,0.4,1766873287418
0,0.4,1766873289997
0,0.4,1766873292643
0,0.4,1766873295434
0,0.4,1766873297958
0,0.4,1766873300701
0,0.4,1766873303266
0,0.4,1766873305833
0,0.4,1766873308485
0,0.4,1766873311357
0,0.4,1766873313914
0,0.4,1766873316622
0,0.4,1766873319251
0,0.4,1766873321872
0,0.4,1766873324551
0,0.4,1766873327325
0,0.4,1766873329861
0,0.4,1766873332555
0,0.4,1766873335334
0,0.4,1766873337982
0,0.4,1766873340667
0,0.4,1766873343300
0,0.4,1766873346028
0,0.4,1766873348773
0,0.4,1766873351429
0,0.4,1766873354097
0,0.4,1766873356840
0,0.4,1766873359509
0,0.4,1766873362340
0,0.4,1766873364948
0,0.4,1766873367637
0,0.4,1766873370155
0,0.4,1766873372853
0,0.4,1766873375418
0,0.4,1766873378066
0,0.4,1766873380852
0,0.4,1766873383654
0,0.4,1766873386328
0,0.4,1766873388850
0,0.4,1766873391321
0,0.4,1766873393891
0,0.4,1766873396490
0,0.4,1766873399098
0,0.4,1766873401538
0,0.4,1766873404022
0,0.4,1766873406598
0,0.4,1766873409260
0,0.4,1766873411753
0,0.4,1766873414364
0,0.4,1766873416903
0,0.4,1766873419554
0,0.4,1766873422049
0,0.4,1766873423886
