gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,27.0,1766873272347
0,28.0,1766873274742
0,28.0,1766873277356
0,28.0,1766873280023
0,28.0,1766873282701
0,28.0,1766873285282
0,28.0,1766873287810
0,28.0,1766873290472
0,28.0,1766873293196
0,28.0,1766873295953
0,28.0,1766873298489
0,28.0,1766873301104
0,28.0,1766873303747
0,28.0,1766873306397
0,28.0,1766873309109
0,28.0,1766873311880
0,28.0,1766873314440
0,28.0,1766873317103
0,28.0,1766873319743
0,28.0,1766873322439
0,28.0,1766873325125
0,28.0,1766873327785
0,28.0,1766873330403
0,28.0,1766873333165
0,28.0,1766873335855
0,28.0,1766873338508
0,28.0,1766873341239
0,28.0,1766873343911
0,28.0,1766873346591
0,28.0,1766873349294
0,28.0,1766873351955
0,28.0,1766873354599
0,28.0,1766873357338
0,28.0,1766873360107
0,28.0,1766873362934
0,28.0,1766873365432
0,28.0,1766873368073
0,28.0,1766873370718
0,28.0,1766873373348
0,28.0,1766873375910
0,28.0,1766873378625
0,28.0,1766873381410
0,28.0,1766873384158
0,28.0,1766873386822
0,28.0,1766873389198
0,28.0,1766873391734
0,28.0,1766873394393
0,28.0,1766873396998
0,28.0,1766873399549
0,28.0,1766873401916
0,28.0,1766873404560
0,28.0,1766873407078
0,28.0,1766873409724
0,28.0,1766873412193
0,28.0,1766873414798
0,28.0,1766873417389
0,28.0,1766873419948
0,28.0,1766873422533
0,28.0,1766873424303
