gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.09,1766873223278
0,0,1766873224744
0,0,1766873226174
0,0,1766873227325
0,0,1766873228647
0,0,1766873229738
0,0,1766873231081
0,0,1766873232318
0,0,1766873233732
0,0.03,1766873234847
0,9,1766873236152
0,0,1766873237401
0,0.05,1766873238473
0,0,1766873239740
0,0,1766873241204
0,0,1766873242709
0,0,1766873243851
0,0.09,1766873245039
0,0,1766873246421
0,0,1766873247783
0,0.03,1766873249180
0,0.08,1766873250383
0,2,1766873251861
0,0,1766873253111
0,0,1766873254483
0,0,1766873255777
0,0,1766873257063
0,0,1766873258315
0,0,1766873259780
0,0.08,1766873261102
0,0,1766873262412
0,0,1766873263864
0,0,1766873265193
0,8,1766873266480
0,0,1766873268022
0,0.09,1766873269418
0,0.09,1766873270677
0,0,1766873271924
0,0,1766873273328
0,0,1766873274865
0,0,1766873276401
0,0.09,1766873277622
0,0,1766873279066
0,0,1766873280276
0,0.02,1766873281627
0,0,1766873283160
0,1,1766873284479
0,0.03,1766873285953
0,3,1766873287384
0,8,1766873288883
0,0,1766873290359
0,0,1766873291808
0,0,1766873293301
0,0,1766873294617
0,0.03,1766873295996
0,0,1766873297254
0,8,1766873298782
0,0,1766873300135
0,0,1766873301209
0,0,1766873302672
0,0.02,1766873303915
0,0,1766873305298
0,0.08,1766873306548
0,0,1766873307899
0,0.09,1766873308956
0,0,1766873310533
0,0,1766873311648
0,0.08,1766873312993
0,0,1766873314247
0,0,1766873315505
0,0,1766873316634
0,0,1766873318027
0,0,1766873319137
0,0.02,1766873320613
0,0,1766873322012
0,0,1766873323340
0,0.03,1766873324701
0,0.08,1766873325811
0,0.02,1766873327226
0,0.09,1766873328427
0,9,1766873329757
0,0,1766873331123
0,0,1766873332432
0,0,1766873333688
0,0,1766873335028
0,0.03,1766873336395
0,0.02,1766873337634
0,0,1766873338994
0,9,1766873340137
0,8,1766873341437
0,0.03,1766873343034
0,3,1766873344352
0,0,1766873345745
0,0,1766873347013
0,9,1766873348372
0,0,1766873349673
0,0,1766873350908
0,0,1766873352341
0,0,1766873353507
0,0,1766873354963
0,0.09,1766873356137
0,0.08,1766873357457
0,0,1766873358627
0,0,1766873359843
0,0.02,1766873361127
0,0,1766873362487
0,0.02,1766873363807
0,0.09,1766873365039
0,0,1766873366371
0,9,1766873367656
0,0,1766873368966
0,0,1766873370216
0,0.09,1766873371428
0,0,1766873372727
0,8,1766873374046
0,0,1766873375307
0,0.09,1766873376742
0,0,1766873377933
0,0,1766873379237
0,0.03,1766873380442
0,0.09,1766873381701
0,0.09,1766873383068
0,0.09,1766873384294
0,0,1766873385588
0,0,1766873386864
0,0,1766873388302
0,0,1766873389499
0,0,1766873390887
0,0,1766873392016
0,0,1766873393401
0,0,1766873394740
0,0,1766873396015
0,0.03,1766873397431
0,0,1766873398719
0,0.03,1766873399950
0,0.09,1766873401232
0,0,1766873402513
0,0,1766873403708
0,0,1766873405173
0,0,1766873406394
0,0,1766873407680
0,0,1766873409134
0,0,1766873410494
0,0,1766873411717
0,0,1766873413122
0,0.08,1766873414361
0,0,1766873415846
0,0.02,1766873417170
0,8,1766873418404
0,0,1766873419859
0,0,1766873421129
0,0,1766873422526
0,0,1766873423889
0,0,1766873425024
0,9,1766873426444
0,0,1766873427674
0,0.02,1766873428756
0,0,1766873430209
0,0.08,1766873431449
0,2,1766873432811
0,0,1766873434130
0,0,1766873435444
0,0,1766873436764
0,0,1766873438043
0,0,1766873439264
0,0,1766873440521
0,0,1766873441847
0,0.03,1766873443210
0,0.03,1766873444612
0,0,1766873445892
0,0.09,1766873447162
0,0.08,1766873448510
0,0,1766873449841
0,0,1766873451202
0,0,1766873452523
0,0,1766873453634
0,0,1766873454933
0,0,1766873456070
0,0,1766873457151
0,0.03,1766873458415
0,0,1766873459550
0,0.03,1766873460721
0,0,1766873461930
0,0,1766873463122
0,0.03,1766873464284
0,0.03,1766873465396
0,0,1766873466540
0,0,1766873467837
0,0,1766873469035
0,0.03,1766873470153
0,0,1766873471382
0,0,1766873472556
0,0,1766873473839
0,0,1766873475176
0,0.08,1766873476383
0,0,1766873477533
0,5,1766873478645
0,0,1766873479949
0,0.03,1766873481116
0,0,1766873482259
0,9,1766873483418
0,0,1766873484563
0,9,1766873485722
0,2,1766873487043
0,0,1766873488323
0,0,1766873489479
0,0,1766873490632
0,0,1766873491769
0,0,1766873492933
0,0,1766873494093
0,0,1766873495270
0,0,1766873496457
0,0,1766873497631
0,0.03,1766873498789
0,0,1766873499915
0,0,1766873501109
0,0.02,1766873502247
0,0.08,1766873503458
0,0.03,1766873504830
0,0.02,1766873505952
0,0,1766873507079
0,0.02,1766873508282
0,0,1766873509458
0,0,1766873510656
0,0.02,1766873511870
0,0,1766873513037
0,0.02,1766873514214
0,0.03,1766873515494
0,0,1766873516722
0,0.02,1766873517892
0,9,1766873519100
0,0.02,1766873520444
0,0.03,1766873521758
0,0,1766873522973
0,0,1766873523783
