cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,7.4,1766873150466
0,6.7,1766873151389
0,6.7,1766873152238
0,6.7,1766873153094
0,6.6,1766873153918
0,6.6,1766873154733
0,6.8,1766873155410
0,6.9,1766873156080
0,6.8,1766873156897
0,6.6,1766873157790
0,6.7,1766873158700
0,6.6,1766873159522
0,6.5,1766873160341
0,6.6,1766873161125
0,6.8,1766873161893
0,6.7,1766873162646
0,6.7,1766873163459
0,6.6,1766873164326
0,6.7,1766873165200
0,6.7,1766873165973
0,7.1,1766873166900
0,6.8,1766873167677
0,6.7,1766873168467
0,6.7,1766873169296
0,6.6,1766873170204
0,7.2,1766873171088
0,7.8,1766873171967
0,7.6,1766873172850
0,7.7,1766873173643
0,7.6,1766873174452
0,7.8,1766873175264
0,7.3,1766873176029
0,7.2,1766873177119
0,7.3,1766873178010
0,6.6,1766873178956
0,7.4,1766873179963
0,7.2,1766873180948
0,7.3,1766873181896
0,7.2,1766873182802
0,7.5,1766873183579
0,7.3,1766873184362
0,7.0,1766873185355
0,6.9,1766873186423
0,7.2,1766873187447
0,7.1,1766873188410
0,7.2,1766873189332
0,7.1,1766873190172
0,7.3,1766873191015
0,7.4,1766873191865
0,7.2,1766873192822
0,7.2,1766873193855
0,7.1,1766873194852
0,7.0,1766873195691
0,7.1,1766873196689
0,7.1,1766873197709
0,7.1,1766873198583
0,7.3,1766873199490
0,7.3,1766873200457
0,7.3,1766873201365
0,7.3,1766873202333
0,7.3,1766873203256
0,7.2,1766873204241
0,6.9,1766873205157
0,7.1,1766873206143
0,7.2,1766873207136
0,7.1,1766873208140
0,7.1,1766873209042
0,7.0,1766873210016
0,7.4,1766873210913
0,7.4,1766873211790
0,7.2,1766873212682
0,7.3,1766873213596
0,7.2,1766873214585
0,7.0,1766873215537
0,7.1,1766873216468
0,7.2,1766873217398
0,7.1,1766873218333
0,6.9,1766873219299
0,7.1,1766873220210
0,7.3,1766873221038
0,7.6,1766873221893
0,7.2,1766873222875
0,7.1,1766873223757
0,7.3,1766873224700
