memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,2.3,1766873150466
0,2.3,1766873151389
0,2.3,1766873152238
0,2.3,1766873153094
0,2.3,1766873153918
0,2.3,1766873154733
0,2.3,1766873155411
0,2.3,1766873156080
0,2.3,1766873156897
0,2.3,1766873157790
0,2.3,1766873158700
0,2.3,1766873159522
0,2.3,1766873160341
0,2.3,1766873161125
0,2.3,1766873161894
0,2.3,1766873162646
0,2.3,1766873163459
0,2.3,1766873164326
0,2.3,1766873165200
0,2.3,1766873165973
0,2.3,1766873166901
0,2.3,1766873167677
0,2.3,1766873168467
0,2.3,1766873169296
0,2.3,1766873170204
0,2.3,1766873171088
0,2.4,1766873171967
0,2.4,1766873172850
0,2.4,1766873173643
0,2.4,1766873174452
0,2.4,1766873175264
0,2.4,1766873176030
0,2.4,1766873177119
0,2.4,1766873178010
0,2.4,1766873178956
0,2.4,1766873179963
0,2.4,1766873180948
0,2.4,1766873181896
0,2.4,1766873182802
0,2.4,1766873183580
0,2.4,1766873184362
0,2.4,1766873185355
0,2.4,1766873186423
0,2.4,1766873187447
0,2.4,1766873188410
0,2.4,1766873189332
0,2.4,1766873190172
0,2.4,1766873191015
0,2.4,1766873191865
0,2.4,1766873192822
0,2.4,1766873193855
0,2.4,1766873194852
0,2.4,1766873195691
0,2.4,1766873196689
0,2.4,1766873197709
0,2.4,1766873198583
0,2.4,1766873199490
0,2.4,1766873200457
0,2.4,1766873201365
0,2.4,1766873202333
0,2.4,1766873203256
0,2.4,1766873204241
0,2.4,1766873205157
0,2.4,1766873206144
0,2.4,1766873207136
0,2.4,1766873208140
0,2.4,1766873209042
0,2.4,1766873210017
0,2.4,1766873210913
0,2.4,1766873211790
0,2.4,1766873212682
0,2.4,1766873213596
0,2.4,1766873214585
0,2.4,1766873215537
0,2.4,1766873216468
0,2.4,1766873217398
0,2.4,1766873218333
0,2.4,1766873219299
0,2.4,1766873220210
0,2.4,1766873221038
0,2.4,1766873221893
0,2.4,1766873222875
0,2.4,1766873223758
0,2.4,1766873224700
0,2.4,1766873225716
0,2.4,1766873226706
0,2.4,1766873227588
0,2.4,1766873228417
0,2.4,1766873229303
0,2.4,1766873230284
0,2.4,1766873231265
0,2.4,1766873232184
0,2.4,1766873232955
0,2.3,1766873233749
0,2.3,1766873234455
0,2.3,1766873235133
0,2.3,1766873236083
0,2.3,1766873236850
0,2.3,1766873237599
0,2.3,1766873238262
0,2.3,1766873239018
0,2.3,1766873239821
0,2.3,1766873240647
0,2.3,1766873241428
0,2.3,1766873242223
0,2.3,1766873243006
0,2.3,1766873243793
0,2.3,1766873244699
0,2.3,1766873245497
0,2.3,1766873246273
0,2.3,1766873247039
0,2.3,1766873247731
0,2.3,1766873248569
0,2.3,1766873249450
0,2.3,1766873250264
0,2.3,1766873251126
0,2.3,1766873251961
0,2.3,1766873252748
0,2.3,1766873253576
0,2.3,1766873254449
0,2.3,1766873255350
0,2.3,1766873256131
0,2.3,1766873256934
0,2.3,1766873257598
0,2.3,1766873258420
0,2.3,1766873259305
0,2.3,1766873260258
0,2.3,1766873261181
0,2.4,1766873261998
0,2.4,1766873262884
0,2.4,1766873263580
0,2.4,1766873264469
0,2.4,1766873265433
0,2.4,1766873266490
0,2.4,1766873267439
0,2.4,1766873268256
0,2.4,1766873269123
0,2.4,1766873270139
0,2.4,1766873270994
0,2.4,1766873271738
0,2.4,1766873272789
0,2.4,1766873273551
0,2.4,1766873274382
0,2.4,1766873275314
0,2.4,1766873276157
0,2.4,1766873277031
0,2.4,1766873277943
0,2.4,1766873278697
0,2.4,1766873279413
0,2.4,1766873280271
0,2.4,1766873281018
0,2.4,1766873281854
0,2.4,1766873282751
0,2.4,1766873283516
0,2.4,1766873284232
0,2.4,1766873285044
0,2.4,1766873285911
0,2.4,1766873286800
0,2.4,1766873287602
0,2.4,1766873288474
0,2.4,1766873289272
0,2.4,1766873290067
0,2.4,1766873291104
0,2.4,1766873291801
0,2.4,1766873292538
0,2.4,1766873293599
0,2.4,1766873294402
0,2.4,1766873295166
0,2.4,1766873296126
0,2.4,1766873297007
0,2.4,1766873297854
0,2.4,1766873298713
0,2.4,1766873299339
0,2.4,1766873300104
0,2.4,1766873301005
0,2.4,1766873301959
0,2.4,1766873302785
0,2.4,1766873303577
0,2.4,1766873304484
0,2.4,1766873305212
0,2.4,1766873306034
0,2.4,1766873306941
0,2.4,1766873307745
0,2.4,1766873308458
0,2.4,1766873309493
0,2.4,1766873310428
0,2.4,1766873311209
0,2.4,1766873312022
0,2.4,1766873312852
0,2.4,1766873313566
0,2.4,1766873314469
0,2.4,1766873315438
0,2.4,1766873316130
0,2.4,1766873316897
0,2.4,1766873317805
0,2.4,1766873318613
0,2.4,1766873319375
0,2.4,1766873320426
0,2.4,1766873321186
0,2.4,1766873321983
0,2.4,1766873322917
0,2.4,1766873323720
0,2.4,1766873324477
0,2.4,1766873325564
0,2.4,1766873326505
0,2.4,1766873327413
0,2.4,1766873328470
0,2.4,1766873329257
0,2.4,1766873329993
0,2.4,1766873331012
0,2.4,1766873331788
0,2.4,1766873332460
0,2.4,1766873333380
0,2.4,1766873334214
0,2.4,1766873335012
0,2.4,1766873335825
0,2.4,1766873336616
0,2.4,1766873337390
0,2.4,1766873338220
0,2.4,1766873339120
0,2.4,1766873339835
0,2.4,1766873340501
0,2.4,1766873341549
0,2.4,1766873342323
0,2.4,1766873343110
0,2.4,1766873343929
0,2.4,1766873344651
0,2.4,1766873345455
0,2.4,1766873346278
0,2.4,1766873347280
0,2.4,1766873348047
0,2.4,1766873348741
0,2.4,1766873349624
0,2.4,1766873350296
0,2.4,1766873351124
0,2.4,1766873352068
0,2.4,1766873352831
0,2.4,1766873353603
0,2.4,1766873354429
0,2.4,1766873355281
0,2.4,1766873356095
0,2.4,1766873356973
0,2.4,1766873357948
0,2.4,1766873358692
0,2.4,1766873359461
0,2.4,1766873360410
0,2.4,1766873361264
0,2.4,1766873362095
0,2.4,1766873362970
0,2.4,1766873363710
0,2.4,1766873364334
0,2.4,1766873365155
0,2.4,1766873366114
0,2.4,1766873367005
0,2.4,1766873367814
0,2.4,1766873368786
0,2.4,1766873369531
0,2.5,1766873370152
0,2.4,1766873371181
0,2.4,1766873372072
0,2.4,1766873372910
0,2.4,1766873373939
0,2.4,1766873374823
0,2.4,1766873375718
0,2.4,1766873376688
0,2.4,1766873377394
0,2.5,1766873378142
0,2.4,1766873379133
0,2.4,1766873380039
0,2.4,1766873380844
0,2.5,1766873381786
0,2.4,1766873382499
0,2.4,1766873383215
0,2.5,1766873384087
0,2.4,1766873384935
0,2.4,1766873385661
0,2.4,1766873386321
0,2.3,1766873387193
0,2.3,1766873387833
0,2.3,1766873388405
0,2.3,1766873389027
0,2.3,1766873389802
0,2.3,1766873390465
0,2.3,1766873391097
0,2.3,1766873391822
0,2.3,1766873392464
0,2.3,1766873393142
0,2.3,1766873393814
0,2.3,1766873394674
0,2.3,1766873395258
0,2.3,1766873395889
0,2.3,1766873396571
0,2.3,1766873397497
0,2.3,1766873398260
0,2.3,1766873398904
0,2.3,1766873399671
0,2.3,1766873400404
0,2.3,1766873401039
0,2.3,1766873401769
0,2.3,1766873402637
0,2.3,1766873403324
0,2.3,1766873404006
0,2.3,1766873404912
0,2.3,1766873405477
0,2.3,1766873406078
0,2.3,1766873406867
0,2.3,1766873407670
0,2.3,1766873408316
0,2.3,1766873408965
0,2.3,1766873409772
0,2.3,1766873410540
0,2.3,1766873411173
0,2.3,1766873411875
0,2.3,1766873412799
0,2.3,1766873413434
0,2.3,1766873414098
0,2.3,1766873414830
0,2.3,1766873415502
0,2.3,1766873416228
0,2.3,1766873416883
0,2.3,1766873417767
0,2.3,1766873418430
0,2.3,1766873419058
0,2.3,1766873419751
0,2.3,1766873420621
0,2.3,1766873421304
0,2.3,1766873422014
0,2.3,1766873422927
0,2.3,1766873423540
0,2.3,1766873424310
0,2.3,1766873425114
0,2.3,1766873425835
0,2.2,1766873426542
0,2.2,1766873427247
0,2.2,1766873427880
0,2.2,1766873428507
0,2.2,1766873429283
0,2.2,1766873430001
0,2.2,1766873430597
0,2.2,1766873431213
0,2.2,1766873431877
0,2.2,1766873432615
0,2.2,1766873433297
0,2.2,1766873433981
0,2.2,1766873434614
0,2.2,1766873435374
0,2.2,1766873436094
0,2.2,1766873436876
0,2.2,1766873437637
0,2.2,1766873438310
0,2.2,1766873438997
0,2.2,1766873439711
0,2.2,1766873440433
0,2.2,1766873441213
0,2.2,1766873441970
0,2.2,1766873442665
0,2.2,1766873443384
0,2.2,1766873444106
0,2.2,1766873444816
0,2.2,1766873445531
0,2.2,1766873446230
0,2.2,1766873447033
0,2.2,1766873447712
0,2.2,1766873448487
0,2.2,1766873449168
0,2.2,1766873449842
0,2.2,1766873450549
0,2.2,1766873451340
0,2.2,1766873452100
0,2.2,1766873452751
0,2.2,1766873453406
0,2.2,1766873454036
0,2.2,1766873454663
0,2.2,1766873455483
0,2.2,1766873456305
0,2.2,1766873457022
0,2.2,1766873457672
0,2.2,1766873458296
0,2.2,1766873459028
0,2.2,1766873459750
0,2.2,1766873460487
0,2.2,1766873461266
0,2.2,1766873462031
0,2.2,1766873462704
0,2.2,1766873463416
0,2.2,1766873464167
0,2.2,1766873464992
0,2.2,1766873465651
0,2.2,1766873466284
0,2.2,1766873467057
0,2.2,1766873467762
0,2.2,1766873468550
0,2.2,1766873469266
0,2.2,1766873469974
0,2.2,1766873470695
0,2.2,1766873471435
0,2.2,1766873472096
0,2.2,1766873472795
0,2.2,1766873473591
0,2.2,1766873474302
0,2.2,1766873475061
0,2.2,1766873475716
0,2.2,1766873476356
0,2.2,1766873477119
0,2.2,1766873477936
0,2.2,1766873478736
0,2.2,1766873479487
0,2.2,1766873480216
0,2.2,1766873480900
0,2.2,1766873481615
0,2.2,1766873482317
0,2.2,1766873483044
0,2.2,1766873483861
0,2.2,1766873484665
0,2.2,1766873485334
0,2.2,1766873486067
0,2.2,1766873486801
0,2.2,1766873487585
0,2.2,1766873488317
0,2.2,1766873489060
0,2.2,1766873489828
0,2.2,1766873490694
0,2.2,1766873491373
0,2.2,1766873492074
0,2.2,1766873492695
0,2.2,1766873493405
0,2.2,1766873494153
0,2.2,1766873494918
0,2.2,1766873495628
0,2.2,1766873496337
0,2.2,1766873497115
0,2.2,1766873497925
0,2.2,1766873498686
0,2.2,1766873499345
0,2.2,1766873499983
0,2.2,1766873500784
0,2.2,1766873501520
0,2.2,1766873502243
0,2.2,1766873502977
0,2.2,1766873503672
0,2.2,1766873504309
0,2.2,1766873504976
0,2.2,1766873505654
0,2.2,1766873506342
0,2.2,1766873507145
0,2.2,1766873507885
0,2.2,1766873508499
0,2.2,1766873509273
0,2.2,1766873510111
0,2.2,1766873510890
0,2.2,1766873511615
0,2.2,1766873512338
0,2.2,1766873513062
0,2.2,1766873513768
0,2.2,1766873514514
0,2.2,1766873515275
0,2.2,1766873516029
0,2.2,1766873516698
0,2.2,1766873517334
0,2.2,1766873518009
0,2.2,1766873518688
0,2.2,1766873519419
0,2.2,1766873520089
0,2.2,1766873520763
0,2.2,1766873521433
0,2.2,1766873522211
0,2.2,1766873523023
0,2.2,1766873523708
0,2.2,1766873524396
0,2.2,1766873525128
0,2.2,1766873525882
0,2.2,1766873526569
0,2.2,1766873527247
0,2.2,1766873528026
0,2.2,1766873528819
0,2.2,1766873529506
0,2.2,1766873530301
0,2.2,1766873531091
0,2.2,1766873531798
0,2.2,1766873532544
0,2.2,1766873533205
0,2.2,1766873534017
0,2.2,1766873534682
0,2.2,1766873535455
0,2.2,1766873536191
0,2.2,1766873536881
0,2.2,1766873537545
0,2.2,1766873538234
0,2.2,1766873538925
0,2.2,1766873539595
0,2.2,1766873540413
0,2.2,1766873541143
0,2.2,1766873541878
0,2.2,1766873542496
0,2.2,1766873543223
0,2.2,1766873544010
0,2.2,1766873544699
0,2.2,1766873545398
0,2.2,1766873546046
0,2.2,1766873546736
0,2.2,1766873547540
0,2.2,1766873548338
0,2.2,1766873549007
0,2.2,1766873549732
0,2.2,1766873550427
0,2.2,1766873551141
0,2.2,1766873551802
0,2.2,1766873552596
0,2.2,1766873553369
0,2.2,1766873554089
0,2.2,1766873554849
0,2.2,1766873555521
0,2.2,1766873556166
0,2.2,1766873556943
0,2.2,1766873557657
0,2.2,1766873558379
0,2.2,1766873559064
0,2.2,1766873559807
0,2.2,1766873560496
0,2.2,1766873561309
0,2.2,1766873562090
0,2.2,1766873562872
0,2.2,1766873563561
0,2.2,1766873564268
0,2.2,1766873564865
0,2.2,1766873565687
0,2.2,1766873566455
0,2.2,1766873567101
0,2.2,1766873567758
0,2.2,1766873568474
0,2.2,1766873569147
0,2.2,1766873569820
0,2.2,1766873570552
0,2.2,1766873571386
0,2.2,1766873572073
0,2.2,1766873572831
0,2.2,1766873573450
0,2.2,1766873574200
0,2.2,1766873574940
0,2.2,1766873575654
0,2.2,1766873576382
0,2.2,1766873577046
0,2.2,1766873577696
0,2.2,1766873578423
0,2.2,1766873579192
0,2.2,1766873579904
0,2.2,1766873580612
0,2.2,1766873581297
0,2.2,1766873581928
0,2.2,1766873582639
0,2.2,1766873583344
0,2.2,1766873584045
0,2.2,1766873584627
0,2.2,1766873585345
0,2.2,1766873586103
0,2.2,1766873586941
0,2.2,1766873587676
0,2.2,1766873588423
0,2.2,1766873589111
0,2.2,1766873589829
0,2.2,1766873590483
0,2.2,1766873591195
0,2.2,1766873591870
0,2.2,1766873592634
0,2.2,1766873593300
0,2.2,1766873593994
0,2.2,1766873594749
0,2.2,1766873595463
0,2.2,1766873596201
0,2.2,1766873596981
0,2.2,1766873597698
0,2.2,1766873598441
0,2.2,1766873599072
0,2.2,1766873599780
0,2.2,1766873600582
0,2.2,1766873601366
0,2.2,1766873602143
0,2.2,1766873602794
0,2.2,1766873603446
0,2.2,1766873604199
0,2.2,1766873604980
0,2.2,1766873605748
0,2.2,1766873606483
0,2.2,1766873607159
0,2.2,1766873607886
0,2.2,1766873608613
0,2.2,1766873609386
0,2.2,1766873610047
0,2.1,1766873610788
0,2.1,1766873611370
0,2.1,1766873611934
0,2.1,1766873612561
0,2.1,1766873613130
0,2.1,1766873613764
0,2.1,1766873614391
0,2.1,1766873614971
0,2.1,1766873615619
0,2.1,1766873616196
0,2.1,1766873616916
0,2.1,1766873617532
0,2.1,1766873618165
0,2.1,1766873618783
0,2.1,1766873619378
0,2.1,1766873619974
0,2.1,1766873620680
0,2.1,1766873621316
0,2.1,1766873621909
0,2.1,1766873622580
0,2.1,1766873623269
0,2.1,1766873623907
0,2.1,1766873624493
