memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,4.0,1766873045315
0,4.2,1766873045977
0,4.2,1766873046622
0,4.2,1766873047395
0,4.3,1766873048218
0,4.3,1766873048864
0,4.3,1766873049502
0,4.3,1766873050339
0,4.3,1766873051088
0,4.3,1766873051801
0,4.3,1766873052663
0,4.3,1766873053624
0,4.3,1766873054543
0,4.3,1766873055260
0,4.3,1766873056289
0,4.3,1766873057153
0,4.3,1766873058116
0,4.3,1766873058899
0,4.3,1766873059920
0,4.3,1766873060796
0,4.3,1766873061800
0,4.3,1766873062608
0,4.3,1766873063509
0,4.3,1766873064385
0,4.3,1766873065227
0,4.3,1766873066426
0,4.3,1766873067092
0,4.3,1766873067922
0,4.3,1766873068834
0,4.3,1766873069778
0,4.3,1766873070501
0,4.3,1766873071535
0,4.3,1766873072319
0,4.3,1766873073234
0,4.3,1766873074286
0,4.3,1766873075010
0,4.3,1766873075834
0,4.3,1766873076878
0,4.3,1766873077730
0,4.3,1766873078441
0,4.3,1766873079386
0,4.3,1766873080229
0,4.3,1766873081113
0,4.3,1766873082012
0,4.3,1766873082815
0,4.3,1766873083655
0,4.3,1766873084679
0,4.3,1766873085356
0,4.3,1766873086275
0,4.3,1766873087265
0,4.3,1766873088109
0,4.3,1766873088827
0,4.3,1766873089827
0,4.3,1766873090590
0,4.3,1766873091298
0,4.3,1766873092108
0,4.3,1766873093037
0,4.3,1766873093859
0,4.3,1766873094652
0,4.3,1766873095513
0,4.3,1766873096348
0,4.3,1766873097392
0,4.3,1766873098102
0,4.3,1766873099033
0,4.3,1766873099968
0,4.3,1766873100862
0,4.3,1766873101577
0,4.3,1766873102649
0,4.3,1766873103496
0,4.3,1766873104273
0,4.3,1766873105374
0,4.3,1766873106094
0,4.3,1766873107160
0,4.3,1766873107852
0,4.3,1766873108771
0,4.3,1766873109854
0,4.3,1766873110560
0,4.3,1766873111433
0,4.3,1766873112358
0,4.3,1766873113308
0,4.3,1766873114200
0,4.3,1766873115040
0,4.3,1766873115865
0,4.3,1766873116866
0,4.3,1766873117875
0,4.3,1766873118627
0,4.3,1766873119617
0,4.3,1766873120308
0,4.3,1766873121345
0,4.3,1766873122328
0,4.3,1766873122921
0,4.3,1766873123964
0,4.3,1766873124841
0,4.3,1766873125691
0,4.3,1766873126792
0,4.3,1766873127529
0,4.3,1766873128492
0,4.3,1766873129338
0,4.3,1766873130166
0,4.3,1766873131216
0,4.3,1766873132113
0,4.3,1766873133052
0,4.3,1766873133875
0,4.3,1766873134634
0,4.3,1766873135751
0,4.3,1766873136642
0,4.3,1766873137429
0,4.3,1766873138393
0,4.3,1766873139186
0,4.3,1766873140317
0,4.3,1766873141082
0,4.3,1766873141824
0,4.3,1766873142977
0,4.3,1766873143867
0,4.3,1766873144817
0,4.3,1766873145689
0,4.3,1766873146488
0,4.3,1766873147616
0,4.3,1766873148517
0,4.3,1766873149466
0,4.3,1766873150203
0,4.3,1766873151069
0,4.3,1766873152021
0,4.3,1766873152995
0,4.3,1766873153789
0,4.3,1766873154856
0,4.3,1766873155602
0,4.3,1766873156487
0,4.3,1766873157509
0,4.3,1766873158288
0,4.3,1766873159327
0,4.3,1766873160020
0,4.3,1766873161000
0,4.3,1766873161953
0,4.3,1766873162664
0,4.3,1766873163504
0,4.3,1766873164420
0,4.3,1766873165348
0,4.3,1766873166596
0,4.3,1766873167369
0,4.3,1766873168283
0,4.3,1766873169100
0,4.3,1766873169865
0,4.3,1766873170934
0,4.3,1766873171609
0,4.3,1766873172454
0,4.3,1766873173472
0,4.3,1766873174265
0,4.3,1766873175383
0,4.3,1766873176063
0,4.3,1766873176984
0,4.3,1766873177967
0,4.3,1766873178552
0,4.3,1766873179542
0,4.3,1766873180312
0,4.3,1766873181364
0,4.3,1766873182345
0,4.3,1766873183016
0,4.3,1766873183872
0,4.3,1766873184784
0,4.3,1766873185742
0,4.3,1766873186587
0,4.3,1766873187566
0,4.3,1766873188425
0,4.3,1766873189313
0,4.1,1766873190496
0,4.1,1766873191289
0,4.1,1766873192062
0,4.1,1766873192813
0,4.1,1766873193579
0,4.1,1766873194464
0,4.1,1766873195172
0,4.1,1766873195947
0,4.1,1766873196752
0,4.1,1766873197618
0,4.1,1766873198368
0,4.1,1766873199139
0,4.1,1766873199829
0,4.1,1766873200767
0,4.1,1766873201503
0,4.1,1766873202390
0,4.1,1766873203391
0,4.1,1766873204180
0,4.1,1766873205102
0,4.1,1766873205833
0,4.1,1766873206825
0,4.1,1766873207671
0,4.1,1766873208594
0,4.1,1766873209312
0,4.1,1766873210193
0,4.1,1766873211136
0,4.1,1766873211975
0,4.1,1766873212918
0,4.1,1766873213673
0,4.2,1766873214681
0,4.2,1766873215474
0,4.2,1766873216432
0,4.2,1766873217342
0,4.2,1766873218088
0,4.2,1766873219193
0,4.2,1766873220064
0,4.2,1766873220919
0,4.2,1766873222009
0,4.2,1766873222774
0,4.3,1766873223572
0,4.3,1766873224462
0,4.3,1766873225535
