disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.4,1766873045593
0,0.4,1766873046542
0,0.4,1766873047603
0,0.4,1766873048641
0,0.4,1766873049455
0,0.4,1766873050445
0,0.4,1766873051550
0,0.4,1766873052531
0,0.4,1766873053740
0,0.4,1766873055064
0,0.4,1766873056404
0,0.4,1766873057423
0,0.4,1766873058801
0,0.4,1766873059800
0,0.4,1766873060848
0,0.4,1766873062057
0,0.4,1766873063233
0,0.4,1766873064217
0,0.4,1766873065374
0,0.4,1766873066871
0,0.4,1766873067882
0,0.4,1766873069054
0,0.4,1766873070149
0,0.4,1766873071337
0,0.4,1766873072403
0,0.4,1766873073570
0,0.4,1766873074847
0,0.4,1766873075956
0,0.4,1766873077253
0,0.4,1766873078196
0,0.4,1766873079327
0,0.4,1766873080387
0,0.4,1766873081500
0,0.4,1766873082785
0,0.4,1766873083802
0,0.4,1766873085101
0,0.4,1766873086357
0,0.4,1766873087677
0,0.4,1766873088699
0,0.4,1766873089958
0,0.4,1766873091095
0,0.4,1766873092074
0,0.4,1766873093257
0,0.4,1766873094450
0,0.4,1766873095649
0,0.4,1766873096566
0,0.4,1766873097907
0,0.4,1766873098912
0,0.4,1766873100084
0,0.4,1766873101124
0,0.4,1766873102330
0,0.4,1766873103282
0,0.4,1766873104341
0,0.4,1766873105622
0,0.4,1766873106528
0,0.4,1766873107701
0,0.4,1766873108843
0,0.4,1766873110207
0,0.4,1766873111148
0,0.4,1766873112316
0,0.4,1766873113550
0,0.4,1766873114823
0,0.4,1766873115714
0,0.4,1766873116898
0,0.4,1766873118105
0,0.4,1766873119218
0,0.4,1766873120161
0,0.4,1766873121456
0,0.4,1766873122652
0,0.4,1766873123782
0,0.4,1766873124732
0,0.4,1766873125782
0,0.4,1766873127073
0,0.4,1766873128172
0,0.4,1766873129266
0,0.4,1766873130208
0,0.4,1766873131484
0,0.4,1766873132563
0,0.4,1766873133742
0,0.4,1766873134764
0,0.4,1766873135948
0,0.4,1766873137165
0,0.4,1766873138284
0,0.4,1766873139277
0,0.4,1766873140557
0,0.4,1766873141699
0,0.4,1766873143043
0,0.4,1766873144159
0,0.4,1766873145275
0,0.4,1766873146282
0,0.4,1766873147448
0,0.4,1766873148580
0,0.4,1766873149899
0,0.4,1766873150850
0,0.4,1766873151947
0,0.4,1766873153189
0,0.4,1766873154382
0,0.4,1766873155309
0,0.4,1766873156423
0,0.4,1766873157666
0,0.4,1766873158669
0,0.4,1766873159837
0,0.4,1766873160962
0,0.4,1766873162164
0,0.4,1766873163142
0,0.4,1766873164396
0,0.4,1766873165482
0,0.4,1766873166810
0,0.4,1766873167870
0,0.4,1766873168910
0,0.4,1766873169948
0,0.4,1766873171301
0,0.4,1766873172462
0,0.4,1766873173737
0,0.4,1766873174753
0,0.4,1766873175851
0,0.4,1766873177033
0,0.4,1766873178365
0,0.4,1766873179357
0,0.4,1766873180471
0,0.4,1766873181580
0,0.4,1766873182677
0,0.4,1766873183783
