gpu_power_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.0,1766873045912
0,0.0,1766873046954
0,0.0,1766873048077
0,0.0,1766873048933
0,0.0,1766873049950
0,0.0,1766873051081
0,0.0,1766873051991
0,0.0,1766873053190
0,0.0,1766873054491
0,0.0,1766873055817
0,0.0,1766873056965
0,0.0,1766873058190
0,0.0,1766873059317
0,0.0,1766873060317
0,0.0,1766873061549
0,0.0,1766873062666
0,0.0,1766873063732
0,0.0,1766873064803
0,0.0,1766873066291
0,0.0,1766873067352
0,0.0,1766873068510
0,0.0,1766873069685
0,0.0,1766873070713
0,0.0,1766873071898
0,0.0,1766873073046
0,0.0,1766873074307
0,0.0,1766873075429
0,0.0,1766873076701
0,0.0,1766873077737
0,0.0,1766873078725
0,0.0,1766873079889
0,0.0,1766873081010
0,0.0,1766873082214
0,0.0,1766873083321
0,0.0,1766873084568
0,0.0,1766873085804
0,0.0,1766873087130
0,0.0,1766873088194
0,0.0,1766873089415
0,0.0,1766873090563
0,0.0,1766873091571
0,0.0,1766873092769
0,0.0,1766873093885
0,0.0,1766873095126
0,0.0,1766873096163
0,0.0,1766873097394
0,0.0,1766873098429
0,0.0,1766873099546
0,0.0,1766873100723
0,0.0,1766873101763
0,0.0,1766873102784
0,0.0,1766873103903
0,0.0,1766873105126
0,0.0,1766873106087
0,0.0,1766873107211
0,0.0,1766873108447
0,0.0,1766873109748
0,0.0,1766873110671
0,0.0,1766873111821
0,0.0,1766873113104
0,0.0,1766873114320
0,0.0,1766873115315
0,0.0,1766873116377
0,0.0,1766873117665
0,0.0,1766873118710
0,0.0,1766873119764
0,0.0,1766873120857
0,0.0,1766873122185
0,0.0,1766873123294
0,0.0,1766873124323
0,0.0,1766873125331
0,0.0,1766873126649
0,0.0,1766873127713
0,0.0,1766873128786
0,0.0,1766873129804
0,0.0,1766873131058
0,0.0,1766873132148
0,0.0,1766873133252
0,0.0,1766873134311
0,0.0,1766873135503
0,0.0,1766873136690
0,0.0,1766873137797
0,0.0,1766873138826
0,0.0,1766873140125
0,0.0,1766873141245
0,0.0,1766873142555
0,0.0,1766873143686
0,0.0,1766873144836
0,0.0,1766873145901
0,0.0,1766873146992
0,0.0,1766873148122
0,0.0,1766873149383
0,0.0,1766873150427
0,0.0,1766873151500
0,0.0,1766873152735
0,0.0,1766873153845
0,0.0,1766873154909
0,0.0,1766873155934
0,0.0,1766873157186
0,0.0,1766873158228
0,0.0,1766873159374
0,0.0,1766873160497
0,0.0,1766873161675
0,0.0,1766873162684
0,0.0,1766873163910
0,0.0,1766873165066
0,0.0,1766873166359
0,0.0,1766873167415
0,0.0,1766873168459
0,0.0,1766873169551
0,0.0,1766873170825
0,0.0,1766873172027
0,0.0,1766873173254
0,0.0,1766873174235
0,0.0,1766873175410
0,0.0,1766873176598
0,0.0,1766873177826
0,0.0,1766873178881
