gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,29.0,1766873045800
0,30.0,1766873046780
0,30.0,1766873047924
0,29.0,1766873048837
0,30.0,1766873049795
0,30.0,1766873050877
0,30.0,1766873051846
0,30.0,1766873052993
0,30.0,1766873054258
0,30.0,1766873055546
0,30.0,1766873056787
0,30.0,1766873057978
0,30.0,1766873059149
0,30.0,1766873060130
0,30.0,1766873061368
0,30.0,1766873062461
0,30.0,1766873063577
0,30.0,1766873064584
0,30.0,1766873066082
0,30.0,1766873067188
0,31.0,1766873068231
0,30.0,1766873069572
0,31.0,1766873070474
0,31.0,1766873071730
0,31.0,1766873072843
0,31.0,1766873074127
0,31.0,1766873075249
0,31.0,1766873076436
0,31.0,1766873077621
0,31.0,1766873078509
0,31.0,1766873079726
0,31.0,1766873080857
0,31.0,1766873081980
0,31.0,1766873083163
0,31.0,1766873084315
0,31.0,1766873085549
0,31.0,1766873086789
0,31.0,1766873088036
0,31.0,1766873089175
0,31.0,1766873090369
0,31.0,1766873091370
0,31.0,1766873092622
0,31.0,1766873093657
0,31.0,1766873094914
0,31.0,1766873096006
0,31.0,1766873097195
0,31.0,1766873098157
0,31.0,1766873099284
0,31.0,1766873100551
0,31.0,1766873101529
0,31.0,1766873102625
0,31.0,1766873103706
0,31.0,1766873104851
0,31.0,1766873105971
0,31.0,1766873107016
0,31.0,1766873108192
0,31.0,1766873109425
0,31.0,1766873110535
0,31.0,1766873111536
0,31.0,1766873112851
0,31.0,1766873114053
0,31.0,1766873115147
0,31.0,1766873116136
0,31.0,1766873117445
0,31.0,1766873118461
0,31.0,1766873119603
0,31.0,1766873120581
0,31.0,1766873121938
0,31.0,1766873122975
0,31.0,1766873124130
0,31.0,1766873125118
0,31.0,1766873126401
0,31.0,1766873127475
0,31.0,1766873128570
0,31.0,1766873129631
0,31.0,1766873130846
0,31.0,1766873131995
0,31.0,1766873132998
0,31.0,1766873134111
0,31.0,1766873135251
0,31.0,1766873136503
0,31.0,1766873137563
0,31.0,1766873138629
0,31.0,1766873139917
0,31.0,1766873141041
0,31.0,1766873142225
0,31.0,1766873143474
0,31.0,1766873144625
0,31.0,1766873145728
0,31.0,1766873146699
0,31.0,1766873147830
0,32.0,1766873149113
0,31.0,1766873150267
0,31.0,1766873151282
0,31.0,1766873152505
0,31.0,1766873153600
0,31.0,1766873154785
0,31.0,1766873155693
0,31.0,1766873156946
0,31.0,1766873158055
0,31.0,1766873159249
0,32.0,1766873160196
0,31.0,1766873161456
0,32.0,1766873162526
0,31.0,1766873163677
0,31.0,1766873164866
0,31.0,1766873166129
0,31.0,1766873167214
0,31.0,1766873168282
0,31.0,1766873169339
0,32.0,1766873170557
0,31.0,1766873171778
0,31.0,1766873173021
0,31.0,1766873174113
0,31.0,1766873175263
0,31.0,1766873176385
0,31.0,1766873177567
0,32.0,1766873178648
0,31.0,1766873179799
0,31.0,1766873181019
0,31.0,1766873182020
0,31.0,1766873183062
0,31.0,1766873184267
0,31.0,1766873185520
0,32.0,1766873186512
0,32.0,1766873187604
0,31.0,1766873188757
0,31.0,1766873189953
0,32.0,1766873191056
0,32.0,1766873191994
0,31.0,1766873193009
0,31.0,1766873194048
0,32.0,1766873195173
0,31.0,1766873196249
0,31.0,1766873197385
0,31.0,1766873198329
0,31.0,1766873199506
0,31.0,1766873200539
0,31.0,1766873201561
0,31.0,1766873202713
0,32.0,1766873203919
0,31.0,1766873205015
0,31.0,1766873205968
0,31.0,1766873207335
0,31.0,1766873208435
0,31.0,1766873209473
0,31.0,1766873210646
0,31.0,1766873211837
0,31.0,1766873212829
0,31.0,1766873213726
0,31.0,1766873214769
0,32.0,1766873215858
0,31.0,1766873217078
0,31.0,1766873218004
0,31.0,1766873219305
0,32.0,1766873220289
0,31.0,1766873221501
0,32.0,1766873222572
0,31.0,1766873223765
0,32.0,1766873225020
0,31.0,1766873226158
0,32.0,1766873227077
0,32.0,1766873228335
0,32.0,1766873229372
0,31.0,1766873230441
0,32.0,1766873231442
0,32.0,1766873232479
0,32.0,1766873233692
0,32.0,1766873234765
0,32.0,1766873235844
0,32.0,1766873237037
0,32.0,1766873238163
0,32.0,1766873239221
0,32.0,1766873240240
0,32.0,1766873241289
0,32.0,1766873242335
0,32.0,1766873243444
0,32.0,1766873244565
0,32.0,1766873245636
0,32.0,1766873246605
0,32.0,1766873247861
0,32.0,1766873248959
0,32.0,1766873250102
0,32.0,1766873251213
0,32.0,1766873252168
0,32.0,1766873253312
0,32.0,1766873254407
0,32.0,1766873255634
0,32.0,1766873256564
0,32.0,1766873257570
0,32.0,1766873258741
0,32.0,1766873260002
0,32.0,1766873261150
0,32.0,1766873262479
0,32.0,1766873263681
0,32.0,1766873264811
0,32.0,1766873265793
0,32.0,1766873267045
0,32.0,1766873268248
0,32.0,1766873269237
0,32.0,1766873270309
0,32.0,1766873271325
0,32.0,1766873272653
0,32.0,1766873273891
0,32.0,1766873275060
0,32.0,1766873276290
0,32.0,1766873277528
0,32.0,1766873278693
0,32.0,1766873279690
0,32.0,1766873280836
0,32.0,1766873282239
0,32.0,1766873283279
0,32.0,1766873284415
0,32.0,1766873285565
0,32.0,1766873286783
0,32.0,1766873288100
0,32.0,1766873289130
0,32.0,1766873290471
0,32.0,1766873291596
0,32.0,1766873292786
0,32.0,1766873293992
0,32.0,1766873295208
0,32.0,1766873296418
0,32.0,1766873297409
0,32.0,1766873298625
0,32.0,1766873299711
0,32.0,1766873300901
0,32.0,1766873302045
0,32.0,1766873303001
0,32.0,1766873304164
0,32.0,1766873305200
0,32.0,1766873306373
0,32.0,1766873307402
0,32.0,1766873308558
0,32.0,1766873309510
