cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,3.6,1766873046058
0,4.2,1766873047662
0,4.1,1766873049159
0,4.2,1766873050558
0,3.9,1766873052106
0,4.0,1766873053693
0,3.9,1766873055349
0,4.1,1766873057112
0,3.8,1766873058858
0,4.1,1766873060623
0,4.1,1766873062213
0,4.1,1766873063816
0,4.2,1766873065283
0,3.7,1766873067266
0,3.9,1766873068765
0,4.2,1766873070401
0,3.9,1766873072063
0,4.2,1766873073533
0,3.8,1766873075371
0,3.9,1766873076750
0,4.4,1766873078317
0,4.0,1766873080145
0,4.0,1766873081718
0,4.0,1766873083340
0,4.1,1766873085039
0,4.0,1766873086736
0,4.3,1766873088496
0,4.0,1766873090183
0,4.2,1766873091717
0,4.0,1766873093493
0,3.9,1766873095045
0,4.4,1766873096362
0,3.9,1766873098121
0,4.0,1766873099788
0,4.1,1766873101323
0,4.0,1766873102941
0,4.2,1766873104392
0,4.0,1766873106058
0,3.9,1766873107693
0,4.1,1766873109084
0,3.8,1766873110594
0,4.0,1766873112312
0,3.9,1766873113860
0,4.1,1766873115421
0,4.0,1766873116851
0,4.1,1766873118459
0,4.0,1766873120032
0,4.2,1766873121487
0,4.1,1766873122953
0,3.7,1766873124378
0,4.3,1766873125685
0,3.8,1766873127276
0,4.0,1766873128629
0,4.3,1766873129937
0,3.9,1766873131394
0,3.9,1766873132889
0,4.1,1766873134358
0,3.9,1766873135929
0,4.1,1766873137597
0,4.2,1766873139004
0,3.8,1766873140527
0,3.9,1766873141919
0,3.7,1766873143516
0,4.0,1766873144951
0,4.3,1766873146312
0,3.7,1766873147804
0,4.1,1766873149116
0,4.1,1766873150521
0,4.1,1766873151924
0,3.9,1766873153503
0,3.9,1766873155182
0,4.1,1766873156721
0,4.2,1766873158179
0,3.9,1766873159816
0,4.1,1766873161223
0,4.3,1766873162682
0,3.9,1766873164139
0,4.3,1766873165449
0,3.6,1766873167104
0,3.9,1766873168506
0,4.3,1766873169683
0,3.7,1766873171242
0,3.9,1766873172720
0,4.1,1766873174207
0,3.9,1766873175827
0,4.0,1766873177188
0,4.1,1766873178713
0,3.8,1766873180279
0,4.0,1766873181756
0,4.3,1766873183209
0,4.1,1766873184867
0,3.8,1766873186465
0,4.1,1766873187884
0,4.7,1766873189267
0,3.3,1766873190961
0,3.4,1766873192353
0,3.3,1766873193957
0,3.4,1766873195396
0,3.3,1766873196641
0,3.4,1766873198010
0,3.2,1766873199641
0,3.3,1766873201226
0,3.2,1766873202759
0,3.4,1766873204281
0,3.1,1766873205848
0,3.3,1766873207481
0,3.7,1766873208966
0,3.1,1766873210582
0,3.9,1766873212014
0,4.4,1766873213695
0,4.3,1766873215100
0,4.3,1766873216531
0,4.0,1766873217961
0,3.8,1766873219551
0,3.9,1766873220931
0,3.8,1766873222530
0,4.0,1766873223878
0,4.5,1766873224607
