gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.01,1766873045287
0,0.02,1766873045888
0,0,1766873046386
0,0.03,1766873046874
0,0.01,1766873047466
0,0.08,1766873048061
0,0.09,1766873048536
0,0.03,1766873049004
0,0.08,1766873049479
0,0.08,1766873050143
0,0.02,1766873050814
0,0,1766873051488
0,0.03,1766873052095
0,0,1766873052948
0,0,1766873053562
0,0,1766873054229
0,0.08,1766873054925
0,0.08,1766873055786
0,3,1766873056461
0,0.09,1766873057143
0,0,1766873058020
0,0.02,1766873058691
0,0.08,1766873059350
0,0.09,1766873060055
0,0.09,1766873060865
0,0,1766873061716
0,0.03,1766873062354
0,0.08,1766873063129
0,0,1766873063857
0,0.02,1766873064627
0,0.03,1766873065260
0,0,1766873066259
0,0.09,1766873066808
0,0,1766873067510
0,0.02,1766873068182
0,3,1766873069086
0,0.03,1766873069843
0,0.08,1766873070427
0,0.04,1766873071321
0,0,1766873072015
0,3,1766873072708
0,0.09,1766873073411
0,3,1766873074307
0,0.09,1766873074899
0,3,1766873075675
0,0,1766873076387
0,0.02,1766873077215
0,0.08,1766873077861
0,3,1766873078458
0,0.08,1766873079280
0,3,1766873080036
0,0.09,1766873080603
0,0.08,1766873081225
0,0.08,1766873082033
0,0.09,1766873082757
0,0.01,1766873083446
0,0.02,1766873084233
0,0,1766873084982
0,0,1766873085770
0,0.09,1766873086365
0,0.09,1766873087258
0,0.02,1766873088013
0,0.08,1766873088632
0,0.02,1766873089390
0,0.03,1766873090094
0,0.03,1766873090889
0,0.08,1766873091546
0,0,1766873092414
0,0.04,1766873093072
0,0.08,1766873093804
0,0.09,1766873094578
0,0,1766873095404
0,3,1766873096018
0,0.04,1766873096614
0,0,1766873097625
0,0.01,1766873098243
0,3,1766873099018
0,0.02,1766873099807
0,0,1766873100606
0,0.02,1766873101173
0,0,1766873102045
0,0.09,1766873102759
0,0,1766873103400
0,0.09,1766873104199
0,0,1766873105071
0,0.03,1766873105606
0,0.08,1766873106259
0,0.09,1766873107187
0,8,1766873107769
0,0,1766873108579
0,0,1766873109208
0,0.08,1766873110088
0,0.09,1766873110775
0,0.08,1766873111601
0,0.09,1766873112379
0,0.08,1766873113209
0,0.09,1766873113866
0,0.02,1766873114747
0,0.02,1766873115385
0,0.08,1766873116154
0,0.09,1766873116926
0,0.09,1766873117769
0,0.02,1766873118425
0,0.03,1766873119346
0,0.02,1766873119952
0,0.05,1766873120766
0,0.02,1766873121534
0,0.09,1766873122333
0,0.09,1766873122900
0,0.09,1766873123854
0,0.02,1766873124528
0,0,1766873125226
0,0,1766873126042
0,0.09,1766873126898
0,0.02,1766873127614
0,0.03,1766873128494
