gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,21.0,1766873005026
0,21.0,1766873007027
0,22.0,1766873009191
0,22.0,1766873011172
0,22.0,1766873013337
0,22.0,1766873015367
0,23.0,1766873017580
0,23.0,1766873019390
0,23.0,1766873021575
0,23.0,1766873023567
0,23.0,1766873025610
0,24.0,1766873027550
0,24.0,1766873029613
0,24.0,1766873031545
0,24.0,1766873033580
0,24.0,1766873035388
0,24.0,1766873037322
0,25.0,1766873039279
0,25.0,1766873041399
0,25.0,1766873043343
0,25.0,1766873045375
0,25.0,1766873047247
0,25.0,1766873049184
0,25.0,1766873051010
0,26.0,1766873052863
0,25.0,1766873054881
0,25.0,1766873056892
0,26.0,1766873058626
0,26.0,1766873060552
0,26.0,1766873062145
0,26.0,1766873064035
0,26.0,1766873065834
0,26.0,1766873067758
0,26.0,1766873069338
0,26.0,1766873071216
0,26.0,1766873072953
0,26.0,1766873074610
0,26.0,1766873076507
0,26.0,1766873078254
0,26.0,1766873080197
0,26.0,1766873081781
0,26.0,1766873083549
0,26.0,1766873085368
0,26.0,1766873087229
0,26.0,1766873088850
0,26.0,1766873090672
0,27.0,1766873092484
0,27.0,1766873094397
0,26.0,1766873096097
0,27.0,1766873097883
0,27.0,1766873099638
0,27.0,1766873101263
0,27.0,1766873103081
0,27.0,1766873104713
0,27.0,1766873106419
0,27.0,1766873108085
0,27.0,1766873109802
0,27.0,1766873111486
0,27.0,1766873112843
