cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,6.8,1766873003967
0,7.7,1766873005082
0,7.7,1766873005891
0,8.0,1766873006616
0,7.1,1766873007359
0,7.8,1766873008128
0,7.6,1766873008860
0,7.5,1766873009738
0,7.4,1766873010547
0,7.7,1766873011215
0,7.5,1766873012069
0,7.9,1766873012797
0,7.1,1766873013721
0,7.6,1766873014502
0,8.0,1766873015183
0,7.3,1766873015961
0,8.1,1766873016652
0,7.2,1766873017669
0,7.8,1766873018335
0,7.9,1766873019035
0,7.1,1766873019873
0,7.9,1766873020602
0,7.2,1766873021471
0,8.0,1766873022160
0,7.7,1766873022961
0,7.3,1766873023740
0,7.7,1766873024483
0,7.6,1766873025186
0,7.4,1766873026042
0,7.8,1766873026768
0,7.9,1766873027334
0,7.2,1766873028230
0,7.8,1766873028855
0,7.5,1766873029819
0,7.9,1766873030520
0,7.9,1766873031269
0,7.2,1766873032323
0,7.9,1766873032961
0,7.2,1766873033744
0,7.8,1766873034462
0,7.9,1766873035174
0,7.2,1766873036131
0,7.7,1766873036876
0,7.4,1766873037695
0,7.8,1766873038430
0,7.7,1766873039152
0,7.3,1766873040128
0,8.0,1766873040806
0,7.3,1766873041759
0,7.5,1766873042519
0,7.8,1766873043174
0,7.4,1766873044027
0,7.9,1766873044775
0,7.3,1766873045748
0,8.1,1766873046576
0,7.8,1766873047293
0,7.4,1766873048077
0,7.3,1766873048862
0,7.6,1766873049713
0,7.6,1766873050471
0,7.3,1766873051280
0,8.2,1766873051952
0,7.7,1766873052587
0,7.3,1766873053500
0,7.4,1766873054324
0,7.4,1766873055057
0,7.8,1766873055781
0,7.5,1766873056544
0,7.6,1766873057334
0,7.6,1766873058108
0,7.5,1766873058873
0,7.8,1766873059552
0,7.6,1766873060304
0,7.4,1766873061217
0,7.7,1766873061987
0,7.3,1766873062751
0,8.3,1766873063348
0,7.0,1766873064332
0,7.9,1766873065006
0,7.6,1766873065835
0,7.5,1766873066711
0,7.8,1766873067407
0,7.4,1766873068255
0,7.5,1766873069074
0,7.6,1766873069917
0,8.0,1766873070648
0,7.1,1766873071728
0,8.0,1766873072356
0,7.7,1766873073109
0,7.5,1766873073975
0,7.1,1766873074942
0,7.9,1766873075628
0,7.4,1766873076480
0,7.7,1766873077294
0,8.1,1766873077884
0,7.2,1766873078866
0,8.2,1766873079511
0,7.1,1766873080392
0,7.7,1766873080998
0,8.0,1766873081614
0,7.1,1766873082570
0,7.6,1766873083290
0,7.5,1766873084142
0,8.0,1766873084856
0,7.0,1766873085728
0,8.2,1766873086349
0,7.3,1766873087303
0,7.9,1766873088073
0,7.5,1766873088783
0,7.5,1766873089653
0,7.6,1766873090296
0,7.3,1766873091214
0,7.6,1766873092000
0,7.4,1766873092870
0,8.1,1766873093566
0,7.3,1766873094385
0,7.7,1766873095173
0,7.6,1766873096053
0,7.6,1766873096981
0,7.6,1766873097678
0,7.3,1766873098567
0,7.6,1766873099263
0,7.6,1766873100105
0,7.8,1766873100871
0,7.2,1766873101876
0,8.0,1766873102613
0,7.2,1766873103585
0,7.7,1766873104380
0,7.0,1766873105317
0,8.1,1766873105919
0,7.8,1766873106908
0,7.8,1766873107653
0,7.6,1766873108410
0,7.9,1766873109173
0,6.8,1766873110044
0,8.1,1766873110641
0,7.6,1766873111495
0,7.8,1766873112295
0,7.5,1766873113223
0,8.1,1766873114054
0,7.8,1766873114868
0,8.2,1766873115493
0,7.8,1766873116181
0,6.7,1766873117019
0,6.8,1766873117699
0,6.8,1766873118406
0,6.7,1766873119139
0,7.0,1766873119770
0,6.8,1766873120572
0,6.5,1766873121331
0,6.9,1766873121992
0,6.7,1766873122805
0,6.5,1766873123538
0,7.1,1766873124132
0,6.8,1766873124887
0,7.0,1766873125652
0,6.9,1766873126422
0,6.5,1766873127245
0,6.8,1766873127929
0,6.9,1766873128622
0,6.8,1766873129422
0,6.9,1766873130213
0,7.0,1766873130935
0,6.8,1766873131745
0,6.6,1766873132465
0,7.0,1766873133165
0,6.6,1766873133983
0,6.8,1766873134845
0,7.0,1766873135557
0,6.6,1766873136313
0,6.6,1766873137097
0,7.3,1766873137694
0,6.6,1766873138519
0,6.9,1766873139307
0,7.0,1766873140067
0,7.0,1766873140740
0,7.8,1766873141409
0,8.2,1766873142168
0,7.7,1766873143022
0,7.7,1766873143839
0,8.0,1766873144515
0,7.7,1766873145384
0,7.1,1766873146205
0,7.5,1766873147127
0,7.9,1766873147849
0,7.1,1766873148685
0,7.6,1766873149367
0,7.3,1766873150302
0,6.5,1766873151070
0,6.8,1766873151750
0,6.9,1766873152436
0,6.7,1766873153146
0,6.6,1766873153981
0,6.6,1766873154844
0,6.8,1766873155599
0,6.9,1766873156241
0,6.8,1766873156935
0,6.6,1766873157773
0,6.6,1766873158598
0,6.6,1766873159390
0,6.6,1766873160132
0,6.6,1766873160949
0,6.8,1766873161728
0,6.8,1766873162445
0,6.6,1766873163314
0,6.5,1766873164123
0,6.9,1766873164793
0,6.8,1766873165531
0,6.9,1766873166285
0,7.1,1766873167170
0,6.6,1766873168004
0,6.8,1766873168828
0,6.6,1766873169625
0,6.6,1766873170402
0,7.4,1766873171140
0,7.9,1766873172028
0,7.5,1766873172896
0,7.7,1766873173722
