disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.4,1766873003967
0,0.4,1766873005082
0,0.4,1766873005891
0,0.4,1766873006616
0,0.4,1766873007359
0,0.4,1766873008129
0,0.4,1766873008860
0,0.4,1766873009738
0,0.4,1766873010547
0,0.4,1766873011215
0,0.4,1766873012069
0,0.4,1766873012797
0,0.4,1766873013721
0,0.4,1766873014502
0,0.4,1766873015183
0,0.4,1766873015961
0,0.4,1766873016652
0,0.4,1766873017670
0,0.4,1766873018335
0,0.4,1766873019035
0,0.4,1766873019873
0,0.4,1766873020602
0,0.4,1766873021472
0,0.4,1766873022161
0,0.4,1766873022961
0,0.4,1766873023741
0,0.4,1766873024483
0,0.4,1766873025186
0,0.4,1766873026042
0,0.4,1766873026769
0,0.4,1766873027334
0,0.4,1766873028230
0,0.4,1766873028855
0,0.4,1766873029819
0,0.4,1766873030520
0,0.4,1766873031269
0,0.4,1766873032323
0,0.4,1766873032961
0,0.4,1766873033745
0,0.4,1766873034463
0,0.4,1766873035174
0,0.4,1766873036132
0,0.4,1766873036876
0,0.4,1766873037695
0,0.4,1766873038430
0,0.4,1766873039152
0,0.4,1766873040128
0,0.4,1766873040806
0,0.4,1766873041759
0,0.4,1766873042519
0,0.4,1766873043175
0,0.4,1766873044027
0,0.4,1766873044775
0,0.4,1766873045748
0,0.4,1766873046576
0,0.4,1766873047293
0,0.4,1766873048077
0,0.4,1766873048862
0,0.4,1766873049713
0,0.4,1766873050471
0,0.4,1766873051280
0,0.4,1766873051952
0,0.4,1766873052587
0,0.4,1766873053500
0,0.4,1766873054324
0,0.4,1766873055057
0,0.4,1766873055781
0,0.4,1766873056544
0,0.4,1766873057335
0,0.4,1766873058108
0,0.4,1766873058873
0,0.4,1766873059552
0,0.4,1766873060304
0,0.4,1766873061217
0,0.4,1766873061987
0,0.4,1766873062752
0,0.4,1766873063348
0,0.4,1766873064333
0,0.4,1766873065006
0,0.4,1766873065836
0,0.4,1766873066712
0,0.4,1766873067408
0,0.4,1766873068255
0,0.4,1766873069074
0,0.4,1766873069917
0,0.4,1766873070648
0,0.4,1766873071729
0,0.4,1766873072356
0,0.4,1766873073109
0,0.4,1766873073975
0,0.4,1766873074942
0,0.4,1766873075628
0,0.4,1766873076480
0,0.4,1766873077294
0,0.4,1766873077884
0,0.4,1766873078867
0,0.4,1766873079511
0,0.4,1766873080392
0,0.4,1766873080998
0,0.4,1766873081616
0,0.4,1766873082571
0,0.4,1766873083290
0,0.4,1766873084142
0,0.4,1766873084856
0,0.4,1766873085729
0,0.4,1766873086349
0,0.4,1766873087303
0,0.4,1766873088074
0,0.4,1766873088783
0,0.4,1766873089654
0,0.4,1766873090296
0,0.4,1766873091214
0,0.4,1766873092000
0,0.4,1766873092871
0,0.4,1766873093566
0,0.4,1766873094385
0,0.4,1766873095173
0,0.4,1766873096053
0,0.4,1766873096981
0,0.4,1766873097678
0,0.4,1766873098568
0,0.4,1766873099263
0,0.4,1766873100106
0,0.4,1766873100871
0,0.4,1766873101876
0,0.4,1766873102613
0,0.4,1766873103585
0,0.4,1766873104380
0,0.4,1766873105317
0,0.4,1766873105919
0,0.4,1766873106908
0,0.4,1766873107653
0,0.4,1766873108410
0,0.4,1766873109173
0,0.4,1766873110044
0,0.4,1766873110642
0,0.4,1766873111495
0,0.4,1766873112295
0,0.4,1766873113223
0,0.4,1766873114055
0,0.4,1766873114868
0,0.4,1766873115493
0,0.4,1766873116181
0,0.4,1766873117019
0,0.4,1766873117699
0,0.4,1766873118406
0,0.4,1766873119140
0,0.4,1766873119770
0,0.4,1766873120572
0,0.4,1766873121332
0,0.4,1766873121992
0,0.4,1766873122805
0,0.4,1766873123538
0,0.4,1766873124133
0,0.4,1766873124887
0,0.4,1766873125652
0,0.4,1766873126422
0,0.4,1766873127246
0,0.4,1766873127929
0,0.4,1766873128622
0,0.4,1766873129423
0,0.4,1766873130213
0,0.4,1766873130935
0,0.4,1766873131745
0,0.4,1766873132466
0,0.4,1766873133165
0,0.4,1766873133983
0,0.4,1766873134845
0,0.4,1766873135557
0,0.4,1766873136313
0,0.4,1766873137097
0,0.4,1766873137694
0,0.4,1766873138519
0,0.4,1766873139307
0,0.4,1766873140068
0,0.4,1766873140740
0,0.4,1766873141409
0,0.4,1766873142168
0,0.4,1766873143022
0,0.4,1766873143840
0,0.4,1766873144515
0,0.4,1766873145384
0,0.4,1766873146205
0,0.4,1766873147127
0,0.4,1766873147850
0,0.4,1766873148685
0,0.4,1766873149367
0,0.4,1766873150302
0,0.4,1766873151070
0,0.4,1766873151750
0,0.4,1766873152436
0,0.4,1766873153147
0,0.4,1766873153982
0,0.4,1766873154845
0,0.4,1766873155599
0,0.4,1766873156241
0,0.4,1766873156936
0,0.4,1766873157773
0,0.4,1766873158599
0,0.4,1766873159393
0,0.4,1766873160133
0,0.4,1766873160950
0,0.4,1766873161728
0,0.4,1766873162445
0,0.4,1766873163314
0,0.4,1766873164123
0,0.4,1766873164793
0,0.4,1766873165531
0,0.4,1766873166285
0,0.4,1766873167170
0,0.4,1766873168004
0,0.4,1766873168828
0,0.4,1766873169625
0,0.4,1766873170402
0,0.4,1766873171140
0,0.4,1766873172028
0,0.4,1766873172897
0,0.4,1766873173722
0,0.4,1766873174530
0,0.4,1766873175350
0,0.4,1766873176225
0,0.4,1766873177181
0,0.4,1766873178051
0,0.4,1766873178940
0,0.4,1766873179887
0,0.4,1766873180702
0,0.4,1766873181493
0,0.4,1766873182385
0,0.4,1766873183358
0,0.4,1766873184247
0,0.4,1766873185282
0,0.4,1766873186269
0,0.4,1766873187080
0,0.4,1766873187829
0,0.4,1766873188672
0,0.4,1766873189478
0,0.4,1766873190410
0,0.4,1766873191367
0,0.4,1766873192209
0,0.4,1766873193061
0,0.4,1766873193971
0,0.4,1766873194891
0,0.4,1766873195868
0,0.4,1766873196825
0,0.4,1766873197774
0,0.4,1766873198694
0,0.4,1766873199642
0,0.4,1766873200582
0,0.4,1766873201470
0,0.4,1766873202396
0,0.4,1766873203323
0,0.4,1766873204309
0,0.4,1766873205279
0,0.4,1766873206232
0,0.4,1766873207187
0,0.4,1766873208142
0,0.4,1766873209096
0,0.4,1766873210058
0,0.4,1766873210960
0,0.4,1766873211826
0,0.4,1766873212732
0,0.4,1766873213681
0,0.4,1766873214670
0,0.4,1766873215663
0,0.4,1766873216608
0,0.4,1766873217525
0,0.4,1766873218467
0,0.4,1766873219449
0,0.4,1766873220396
0,0.4,1766873221236
0,0.4,1766873222028
