gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0,1766873004174
0,0.09,1766873005761
0,0,1766873007174
0,0,1766873008641
0,0.01,1766873009977
0,0.03,1766873011369
0,0,1766873012706
0,0,1766873014200
0,0,1766873015489
0,0.03,1766873016774
0,0,1766873018257
0,8,1766873019637
0,0,1766873020874
0,1,1766873022317
0,0,1766873023581
0,0,1766873025048
0,0.02,1766873026296
0,0,1766873027590
0,0,1766873028940
0,0,1766873030248
0,0,1766873031641
0,0,1766873032965
0,0,1766873034237
0,0,1766873035593
0,0.02,1766873036781
0,0.1,1766873038127
0,0.12,1766873039542
0,0.08,1766873040761
0,0,1766873042020
0,0,1766873043362
0,0,1766873044678
0,0,1766873045953
0,5,1766873047290
0,0,1766873048566
0,0,1766873049881
0,0,1766873051229
0,0,1766873052443
0,0,1766873053824
0,0.03,1766873055077
0,0,1766873056231
0,0,1766873057531
0,0,1766873058830
0,0,1766873060029
0,0,1766873061149
0,0,1766873062343
0,0,1766873063603
0,0.12,1766873064984
0,0,1766873066014
0,0,1766873067164
0,0,1766873068529
0,0.1,1766873069807
0,9,1766873070958
0,0,1766873072192
0,0.09,1766873073376
0,0.09,1766873074543
0,0,1766873075709
0,0,1766873076963
0,3,1766873078134
0,0.08,1766873079471
0,0,1766873080696
0,0,1766873081899
0,0,1766873083097
0,8,1766873084145
0,0,1766873085265
0,0,1766873086580
0,0.09,1766873087886
0,0,1766873089025
0,0,1766873090295
0,0,1766873091674
0,5,1766873092856
0,0,1766873093956
0,0.08,1766873095312
0,0,1766873096606
0,0,1766873097748
0,0.02,1766873098924
0,9,1766873100091
0,0,1766873101330
0,0,1766873102500
0,0,1766873103578
0,0,1766873104727
0,0.02,1766873105994
0,0.1,1766873107285
0,0,1766873108389
0,0.12,1766873109549
0,0.02,1766873110852
0,0,1766873112035
0,0.02,1766873113116
0,0,1766873114175
0,0,1766873115430
0,0,1766873116630
0,0.1,1766873117683
0,0,1766873118690
0,0,1766873119792
0,0,1766873121016
0,0.08,1766873122045
0,3,1766873123247
0,0,1766873124517
0,0,1766873125559
0,0,1766873126544
0,0,1766873127796
0,0.02,1766873128998
0,8,1766873130005
0,0,1766873130989
0,0,1766873132110
0,0,1766873133249
0,0.1,1766873134508
0,0.09,1766873135538
0,9,1766873136647
0,0,1766873137884
0,0,1766873139133
0,0,1766873140063
0,0,1766873141099
0,9,1766873142147
0,0,1766873143448
0,0,1766873144528
0,0,1766873145796
0,0,1766873147138
0,8,1766873147903
