memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,2.4,1766873003967
0,2.4,1766873005571
0,2.4,1766873006909
0,2.4,1766873008445
0,2.4,1766873009789
0,2.4,1766873011135
0,2.4,1766873012522
0,2.4,1766873013950
0,2.4,1766873015217
0,2.4,1766873016621
0,2.4,1766873018048
0,2.4,1766873019378
0,2.4,1766873020692
0,2.4,1766873022129
0,2.4,1766873023355
0,2.4,1766873024828
0,2.4,1766873026113
0,2.4,1766873027341
0,2.4,1766873028760
0,2.4,1766873030073
0,2.4,1766873031330
0,2.4,1766873032797
0,2.4,1766873034055
0,2.4,1766873035323
0,2.4,1766873036518
0,2.4,1766873037917
0,2.4,1766873039249
0,2.4,1766873040619
0,2.4,1766873041819
0,2.4,1766873043131
0,2.4,1766873044489
0,2.4,1766873045779
0,2.4,1766873047029
0,2.4,1766873048331
0,2.4,1766873049710
0,2.4,1766873050922
0,2.4,1766873052236
0,2.4,1766873053585
0,2.4,1766873054837
0,2.4,1766873056028
0,2.4,1766873057339
0,2.4,1766873058588
0,2.4,1766873059836
0,2.4,1766873061036
0,2.4,1766873062141
0,2.4,1766873063360
0,2.4,1766873064774
0,2.4,1766873065797
0,2.4,1766873066994
0,2.4,1766873068284
0,2.4,1766873069560
0,2.4,1766873070708
0,2.4,1766873072016
0,2.4,1766873073129
0,2.4,1766873074312
0,2.4,1766873075573
0,2.4,1766873076754
0,2.4,1766873077883
0,2.4,1766873079323
0,2.4,1766873080531
0,2.4,1766873081615
0,2.4,1766873082914
0,2.4,1766873083933
0,2.4,1766873085020
0,2.4,1766873086346
0,2.4,1766873087622
0,2.4,1766873088733
0,2.4,1766873090065
0,2.4,1766873091406
0,2.4,1766873092547
0,2.4,1766873093758
0,2.4,1766873095113
0,2.4,1766873096370
0,2.4,1766873097505
0,2.4,1766873098741
0,2.4,1766873099909
0,2.4,1766873101050
0,2.4,1766873102304
0,2.4,1766873103458
0,2.4,1766873104471
0,2.4,1766873105796
0,2.4,1766873107092
0,2.4,1766873108220
0,2.4,1766873109274
0,2.4,1766873110637
0,2.4,1766873111834
0,2.4,1766873112876
0,2.4,1766873114044
0,2.4,1766873115195
0,2.3,1766873116375
0,2.3,1766873117458
0,2.3,1766873118533
0,2.3,1766873119635
0,2.3,1766873120797
0,2.3,1766873121884
0,2.3,1766873123020
0,2.3,1766873124288
0,2.3,1766873125339
0,2.3,1766873126412
0,2.3,1766873127552
0,2.3,1766873128788
0,2.3,1766873129779
0,2.3,1766873130786
0,2.3,1766873131913
0,2.3,1766873133036
0,2.3,1766873134239
0,2.3,1766873135361
0,2.3,1766873136456
0,2.3,1766873137673
0,2.3,1766873138927
0,2.3,1766873139911
0,2.3,1766873140916
0,2.4,1766873141960
0,2.4,1766873143194
0,2.4,1766873144366
0,2.4,1766873145522
0,2.4,1766873146889
0,2.4,1766873147698
