memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.6,1766569849228
0,1.6,1766569851444
0,1.6,1766569853532
0,1.6,1766569855392
0,1.6,1766569857302
0,1.5,1766569859386
0,1.5,1766569861474
0,1.5,1766569863505
0,1.5,1766569865607
0,1.5,1766569867508
0,1.5,1766569869462
0,1.5,1766569871327
0,1.5,1766569873469
0,1.5,1766569875539
0,1.5,1766569877507
0,1.5,1766569879601
0,1.5,1766569881646
0,1.5,1766569883783
0,1.5,1766569885852
0,1.5,1766569887833
0,1.5,1766569889917
0,1.5,1766569891995
0,1.5,1766569893591
0,1.5,1766569895301
0,1.5,1766569896999
0,1.5,1766569898931
0,1.5,1766569900987
0,1.5,1766569902811
0,1.5,1766569904430
0,1.5,1766569906316
0,1.5,1766569907986
0,1.5,1766569909662
0,1.5,1766569911508
0,1.5,1766569913206
0,1.5,1766569915008
0,1.5,1766569916821
0,1.5,1766569918552
0,1.5,1766569920466
0,1.5,1766569922588
0,1.5,1766569924680
0,1.5,1766569926568
0,1.5,1766569928318
0,1.5,1766569930163
0,1.5,1766569931858
0,1.5,1766569933844
0,1.5,1766569935823
0,1.5,1766569937862
0,1.5,1766569939874
0,1.5,1766569941583
0,1.5,1766569943710
0,1.4,1766569945416
0,1.4,1766569947420
0,1.4,1766569949604
0,1.5,1766569951628
0,1.4,1766569953270
0,1.4,1766569954884
0,1.4,1766569956875
0,1.5,1766569958867
0,1.4,1766569960239
