cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,2.2,1766569755962
0,1.7,1766569756803
0,2.1,1766569757473
0,2.0,1766569758330
0,2.1,1766569759171
0,1.7,1766569760017
0,1.7,1766569760773
0,1.8,1766569761505
0,1.8,1766569762395
0,1.7,1766569763173
0,1.9,1766569763880
0,1.6,1766569764661
0,1.5,1766569765476
0,1.9,1766569766260
0,1.6,1766569767040
0,1.7,1766569767842
0,1.9,1766569768531
0,1.5,1766569769169
0,1.5,1766569769870
0,1.5,1766569770595
0,1.4,1766569771336
0,1.5,1766569772058
0,1.5,1766569772777
0,1.5,1766569773639
0,1.3,1766569774357
0,1.6,1766569775164
0,1.5,1766569775865
0,1.4,1766569776661
0,1.5,1766569777369
0,1.5,1766569778154
0,1.5,1766569778858
0,1.5,1766569779601
0,1.6,1766569780390
0,2.4,1766569781078
0,2.4,1766569781821
0,2.4,1766569782542
0,2.3,1766569783299
0,2.1,1766569783996
0,1.5,1766569784955
0,2.0,1766569785675
0,1.5,1766569786409
0,1.6,1766569787161
0,1.8,1766569787940
0,1.7,1766569788700
0,2.0,1766569789489
0,1.8,1766569790416
0,1.9,1766569791201
0,1.7,1766569791989
0,2.0,1766569792824
0,2.1,1766569793555
0,1.9,1766569794382
0,1.7,1766569795267
0,2.0,1766569796005
0,1.8,1766569796849
0,1.9,1766569797624
0,2.2,1766569798354
0,1.9,1766569799259
0,1.8,1766569800030
0,2.2,1766569800808
0,1.8,1766569801628
0,2.1,1766569802377
0,1.9,1766569803316
0,1.9,1766569804108
0,2.0,1766569804917
0,1.8,1766569805689
0,2.3,1766569806458
0,1.8,1766569807310
0,1.9,1766569808097
0,2.2,1766569808868
0,2.1,1766569809621
0,2.0,1766569810402
0,1.8,1766569811242
0,2.0,1766569811993
0,2.0,1766569812832
0,2.0,1766569813698
0,2.2,1766569814434
0,1.8,1766569815330
0,1.9,1766569816167
0,2.0,1766569816991
0,2.0,1766569817771
0,2.1,1766569818560
0,1.7,1766569819371
0,2.1,1766569820153
0,1.9,1766569821013
0,2.2,1766569821740
0,1.9,1766569822531
0,1.7,1766569823380
