disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.8,1766569755962
0,0.8,1766569756803
0,0.8,1766569757474
0,0.8,1766569758331
0,0.8,1766569759171
0,0.8,1766569760017
0,0.8,1766569760773
0,0.8,1766569761505
0,0.8,1766569762395
0,0.8,1766569763173
0,0.8,1766569763881
0,0.8,1766569764661
0,0.8,1766569765476
0,0.8,1766569766260
0,0.8,1766569767041
0,0.8,1766569767842
0,0.8,1766569768531
0,0.8,1766569769169
0,0.8,1766569769870
0,0.8,1766569770595
0,0.8,1766569771336
0,0.8,1766569772058
0,0.8,1766569772777
0,0.8,1766569773639
0,0.8,1766569774357
0,0.8,1766569775164
0,0.8,1766569775865
0,0.8,1766569776662
0,0.8,1766569777369
0,0.8,1766569778154
0,0.8,1766569778858
0,0.8,1766569779601
0,0.8,1766569780391
0,0.8,1766569781078
0,0.8,1766569781821
0,0.8,1766569782542
0,0.8,1766569783300
0,0.8,1766569783996
0,0.8,1766569784955
0,0.8,1766569785675
0,0.8,1766569786409
0,0.8,1766569787161
0,0.8,1766569787940
0,0.8,1766569788701
0,0.8,1766569789489
0,0.8,1766569790416
0,0.8,1766569791201
0,0.8,1766569791989
0,0.8,1766569792825
0,0.8,1766569793555
0,0.8,1766569794382
0,0.8,1766569795268
0,0.8,1766569796005
0,0.8,1766569796850
0,0.8,1766569797624
0,0.8,1766569798354
0,0.8,1766569799260
0,0.8,1766569800030
0,0.8,1766569800808
0,0.8,1766569801628
0,0.8,1766569802377
0,0.8,1766569803317
0,0.8,1766569804108
0,0.8,1766569804918
0,0.8,1766569805690
0,0.8,1766569806458
0,0.8,1766569807310
0,0.8,1766569808097
0,0.8,1766569808868
0,0.8,1766569809621
0,0.8,1766569810402
0,0.8,1766569811243
0,0.8,1766569811993
0,0.8,1766569812832
0,0.8,1766569813698
0,0.8,1766569814434
0,0.8,1766569815330
0,0.8,1766569816167
0,0.8,1766569816991
0,0.8,1766569817771
0,0.8,1766569818560
0,0.8,1766569819371
0,0.8,1766569820153
0,0.8,1766569821013
0,0.8,1766569821740
0,0.8,1766569822531
0,0.8,1766569823380
0,0.8,1766569824118
0,0.8,1766569824906
0,0.8,1766569825672
0,0.8,1766569826529
0,0.8,1766569827364
0,0.8,1766569828161
0,0.8,1766569828989
0,0.8,1766569829724
0,0.8,1766569830599
0,0.8,1766569831414
0,0.8,1766569832249
0,0.8,1766569832975
0,0.8,1766569833810
0,0.8,1766569834699
0,0.8,1766569835420
0,0.8,1766569836219
0,0.8,1766569836916
0,0.8,1766569837689
0,0.8,1766569838364
0,0.8,1766569839029
0,0.8,1766569839782
0,0.8,1766569840501
0,0.8,1766569841270
0,0.8,1766569841956
0,0.8,1766569842678
0,0.8,1766569843489
0,0.8,1766569844284
0,0.8,1766569845037
0,0.8,1766569845953
0,0.8,1766569846653
0,0.8,1766569847521
0,0.8,1766569848515
0,0.8,1766569849291
0,0.8,1766569850139
0,0.8,1766569850808
0,0.8,1766569851537
0,0.8,1766569852279
0,0.8,1766569853087
0,0.8,1766569853786
0,0.8,1766569854474
0,0.8,1766569855224
0,0.8,1766569855982
0,0.8,1766569856719
0,0.8,1766569857337
0,0.8,1766569858188
0,0.8,1766569858830
0,0.8,1766569859477
0,0.8,1766569860230
0,0.8,1766569860839
0,0.8,1766569861601
0,0.8,1766569862376
0,0.8,1766569863137
0,0.8,1766569863803
0,0.8,1766569864529
0,0.8,1766569865184
0,0.8,1766569865851
0,0.8,1766569866667
0,0.8,1766569867267
0,0.8,1766569868045
0,0.8,1766569868711
0,0.8,1766569869475
0,0.8,1766569870175
0,0.8,1766569870841
0,0.8,1766569871472
0,0.8,1766569872317
0,0.8,1766569873038
0,0.8,1766569873680
0,0.8,1766569874484
0,0.8,1766569875132
0,0.8,1766569876034
0,0.8,1766569876751
0,0.8,1766569877393
0,0.8,1766569878071
0,0.8,1766569878742
0,0.8,1766569879550
0,0.8,1766569880284
0,0.8,1766569880935
0,0.8,1766569881558
0,0.8,1766569882384
0,0.8,1766569883156
0,0.8,1766569883810
0,0.8,1766569884582
