gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,37.0,1766569756358
0,37.0,1766569757144
0,37.0,1766569757865
0,37.0,1766569758704
0,37.0,1766569759641
0,37.0,1766569760407
0,37.0,1766569761156
0,37.0,1766569761925
0,37.0,1766569762716
0,37.0,1766569763501
0,37.0,1766569764292
0,37.0,1766569765053
0,37.0,1766569765867
0,37.0,1766569766671
0,37.0,1766569767475
0,37.0,1766569768179
0,37.0,1766569768837
0,37.0,1766569769519
0,37.0,1766569770222
0,37.0,1766569770963
0,37.0,1766569771685
0,37.0,1766569772394
0,37.0,1766569773144
0,37.0,1766569773993
0,37.0,1766569774775
0,37.0,1766569775523
0,37.0,1766569776243
0,37.0,1766569777009
0,37.0,1766569777707
0,37.0,1766569778493
0,37.0,1766569779236
0,37.0,1766569779903
0,37.0,1766569780722
0,37.0,1766569781478
0,37.0,1766569782181
0,37.0,1766569782912
0,37.0,1766569783645
0,37.0,1766569784432
0,37.0,1766569785289
0,37.0,1766569786020
0,37.0,1766569786780
0,37.0,1766569787493
0,37.0,1766569788345
0,37.0,1766569789123
0,37.0,1766569790050
0,37.0,1766569790803
0,37.0,1766569791563
0,37.0,1766569792314
0,37.0,1766569793181
0,37.0,1766569793921
0,37.0,1766569794811
0,37.0,1766569795632
0,37.0,1766569796435
0,37.0,1766569797183
0,37.0,1766569797989
0,37.0,1766569798791
0,37.0,1766569799617
0,37.0,1766569800380
0,37.0,1766569801234
0,38.0,1766569802025
0,37.0,1766569802858
0,37.0,1766569803674
0,37.0,1766569804527
0,37.0,1766569805286
0,37.0,1766569806141
0,37.0,1766569806907
0,37.0,1766569807690
0,37.0,1766569808483
0,37.0,1766569809253
0,37.0,1766569810024
0,37.0,1766569810838
0,37.0,1766569811611
0,37.0,1766569812425
0,37.0,1766569813215
0,37.0,1766569814044
0,37.0,1766569814828
0,37.0,1766569815718
0,37.0,1766569816596
0,37.0,1766569817379
0,37.0,1766569818217
0,37.0,1766569818979
0,37.0,1766569819738
0,37.0,1766569820565
0,37.0,1766569821381
0,37.0,1766569822140
0,37.0,1766569822893
0,37.0,1766569823704
0,37.0,1766569824516
0,37.0,1766569825301
0,37.0,1766569826157
0,37.0,1766569826884
0,37.0,1766569827743
0,37.0,1766569828500
0,37.0,1766569829349
0,37.0,1766569830153
0,37.0,1766569831031
0,37.0,1766569831848
0,37.0,1766569832585
0,37.0,1766569833383
0,37.0,1766569834246
0,37.0,1766569835089
0,37.0,1766569835809
0,37.0,1766569836555
0,37.0,1766569837275
0,37.0,1766569837968
0,37.0,1766569838692
0,37.0,1766569839418
0,37.0,1766569840122
0,37.0,1766569840901
0,37.0,1766569841577
0,37.0,1766569842323
0,37.0,1766569843078
0,37.0,1766569843833
0,37.0,1766569844651
0,37.0,1766569845506
0,37.0,1766569846296
0,37.0,1766569847160
0,37.0,1766569848031
0,37.0,1766569848840
0,37.0,1766569849725
0,38.0,1766569850441
0,37.0,1766569851198
0,37.0,1766569851938
0,37.0,1766569852689
0,37.0,1766569853388
0,37.0,1766569854155
0,37.0,1766569854840
0,37.0,1766569855607
0,37.0,1766569856327
0,37.0,1766569856969
0,37.0,1766569857801
0,37.0,1766569858507
0,37.0,1766569859147
0,37.0,1766569859785
0,38.0,1766569860505
0,37.0,1766569861183
0,37.0,1766569861973
0,37.0,1766569862706
0,37.0,1766569863419
0,37.0,1766569864184
0,37.0,1766569864834
0,37.0,1766569865505
0,37.0,1766569866272
0,37.0,1766569866904
0,37.0,1766569867588
0,37.0,1766569868391
0,37.0,1766569869103
0,37.0,1766569869797
0,37.0,1766569870469
0,37.0,1766569871141
0,37.0,1766569871888
0,37.0,1766569872665
0,37.0,1766569873338
0,37.0,1766569874102
0,37.0,1766569874791
0,37.0,1766569875514
0,37.0,1766569876371
0,37.0,1766569877033
0,38.0,1766569877687
0,37.0,1766569878419
0,37.0,1766569879113
0,37.0,1766569879891
0,37.0,1766569880609
0,37.0,1766569881210
0,37.0,1766569881990
0,37.0,1766569882705
0,37.0,1766569883432
0,37.0,1766569884162
0,37.0,1766569884896
0,37.0,1766569885612
0,37.0,1766569886353
0,37.0,1766569887047
0,37.0,1766569887728
0,38.0,1766569888511
0,37.0,1766569889172
0,37.0,1766569889902
0,37.0,1766569890635
0,37.0,1766569891309
0,37.0,1766569892053
0,37.0,1766569892831
0,38.0,1766569893548
0,37.0,1766569894275
0,37.0,1766569894956
0,37.0,1766569895778
0,37.0,1766569896499
0,37.0,1766569897222
0,38.0,1766569897859
0,37.0,1766569898522
0,37.0,1766569899271
0,38.0,1766569899961
0,37.0,1766569900568
0,37.0,1766569901249
0,37.0,1766569901940
0,37.0,1766569902609
0,37.0,1766569903405
0,37.0,1766569904047
0,37.0,1766569904722
0,38.0,1766569905419
0,37.0,1766569906190
0,38.0,1766569906987
0,37.0,1766569907694
0,37.0,1766569908377
0,38.0,1766569909094
0,37.0,1766569909892
0,37.0,1766569910559
0,38.0,1766569911287
0,37.0,1766569912092
0,38.0,1766569912769
0,37.0,1766569913517
