gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0,1766569793578
0,0,1766569794765
0,0,1766569796111
0,0.06,1766569797138
0,0.07,1766569798373
0,0.06,1766569799784
0,0,1766569801180
0,0,1766569802478
0,0.06,1766569803992
0,0,1766569805264
0,6,1766569806500
0,0.01,1766569807895
0,0.01,1766569809225
0,0,1766569810522
0,0,1766569811944
0,0,1766569813336
0,1,1766569814675
0,0.06,1766569816072
0,0.01,1766569817448
0,0,1766569818929
0,0,1766569820411
0,0.06,1766569821757
0,0,1766569823009
0,1,1766569824420
0,0.02,1766569825672
0,0,1766569827188
0,0,1766569828582
0,6,1766569830065
0,0,1766569831437
0,0.01,1766569832857
0,0.05,1766569834165
0,0.06,1766569835505
0,0,1766569836841
0,0.07,1766569838084
0,0.01,1766569839424
0,0.06,1766569840471
0,0,1766569841627
0,0,1766569842838
0,0,1766569844193
0,0,1766569845463
0,0,1766569846901
0,0,1766569848123
0,0,1766569849466
0,0,1766569850880
0,0,1766569852172
0,0.06,1766569853341
0,0,1766569854715
0,0,1766569856016
0,0.06,1766569857359
0,0,1766569858698
0,6,1766569859972
0,0,1766569861234
0,0,1766569862381
0,0.05,1766569863654
0,0,1766569864922
0,0,1766569866250
0,0.06,1766569867611
0,0,1766569868965
0,0.05,1766569870177
0,0.07,1766569871382
0,0.05,1766569872617
0,0,1766569873736
0,0.05,1766569875104
0,0,1766569876408
0,1,1766569877617
0,0,1766569878952
0,0.06,1766569880291
0,0,1766569881510
0,0,1766569882847
0,0.01,1766569884101
0,0,1766569885448
0,0,1766569886658
0,0.06,1766569887921
0,0,1766569889253
0,0,1766569890414
0,0,1766569891647
0,0,1766569892944
0,5,1766569894167
0,0,1766569895493
0,0,1766569896738
0,0.07,1766569898000
0,0,1766569899259
0,0.01,1766569900614
0,0,1766569901986
0,0.06,1766569903291
0,0,1766569904595
0,0.07,1766569905918
0,0,1766569907144
0,0,1766569908262
0,0,1766569909391
0,1,1766569910603
0,0,1766569911876
0,0,1766569913031
0,0.01,1766569914246
0,0,1766569915408
0,0,1766569916718
0,0,1766569918146
0,0,1766569919407
0,0.06,1766569920550
0,0.07,1766569921718
0,0,1766569923065
0,0,1766569924130
0,1,1766569925365
0,0,1766569926674
0,0,1766569927980
0,0,1766569929171
0,0,1766569930448
0,0.05,1766569931846
0,0,1766569933110
0,6,1766569934390
0,0,1766569935615
0,0,1766569936934
0,0,1766569938071
0,0,1766569939308
0,0.01,1766569940484
0,0,1766569941831
0,0,1766569943065
0,0.07,1766569943748
