cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,2.0,1766569667965
0,2.0,1766569669309
0,2.0,1766569670828
0,2.2,1766569672359
0,2.0,1766569673961
0,2.1,1766569675494
0,2.1,1766569677097
0,2.0,1766569678609
0,2.1,1766569680160
0,2.0,1766569681664
0,2.0,1766569683097
0,2.2,1766569684970
0,2.0,1766569686416
0,2.2,1766569687873
0,2.1,1766569689581
0,2.1,1766569691312
0,2.0,1766569693052
0,2.1,1766569694563
0,2.0,1766569696250
0,2.1,1766569697826
0,2.2,1766569699403
0,2.0,1766569700905
0,2.1,1766569702451
0,2.2,1766569703950
0,2.0,1766569705622
0,2.1,1766569707270
0,2.2,1766569708893
0,2.0,1766569710381
0,2.0,1766569711839
0,1.8,1766569713387
0,2.1,1766569714810
0,1.9,1766569716242
0,2.0,1766569717752
0,2.0,1766569719545
0,2.0,1766569721075
0,2.4,1766569722602
0,2.3,1766569724148
0,2.3,1766569725545
0,2.1,1766569727061
0,2.3,1766569728636
0,1.8,1766569730250
0,2.0,1766569731764
0,1.7,1766569733242
0,1.9,1766569734759
0,1.8,1766569736267
0,1.8,1766569737974
0,1.8,1766569739503
0,1.8,1766569740957
0,1.9,1766569742536
0,1.8,1766569744186
0,1.9,1766569745646
0,1.9,1766569747155
0,1.8,1766569748780
0,2.2,1766569750180
0,2.4,1766569751601
0,2.1,1766569753089
0,2.2,1766569754614
0,2.1,1766569756194
0,1.9,1766569757510
