memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.6,1766569527372
0,1.6,1766569528242
0,1.6,1766569528976
0,1.6,1766569529820
0,1.6,1766569530581
0,1.6,1766569531469
0,1.6,1766569532272
0,1.6,1766569533114
0,1.6,1766569534004
0,1.6,1766569534766
0,1.6,1766569535544
0,1.6,1766569536518
0,1.6,1766569537410
0,1.6,1766569538266
0,1.6,1766569539233
0,1.6,1766569539962
0,1.6,1766569540928
0,1.6,1766569541819
0,1.6,1766569542696
0,1.6,1766569543530
0,1.6,1766569544395
0,1.6,1766569545313
0,1.6,1766569546102
0,1.6,1766569546998
0,1.6,1766569547934
0,1.6,1766569548767
0,1.6,1766569549705
0,1.6,1766569550403
0,1.6,1766569551249
0,1.6,1766569552056
0,1.6,1766569552982
0,1.6,1766569553786
0,1.6,1766569554576
0,1.6,1766569555404
0,1.6,1766569556288
0,1.6,1766569557257
0,1.6,1766569558237
0,1.6,1766569559087
0,1.6,1766569559965
0,1.6,1766569560783
0,1.6,1766569561721
0,1.6,1766569562582
0,1.6,1766569563453
0,1.6,1766569564299
0,1.6,1766569565057
0,1.6,1766569565957
0,1.6,1766569566794
0,1.6,1766569567605
0,1.6,1766569568414
0,1.6,1766569569265
0,1.6,1766569570195
0,1.6,1766569570981
0,1.6,1766569571776
0,1.6,1766569572601
0,1.6,1766569573541
0,1.6,1766569574553
0,1.6,1766569575443
0,1.6,1766569576293
0,1.6,1766569577287
0,1.6,1766569578096
0,1.6,1766569578889
0,1.6,1766569579788
0,1.6,1766569580664
0,1.6,1766569581486
0,1.6,1766569582453
0,1.6,1766569583434
0,1.6,1766569584234
0,1.6,1766569585193
0,1.6,1766569585899
0,1.6,1766569586712
0,1.6,1766569587555
0,1.6,1766569588407
0,1.6,1766569589117
0,1.6,1766569590048
0,1.6,1766569590883
0,1.6,1766569591688
0,1.6,1766569592575
0,1.6,1766569593285
0,1.6,1766569594099
0,1.6,1766569594902
0,1.6,1766569595801
0,1.6,1766569596485
0,1.6,1766569597336
0,1.6,1766569598219
0,1.6,1766569599048
0,1.6,1766569599853
0,1.6,1766569600748
0,1.6,1766569601622
0,1.6,1766569602565
0,1.6,1766569603394
0,1.6,1766569604350
0,1.6,1766569605182
0,1.6,1766569606078
0,1.6,1766569607058
0,1.6,1766569607971
0,1.6,1766569608759
0,1.6,1766569609514
0,1.6,1766569610405
0,1.5,1766569611383
0,1.5,1766569612166
0,1.5,1766569613071
0,1.5,1766569613865
0,1.5,1766569614638
0,1.5,1766569615475
0,1.5,1766569616300
0,1.5,1766569617234
0,1.5,1766569618196
0,1.5,1766569619045
0,1.5,1766569620029
0,1.5,1766569620976
0,1.5,1766569621811
0,1.5,1766569622664
0,1.5,1766569623472
0,1.5,1766569624385
0,1.5,1766569625283
0,1.5,1766569626098
0,1.5,1766569627067
0,1.5,1766569627983
0,1.5,1766569628884
0,1.5,1766569629665
0,1.5,1766569630428
0,1.5,1766569631156
0,1.5,1766569631963
0,1.5,1766569632885
0,1.5,1766569633723
0,1.5,1766569634755
0,1.5,1766569635633
0,1.5,1766569636393
0,1.6,1766569637347
0,1.6,1766569638140
0,1.6,1766569638942
0,1.6,1766569639776
0,1.6,1766569640618
0,1.6,1766569641393
0,1.6,1766569642178
0,1.6,1766569643019
0,1.6,1766569643921
0,1.5,1766569644732
0,1.5,1766569645432
0,1.5,1766569646321
0,1.5,1766569647120
0,1.5,1766569647976
0,1.5,1766569648797
0,1.5,1766569649708
0,1.5,1766569650603
0,1.5,1766569651394
0,1.5,1766569652247
0,1.5,1766569653077
0,1.5,1766569654027
