gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,35.0,1766569637710
0,35.0,1766569638789
0,36.0,1766569640019
0,36.0,1766569641165
0,35.0,1766569642273
0,35.0,1766569643601
0,35.0,1766569644675
0,35.0,1766569645724
0,36.0,1766569646751
0,36.0,1766569647883
0,35.0,1766569648815
0,35.0,1766569650003
0,36.0,1766569651278
0,36.0,1766569652325
0,36.0,1766569653316
0,36.0,1766569654393
0,36.0,1766569655479
0,36.0,1766569656689
0,36.0,1766569657789
0,36.0,1766569659028
0,36.0,1766569660109
0,36.0,1766569661267
0,36.0,1766569662320
0,36.0,1766569663336
0,36.0,1766569664599
0,36.0,1766569665673
0,36.0,1766569667111
0,36.0,1766569668109
0,36.0,1766569669300
0,36.0,1766569670483
0,36.0,1766569671530
0,36.0,1766569672861
0,36.0,1766569673878
0,36.0,1766569675072
0,36.0,1766569676263
0,36.0,1766569677297
0,36.0,1766569678431
0,36.0,1766569679584
0,36.0,1766569680739
0,36.0,1766569681825
0,36.0,1766569682922
0,36.0,1766569684024
0,36.0,1766569685185
0,36.0,1766569686323
0,36.0,1766569687493
0,36.0,1766569688639
0,36.0,1766569689578
0,36.0,1766569690611
0,36.0,1766569691886
0,36.0,1766569693009
0,36.0,1766569694036
0,36.0,1766569695196
0,36.0,1766569696243
0,37.0,1766569697453
0,36.0,1766569698664
0,36.0,1766569699801
0,36.0,1766569700876
0,36.0,1766569702025
0,36.0,1766569703143
0,36.0,1766569704424
0,36.0,1766569705606
0,36.0,1766569706827
0,36.0,1766569707956
0,36.0,1766569709051
0,36.0,1766569710175
0,36.0,1766569711182
0,36.0,1766569712143
0,37.0,1766569713174
0,36.0,1766569714165
0,36.0,1766569715317
0,36.0,1766569716373
0,36.0,1766569717599
0,36.0,1766569718647
0,36.0,1766569719584
0,37.0,1766569720618
0,37.0,1766569721686
0,37.0,1766569722781
0,36.0,1766569723730
0,37.0,1766569724918
0,36.0,1766569725987
0,37.0,1766569726970
0,37.0,1766569727914
0,37.0,1766569729014
0,37.0,1766569730097
0,37.0,1766569731082
0,37.0,1766569732215
0,37.0,1766569733281
0,37.0,1766569734272
0,37.0,1766569735343
0,37.0,1766569736497
0,37.0,1766569737464
0,37.0,1766569738557
0,37.0,1766569739657
0,37.0,1766569740878
0,37.0,1766569741863
0,37.0,1766569743080
0,37.0,1766569744207
0,37.0,1766569745392
0,37.0,1766569746428
0,37.0,1766569747559
0,37.0,1766569748601
0,37.0,1766569749760
0,37.0,1766569750869
0,37.0,1766569751895
0,37.0,1766569753080
0,37.0,1766569754187
0,37.0,1766569755282
0,37.0,1766569756357
0,37.0,1766569757452
0,37.0,1766569758604
0,37.0,1766569759693
0,37.0,1766569760737
0,37.0,1766569761774
0,37.0,1766569763006
0,37.0,1766569764164
0,37.0,1766569765222
0,37.0,1766569766447
0,37.0,1766569767141
