gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0,1766569522225
0,0.06,1766569522771
0,0.06,1766569523255
0,0.05,1766569523785
0,0.07,1766569524246
0,0,1766569524781
0,0,1766569525195
0,0,1766569525716
0,0.06,1766569526193
0,0.01,1766569526670
0,0.01,1766569527348
0,0,1766569527988
0,0,1766569528586
0,0,1766569529252
0,0.01,1766569529871
0,0,1766569530504
0,0,1766569531192
0,0,1766569531798
0,0,1766569532435
0,0,1766569533068
0,0,1766569533721
0,0,1766569534324
0,0,1766569534950
0,0,1766569535594
0,0,1766569536246
0,0,1766569536794
0,0,1766569537417
0,0,1766569538051
0,0,1766569538663
0,0,1766569539292
0,0,1766569539849
0,0,1766569540581
0,0,1766569541183
0,0,1766569541765
0,0,1766569542494
0,0,1766569543090
0,0.06,1766569543787
0,0.06,1766569544431
0,0,1766569545126
0,0.01,1766569545688
0,0.01,1766569546305
0,0.06,1766569546948
0,0,1766569547636
0,0,1766569548291
0,0,1766569548862
0,0,1766569549532
0,0,1766569550091
0,0,1766569550682
0,0,1766569551311
0,0,1766569551933
0,0,1766569552587
0,0,1766569553215
0,0,1766569553940
0,0,1766569554535
0,0,1766569555193
0,0.01,1766569555806
0,0.07,1766569556418
0,0,1766569557021
0,0,1766569557585
0,0,1766569558260
0,0,1766569558893
0,0,1766569559541
0,0,1766569560159
0,0,1766569560751
0,0,1766569561450
0,0,1766569561975
0,0,1766569562673
0,0,1766569563281
0,0,1766569563996
0,0,1766569564595
0,0,1766569565210
0,0,1766569565882
0,0,1766569566457
0,0,1766569567146
0,0,1766569567743
0,0,1766569568342
0,0,1766569569024
0,0,1766569569597
0,0,1766569570283
0,0,1766569570877
0,0,1766569571483
0,0,1766569572115
0,6,1766569572761
0,0,1766569573400
0,0.06,1766569574053
0,6,1766569574649
0,0.06,1766569575330
0,0.06,1766569575991
0,0.01,1766569576561
0,0.05,1766569577204
0,0,1766569577809
0,0,1766569578440
0,0,1766569579084
0,0,1766569579692
0,0,1766569580353
0,0.01,1766569580931
0,0,1766569581611
0,0,1766569582291
0,0,1766569582848
0,0,1766569583502
0,0,1766569584142
0,0,1766569584831
0,0.06,1766569585412
0,0,1766569586043
0,0.01,1766569586641
0,0.06,1766569587281
0,0,1766569587954
0,0,1766569588614
0,0,1766569589278
0,0,1766569589916
0,0,1766569590566
0,0,1766569591171
0,0,1766569591835
0,7,1766569592470
0,0,1766569593094
0,0,1766569593795
0,0,1766569594508
0,0.06,1766569595164
0,0,1766569595852
0,0,1766569596417
0,0,1766569597057
0,0,1766569597610
0,0,1766569598264
0,0,1766569598929
0,0,1766569599555
0,0,1766569600197
0,0,1766569600747
0,0,1766569601440
0,0.01,1766569601979
0,0.05,1766569602610
0,0,1766569603277
0,0,1766569603915
0,0,1766569604578
0,0,1766569605191
0,0,1766569605872
0,0,1766569606429
0,0,1766569607071
0,0,1766569607740
0,0,1766569608386
0,0,1766569609001
0,0,1766569609640
0,0,1766569610208
0,0,1766569610846
0,0.07,1766569611370
0,0,1766569611965
0,0,1766569612488
0,0,1766569613071
0,0,1766569613740
0,0,1766569614335
0,0,1766569614920
0,0,1766569615544
0,0,1766569616198
0,0,1766569616854
0,0,1766569617467
0,0,1766569618123
0,0,1766569618784
0,0.05,1766569619375
0,0.06,1766569619991
0,0.07,1766569620638
0,0.07,1766569621213
0,0.01,1766569621831
0,0,1766569622448
0,0,1766569623080
0,0.07,1766569623708
0,0,1766569624346
0,0.01,1766569624985
0,0,1766569625631
0,0,1766569626247
0,0,1766569626911
0,0,1766569627542
0,0,1766569628107
0,0,1766569628738
0,0,1766569629326
0,0,1766569629963
0,0,1766569630606
0,0,1766569631188
0,0,1766569631802
0,0,1766569632413
0,0,1766569632966
0,0,1766569633633
0,0,1766569634392
0,0,1766569634989
