gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,31.0,1766569523145
0,31.0,1766569524365
0,31.0,1766569525845
0,31.0,1766569527374
0,32.0,1766569529002
0,32.0,1766569530632
0,32.0,1766569532265
0,32.0,1766569533870
0,32.0,1766569535422
0,32.0,1766569537076
0,32.0,1766569538619
0,32.0,1766569540289
0,32.0,1766569541763
0,32.0,1766569543426
0,33.0,1766569544803
0,33.0,1766569546408
0,33.0,1766569547771
0,33.0,1766569549328
0,33.0,1766569550897
0,33.0,1766569552414
0,33.0,1766569553784
0,33.0,1766569555146
0,33.0,1766569556411
0,33.0,1766569557659
0,33.0,1766569559110
0,33.0,1766569560753
0,33.0,1766569562316
0,33.0,1766569563708
0,33.0,1766569565260
0,34.0,1766569566809
0,34.0,1766569568353
0,34.0,1766569569748
0,34.0,1766569571225
0,34.0,1766569572685
0,34.0,1766569574055
0,34.0,1766569575301
0,34.0,1766569576620
0,34.0,1766569578186
0,34.0,1766569579724
0,34.0,1766569581395
0,34.0,1766569582950
0,34.0,1766569584491
0,34.0,1766569585958
0,34.0,1766569587567
0,34.0,1766569589122
0,34.0,1766569590765
0,34.0,1766569592353
0,34.0,1766569593847
0,34.0,1766569595103
0,34.0,1766569596644
0,35.0,1766569598156
0,34.0,1766569599659
0,35.0,1766569601039
0,35.0,1766569602403
0,35.0,1766569603932
0,35.0,1766569605264
0,35.0,1766569606652
0,35.0,1766569608054
0,35.0,1766569609168
