disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.8,1766569522158
0,0.8,1766569522697
0,0.8,1766569523187
0,0.8,1766569523737
0,0.8,1766569524219
0,0.8,1766569524837
0,0.8,1766569525346
0,0.8,1766569525933
0,0.8,1766569526507
0,0.8,1766569527112
0,0.8,1766569527895
0,0.8,1766569528492
0,0.8,1766569529169
0,0.8,1766569529836
0,0.8,1766569530531
0,0.8,1766569531185
0,0.8,1766569531819
0,0.8,1766569532519
0,0.8,1766569533181
0,0.8,1766569533872
0,0.8,1766569534543
0,0.8,1766569535217
0,0.8,1766569535906
0,0.8,1766569536521
0,0.8,1766569537252
0,0.8,1766569537893
0,0.8,1766569538555
0,0.8,1766569539256
0,0.8,1766569539843
0,0.8,1766569540593
0,0.8,1766569541272
0,0.8,1766569541925
0,0.8,1766569542661
0,0.8,1766569543333
0,0.8,1766569543985
0,0.8,1766569544595
0,0.8,1766569545292
0,0.8,1766569546008
0,0.8,1766569546720
0,0.8,1766569547299
0,0.8,1766569548013
0,0.8,1766569548753
0,0.8,1766569549512
0,0.8,1766569550160
0,0.8,1766569550871
0,0.8,1766569551558
0,0.8,1766569552157
0,0.8,1766569552939
0,0.8,1766569553543
0,0.8,1766569554252
0,0.8,1766569554888
0,0.8,1766569555587
0,0.8,1766569556263
0,0.8,1766569556967
0,0.8,1766569557536
0,0.8,1766569558256
0,0.8,1766569558901
0,0.8,1766569559592
0,0.8,1766569560203
0,0.8,1766569560910
0,0.8,1766569561620
0,0.8,1766569562316
0,0.8,1766569562996
0,0.8,1766569563746
0,0.8,1766569564441
0,0.8,1766569565108
0,0.8,1766569565916
0,0.8,1766569566550
0,0.8,1766569567250
0,0.8,1766569567910
0,0.8,1766569568580
0,0.8,1766569569268
0,0.8,1766569569962
0,0.8,1766569570525
0,0.8,1766569571210
0,0.8,1766569571943
0,0.8,1766569572570
0,0.8,1766569573319
0,0.8,1766569573996
0,0.8,1766569574667
0,0.8,1766569575357
0,0.8,1766569576139
0,0.8,1766569576918
0,0.8,1766569577506
0,0.8,1766569578206
0,0.8,1766569578919
0,0.8,1766569579606
0,0.8,1766569580275
0,0.8,1766569580881
0,0.8,1766569581588
0,0.8,1766569582282
0,0.8,1766569582860
0,0.8,1766569583570
0,0.8,1766569584222
0,0.8,1766569584939
0,0.8,1766569585619
0,0.8,1766569586404
0,0.8,1766569587019
0,0.8,1766569587692
0,0.8,1766569588401
0,0.8,1766569588948
0,0.8,1766569589705
