memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.5,1766569522229
0,1.5,1766569522830
0,1.5,1766569523520
0,1.5,1766569524151
0,1.5,1766569524848
0,1.5,1766569525507
0,1.5,1766569526224
0,1.5,1766569526887
0,1.6,1766569527733
0,1.6,1766569528476
0,1.6,1766569529293
0,1.6,1766569530069
0,1.6,1766569530970
0,1.6,1766569531749
0,1.6,1766569532543
0,1.6,1766569533353
0,1.6,1766569534234
0,1.6,1766569534939
0,1.6,1766569535711
0,1.6,1766569536505
0,1.6,1766569537356
0,1.6,1766569538139
0,1.6,1766569538966
0,1.6,1766569539735
0,1.6,1766569540566
0,1.6,1766569541369
0,1.6,1766569542163
0,1.6,1766569542886
0,1.6,1766569543684
0,1.6,1766569544428
0,1.6,1766569545245
0,1.6,1766569546047
0,1.6,1766569546929
0,1.6,1766569547796
0,1.6,1766569548586
0,1.6,1766569549338
0,1.6,1766569550133
0,1.6,1766569550949
0,1.6,1766569551795
0,1.6,1766569552545
0,1.6,1766569553282
0,1.6,1766569554137
0,1.6,1766569554902
0,1.6,1766569555767
0,1.6,1766569556553
0,1.6,1766569557376
0,1.6,1766569558257
0,1.6,1766569558992
0,1.6,1766569559792
0,1.6,1766569560565
0,1.6,1766569561366
0,1.6,1766569562058
0,1.6,1766569562897
0,1.6,1766569563652
0,1.6,1766569564393
0,1.6,1766569565162
0,1.6,1766569566070
0,1.6,1766569566994
0,1.6,1766569567768
0,1.6,1766569568572
0,1.6,1766569569412
0,1.6,1766569570330
0,1.6,1766569571168
0,1.6,1766569572014
0,1.6,1766569572814
0,1.6,1766569573563
0,1.6,1766569574425
0,1.6,1766569575288
0,1.6,1766569576137
0,1.6,1766569576927
0,1.6,1766569577677
0,1.6,1766569578507
0,1.6,1766569579268
0,1.6,1766569580111
0,1.6,1766569580835
0,1.6,1766569581651
0,1.6,1766569582478
0,1.6,1766569583325
0,1.6,1766569584103
0,1.6,1766569584945
0,1.6,1766569585636
0,1.6,1766569586478
0,1.6,1766569587208
0,1.6,1766569588025
0,1.6,1766569588747
0,1.6,1766569589538
0,1.6,1766569590207
0,1.6,1766569591084
0,1.6,1766569591903
0,1.6,1766569592766
0,1.6,1766569593506
0,1.6,1766569594343
0,1.6,1766569595151
0,1.6,1766569595962
0,1.6,1766569596741
0,1.6,1766569597526
0,1.6,1766569598365
0,1.6,1766569599198
0,1.6,1766569600059
0,1.6,1766569600755
0,1.6,1766569601660
0,1.6,1766569602521
0,1.6,1766569603381
0,1.6,1766569604223
0,1.6,1766569605009
0,1.6,1766569605900
0,1.6,1766569606692
0,1.6,1766569607412
0,1.6,1766569608220
0,1.6,1766569609057
0,1.6,1766569609911
0,1.5,1766569610608
0,1.5,1766569611406
0,1.5,1766569612184
0,1.5,1766569612926
0,1.5,1766569613737
0,1.5,1766569614471
0,1.5,1766569615234
0,1.5,1766569615974
0,1.5,1766569616731
0,1.5,1766569617414
0,1.5,1766569618216
0,1.5,1766569619089
0,1.5,1766569619923
0,1.5,1766569620670
0,1.5,1766569621379
0,1.5,1766569622182
0,1.5,1766569622955
0,1.5,1766569623756
0,1.5,1766569624503
0,1.5,1766569625324
0,1.5,1766569626117
0,1.5,1766569626993
0,1.5,1766569627825
0,1.5,1766569628528
0,1.5,1766569629202
0,1.5,1766569629948
0,1.5,1766569630690
0,1.5,1766569631442
0,1.5,1766569632196
0,1.5,1766569632941
0,1.5,1766569633805
0,1.5,1766569634667
0,1.5,1766569635517
0,1.5,1766569636258
0,1.6,1766569637050
0,1.6,1766569637765
0,1.6,1766569638596
0,1.6,1766569639447
0,1.6,1766569640300
0,1.6,1766569641072
0,1.6,1766569641871
0,1.6,1766569642668
0,1.6,1766569643468
0,1.6,1766569644202
0,1.5,1766569645047
0,1.5,1766569645806
0,1.5,1766569646494
0,1.5,1766569647208
0,1.5,1766569647927
0,1.5,1766569648718
0,1.5,1766569649443
0,1.5,1766569650150
0,1.5,1766569650835
0,1.5,1766569651654
0,1.5,1766569652426
0,1.5,1766569653145
0,1.5,1766569653971
0,1.5,1766569654749
0,1.5,1766569655456
0,1.5,1766569656247
0,1.5,1766569656993
0,1.5,1766569657758
0,1.5,1766569658532
0,1.5,1766569659347
0,1.5,1766569660029
0,1.5,1766569660788
0,1.5,1766569661608
0,1.5,1766569662366
0,1.5,1766569663090
0,1.5,1766569663875
0,1.5,1766569664764
0,1.5,1766569665478
0,1.5,1766569666448
0,1.6,1766569667377
0,1.6,1766569668144
0,1.6,1766569668961
0,1.6,1766569669785
0,1.6,1766569670602
0,1.6,1766569671399
0,1.6,1766569672157
0,1.6,1766569672987
0,1.6,1766569673786
0,1.6,1766569674717
0,1.6,1766569675498
0,1.6,1766569676258
0,1.6,1766569676997
0,1.6,1766569677858
0,1.6,1766569678553
0,1.6,1766569679409
0,1.6,1766569680183
0,1.6,1766569681064
0,1.6,1766569681781
0,1.6,1766569682612
0,1.6,1766569683438
0,1.6,1766569684263
0,1.6,1766569684957
0,1.6,1766569685831
0,1.6,1766569686603
0,1.6,1766569687350
0,1.6,1766569688089
0,1.6,1766569688956
0,1.6,1766569689705
0,1.6,1766569690500
0,1.6,1766569691253
0,1.6,1766569692203
0,1.6,1766569692979
0,1.6,1766569693836
0,1.6,1766569694609
0,1.6,1766569695607
0,1.6,1766569696349
0,1.6,1766569697156
0,1.6,1766569697997
0,1.6,1766569698811
0,1.6,1766569699552
0,1.6,1766569700456
0,1.6,1766569701266
0,1.6,1766569701969
0,1.6,1766569702673
0,1.6,1766569703512
0,1.6,1766569704150
0,1.6,1766569705012
0,1.6,1766569705676
0,1.6,1766569706516
0,1.6,1766569707184
