gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0,1766569522577
0,0,1766569523438
0,0,1766569524380
0,0,1766569525319
0,0.06,1766569526091
0,1,1766569527103
0,0,1766569528154
0,0.06,1766569529180
0,0.04,1766569530299
0,0,1766569531450
0,0,1766569532475
0,0.01,1766569533554
0,0.07,1766569534611
0,0,1766569535666
0,0,1766569536702
0,0.01,1766569537823
0,0,1766569538831
0,0,1766569539866
0,0.01,1766569540859
0,0.05,1766569541900
0,0,1766569543033
0,0,1766569544084
0,0,1766569545102
0,0,1766569546072
0,0,1766569547140
0,0,1766569548228
0,0.06,1766569549369
0,0,1766569550268
0,0.06,1766569551243
0,0.04,1766569552322
0,0,1766569553568
0,0,1766569554567
0,0.01,1766569555658
0,1,1766569556779
0,0,1766569557852
0,0,1766569558891
0,0.01,1766569559994
0,0,1766569560906
0,0,1766569562011
0,0.05,1766569563085
0,0.06,1766569564214
0,0,1766569565174
0,0,1766569566344
0,0.06,1766569567433
0,0,1766569568461
0,0,1766569569491
0,0.03,1766569570523
0,0,1766569571631
0,0,1766569572574
0,0.06,1766569573607
0,0,1766569574566
0,0.06,1766569575425
0,0.01,1766569576478
0,0,1766569577492
0,0,1766569578544
0,0.05,1766569579551
0,0,1766569580674
0,0,1766569581667
0,0,1766569582815
0,0,1766569583829
0,0,1766569584781
0,0.07,1766569585831
0,0.06,1766569586969
0,0,1766569587994
0,0,1766569589058
0,0.05,1766569590115
0,0,1766569591062
0,0.07,1766569592181
0,0.07,1766569593231
0,0,1766569594335
0,0,1766569595425
0,0,1766569596494
0,0,1766569597559
0,0,1766569598644
0,0,1766569599617
0,0,1766569600674
0,0.06,1766569601753
0,0,1766569602858
0,0,1766569603895
0,0,1766569604988
0,0.06,1766569606071
0,0,1766569607215
0,0,1766569608257
0,0,1766569609384
0,6,1766569610332
0,0.07,1766569611402
0,0.06,1766569612273
0,0.01,1766569613372
0,0,1766569614221
0,0.05,1766569615189
0,0,1766569616233
0,0,1766569617290
0,0,1766569618243
0,0.05,1766569619297
0,0,1766569620448
0,0.07,1766569621441
0,0,1766569622508
0,0,1766569623425
0,0.06,1766569624295
0,0,1766569625186
0,0,1766569626220
0,0,1766569627173
0,0,1766569628195
0,0,1766569629195
0,1,1766569630157
0,0,1766569631081
0,0,1766569632008
0,6,1766569633067
0,0,1766569634130
0,0,1766569635178
0,0,1766569636156
0,0,1766569637017
0,0,1766569638002
0,0,1766569639103
0,0.01,1766569640026
0,7,1766569641105
0,0,1766569642203
0,0,1766569642925
