cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,3.0,1766876269903
0,3.3,1766876272255
0,3.3,1766876274417
0,3.3,1766876276641
0,3.3,1766876278807
0,3.3,1766876281110
0,3.3,1766876283272
0,3.3,1766876285425
0,3.2,1766876287582
0,3.4,1766876289868
0,2.4,1766876292057
0,2.3,1766876294409
0,2.3,1766876296611
0,2.3,1766876298798
0,2.3,1766876300967
0,2.3,1766876303234
0,2.3,1766876305409
0,2.2,1766876307680
0,2.3,1766876309851
0,2.4,1766876312150
0,2.3,1766876314343
0,2.3,1766876316639
0,2.3,1766876318810
0,2.3,1766876321041
0,2.3,1766876323272
0,2.2,1766876325440
0,2.3,1766876327612
0,2.3,1766876329805
0,2.4,1766876332102
0,2.3,1766876334316
0,2.3,1766876336574
0,2.3,1766876338747
0,2.3,1766876340926
0,2.3,1766876343101
0,2.3,1766876345402
0,2.4,1766876347652
0,2.3,1766876349952
0,2.3,1766876352129
0,2.3,1766876354312
0,2.3,1766876356525
0,2.3,1766876358801
0,2.3,1766876360998
0,2.4,1766876363308
0,2.3,1766876365481
0,2.3,1766876367647
0,2.3,1766876369831
0,2.4,1766876372108
0,2.3,1766876374323
0,2.3,1766876376587
0,2.3,1766876378780
0,2.3,1766876380956
0,2.4,1766876383124
0,2.3,1766876385437
0,1.4,1766876387730
0,1.2,1766876390095
0,1.1,1766876392391
0,1.1,1766876394657
0,1.1,1766876396939
0,1.1,1766876398388
