gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.0,1766876269943
0,0.0,1766876272298
0,0.0,1766876274460
0,0.0,1766876276684
0,0.0,1766876278850
0,0.0,1766876281154
0,0.0,1766876283319
0,0.31,1766876285473
0,0.04,1766876287626
0,0.09,1766876289915
0,0.0,1766876292103
0,0.0,1766876294460
0,0.0,1766876296661
0,0.0,1766876298848
0,0.0,1766876301017
0,0.0,1766876303284
0,0.22,1766876305458
0,0.29,1766876307728
0,0.15,1766876309905
0,0.0,1766876312205
0,0.0,1766876314393
0,0.0,1766876316689
0,0.0,1766876318861
0,0.45,1766876321090
0,0.15,1766876323322
0,0.01,1766876325494
0,0.0,1766876327667
0,0.0,1766876329856
0,0.0,1766876332152
0,0.0,1766876334366
0,0.0,1766876336624
0,0.0,1766876338796
0,0.22,1766876340974
0,0.14,1766876343149
0,0.15,1766876345459
0,0.0,1766876347707
0,0.0,1766876350004
0,0.0,1766876352179
0,0.0,1766876354362
0,0.0,1766876356574
0,0.0,1766876358850
0,0.31,1766876361048
0,0.0,1766876363356
0,0.34,1766876365529
0,0.15,1766876367704
0,0.0,1766876369881
0,0.0,1766876372159
0,0.0,1766876374374
0,0.0,1766876376637
0,0.0,1766876378831
0,0.31,1766876381007
0,0.46,1766876383171
0,0.0,1766876385489
0,0.0,1766876387781
0,0.0,1766876390146
0,0.0,1766876392445
0,0.0,1766876394712
0,0.0,1766876396993
0,0.0,1766876398438
