disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.5,1766876074905
0,1.5,1766876075366
0,1.5,1766876075775
0,1.5,1766876076171
0,1.5,1766876076576
0,1.5,1766876077039
0,1.5,1766876077513
0,1.5,1766876077928
0,1.5,1766876078332
0,1.5,1766876078733
0,1.5,1766876079130
0,1.5,1766876079505
0,1.5,1766876079925
0,1.5,1766876080298
0,1.5,1766876080696
0,1.5,1766876081103
0,1.5,1766876081481
0,1.5,1766876081878
0,1.5,1766876082283
0,1.5,1766876082664
0,1.5,1766876083036
0,1.5,1766876083419
0,1.5,1766876083808
0,1.5,1766876084184
0,1.5,1766876084566
0,1.5,1766876084961
0,1.5,1766876085363
0,1.5,1766876085729
0,1.5,1766876086114
0,1.5,1766876086606
0,1.5,1766876086976
0,1.5,1766876087362
0,1.5,1766876087728
0,1.5,1766876088117
0,1.5,1766876088499
0,1.5,1766876088884
0,1.5,1766876089263
0,1.5,1766876089631
0,1.5,1766876090010
0,1.5,1766876090392
0,1.5,1766876090801
0,1.5,1766876091203
0,1.5,1766876091591
0,1.5,1766876091974
0,1.5,1766876092362
0,1.5,1766876092738
0,1.5,1766876093133
0,1.5,1766876093519
0,1.5,1766876094015
0,1.5,1766876094420
0,1.5,1766876094797
0,1.5,1766876095182
0,1.5,1766876095553
0,1.5,1766876095939
0,1.5,1766876096318
0,1.5,1766876096704
0,1.5,1766876097077
0,1.5,1766876097470
0,1.5,1766876097876
0,1.5,1766876098262
0,1.5,1766876098648
0,1.5,1766876099029
0,1.5,1766876099415
0,1.5,1766876099801
0,1.5,1766876100192
0,1.5,1766876100592
0,1.5,1766876100980
0,1.5,1766876101354
0,1.5,1766876101743
0,1.5,1766876102110
0,1.5,1766876102506
0,1.5,1766876102904
0,1.5,1766876103276
0,1.5,1766876103661
0,1.5,1766876104050
0,1.5,1766876104435
0,1.5,1766876104815
0,1.5,1766876105186
0,1.5,1766876105577
0,1.5,1766876105963
0,1.5,1766876106364
0,1.5,1766876106746
0,1.5,1766876107253
0,1.5,1766876107640
0,1.5,1766876108021
0,1.5,1766876108405
0,1.5,1766876108775
0,1.5,1766876109161
0,1.5,1766876109533
0,1.5,1766876109947
0,1.5,1766876110336
0,1.5,1766876110755
0,1.5,1766876111141
0,1.5,1766876111546
0,1.5,1766876111931
0,1.5,1766876112314
0,1.5,1766876112701
0,1.5,1766876113087
0,1.5,1766876113480
0,1.5,1766876113856
0,1.5,1766876114265
0,1.5,1766876114647
0,1.5,1766876115101
0,1.5,1766876115525
0,1.5,1766876115888
0,1.5,1766876116297
0,1.5,1766876116667
0,1.5,1766876117062
0,1.5,1766876117446
0,1.5,1766876117812
0,1.5,1766876118205
0,1.5,1766876118572
0,1.5,1766876118964
0,1.5,1766876119344
0,1.5,1766876119726
0,1.5,1766876120114
0,1.5,1766876120498
0,1.5,1766876120884
0,1.5,1766876121258
0,1.5,1766876121640
0,1.5,1766876122020
0,1.5,1766876122401
0,1.5,1766876122782
0,1.5,1766876123153
0,1.5,1766876123534
0,1.5,1766876123920
0,1.5,1766876124294
0,1.5,1766876124686
0,1.5,1766876125068
0,1.5,1766876125469
0,1.5,1766876125834
0,1.5,1766876126289
0,1.5,1766876126678
0,1.5,1766876127051
0,1.5,1766876127446
0,1.5,1766876127952
0,1.5,1766876128326
0,1.5,1766876128723
0,1.5,1766876129093
0,1.5,1766876129490
0,1.5,1766876129906
0,1.5,1766876130314
0,1.5,1766876130700
0,1.5,1766876131067
0,1.5,1766876131468
0,1.5,1766876131844
0,1.5,1766876132233
0,1.5,1766876132648
0,1.5,1766876133034
0,1.5,1766876133424
0,1.5,1766876133812
0,1.5,1766876134196
0,1.5,1766876134589
0,1.5,1766876134994
0,1.5,1766876135398
0,1.5,1766876135889
0,1.5,1766876136255
0,1.5,1766876136646
0,1.5,1766876137011
0,1.5,1766876137398
0,1.5,1766876137782
0,1.5,1766876138222
0,1.5,1766876138609
0,1.5,1766876139003
0,1.5,1766876139390
0,1.5,1766876139780
0,1.5,1766876140154
0,1.5,1766876140542
0,1.5,1766876140928
0,1.5,1766876141320
0,1.5,1766876141695
0,1.5,1766876142088
0,1.5,1766876142477
0,1.5,1766876142852
0,1.5,1766876143256
0,1.5,1766876143657
0,1.5,1766876144036
0,1.5,1766876144418
0,1.5,1766876144794
0,1.5,1766876145185
0,1.5,1766876145557
0,1.5,1766876145967
0,1.5,1766876146340
0,1.5,1766876146732
0,1.5,1766876147097
0,1.5,1766876147497
0,1.5,1766876147870
0,1.5,1766876148244
0,1.5,1766876148627
0,1.5,1766876149125
0,1.5,1766876149495
0,1.5,1766876149880
0,1.5,1766876150244
0,1.5,1766876150631
0,1.5,1766876150998
0,1.5,1766876151389
0,1.5,1766876151769
0,1.5,1766876152138
0,1.5,1766876152518
0,1.5,1766876152905
0,1.5,1766876153335
0,1.5,1766876153719
0,1.5,1766876154097
0,1.5,1766876154482
0,1.5,1766876154867
0,1.5,1766876155265
0,1.5,1766876155656
0,1.5,1766876156035
0,1.5,1766876156418
0,1.5,1766876156910
0,1.5,1766876157287
0,1.5,1766876157666
0,1.5,1766876158035
0,1.5,1766876158413
0,1.5,1766876158777
0,1.5,1766876159189
0,1.5,1766876159569
0,1.5,1766876159956
0,1.5,1766876160332
0,1.5,1766876160702
0,1.5,1766876161097
0,1.5,1766876161484
0,1.5,1766876161861
0,1.5,1766876162253
0,1.5,1766876162632
0,1.5,1766876163014
0,1.5,1766876163388
0,1.5,1766876163779
0,1.5,1766876164149
0,1.5,1766876164540
0,1.5,1766876164919
0,1.5,1766876165326
0,1.5,1766876165723
0,1.5,1766876166135
0,1.5,1766876166523
0,1.5,1766876166900
0,1.5,1766876167279
0,1.5,1766876167673
0,1.5,1766876168051
0,1.5,1766876168436
0,1.5,1766876168818
0,1.5,1766876169191
0,1.5,1766876169580
0,1.5,1766876170070
0,1.5,1766876170447
0,1.5,1766876170831
0,1.5,1766876171212
0,1.5,1766876171626
0,1.5,1766876172006
0,1.5,1766876172398
0,1.5,1766876172810
0,1.5,1766876173183
0,1.5,1766876173571
0,1.5,1766876173953
0,1.5,1766876174370
0,1.5,1766876174752
0,1.5,1766876175128
0,1.5,1766876175534
0,1.5,1766876175906
0,1.5,1766876176311
0,1.5,1766876176693
0,1.5,1766876177077
0,1.5,1766876177537
0,1.5,1766876177907
0,1.5,1766876178304
0,1.5,1766876178669
0,1.5,1766876179051
0,1.5,1766876179442
0,1.5,1766876179853
0,1.5,1766876180223
0,1.5,1766876180596
0,1.5,1766876180989
0,1.5,1766876181361
0,1.5,1766876181749
0,1.5,1766876182131
0,1.5,1766876182508
0,1.5,1766876182885
0,1.5,1766876183262
0,1.5,1766876183654
0,1.5,1766876184039
0,1.5,1766876184408
0,1.5,1766876184788
0,1.5,1766876185167
0,1.5,1766876185555
0,1.5,1766876185940
0,1.5,1766876186312
0,1.5,1766876186687
0,1.5,1766876187055
0,1.5,1766876187477
0,1.5,1766876187869
0,1.5,1766876188245
0,1.5,1766876188631
0,1.5,1766876189002
0,1.5,1766876189412
0,1.5,1766876189788
0,1.5,1766876190176
0,1.5,1766876190689
0,1.5,1766876191055
0,1.5,1766876191448
0,1.5,1766876191822
0,1.5,1766876192292
0,1.5,1766876192669
0,1.5,1766876193058
0,1.5,1766876193460
0,1.5,1766876193836
0,1.5,1766876194239
0,1.5,1766876194616
0,1.5,1766876194988
0,1.5,1766876195399
0,1.5,1766876195781
0,1.5,1766876196172
0,1.5,1766876196573
0,1.5,1766876196959
0,1.5,1766876197358
0,1.5,1766876197734
0,1.5,1766876198125
0,1.5,1766876198596
0,1.5,1766876198969
0,1.5,1766876199374
0,1.5,1766876199740
0,1.5,1766876200144
0,1.5,1766876200529
0,1.5,1766876200903
0,1.5,1766876201284
0,1.5,1766876201659
0,1.5,1766876202046
0,1.5,1766876202441
0,1.5,1766876202834
0,1.5,1766876203208
0,1.5,1766876203583
0,1.5,1766876203974
0,1.5,1766876204360
0,1.5,1766876204742
0,1.5,1766876205112
0,1.5,1766876205477
0,1.5,1766876205870
0,1.5,1766876206243
0,1.5,1766876206637
0,1.5,1766876207001
0,1.5,1766876207374
0,1.5,1766876207749
0,1.5,1766876208139
0,1.5,1766876208515
0,1.5,1766876208899
0,1.5,1766876209285
0,1.5,1766876209664
0,1.5,1766876210042
0,1.5,1766876210412
0,1.5,1766876210801
0,1.5,1766876211177
0,1.5,1766876211699
0,1.5,1766876212081
0,1.5,1766876212479
0,1.5,1766876212871
0,1.5,1766876213271
0,1.5,1766876213648
0,1.5,1766876214043
0,1.5,1766876214413
0,1.5,1766876214800
0,1.5,1766876215186
0,1.5,1766876215560
0,1.5,1766876215971
0,1.5,1766876216348
0,1.5,1766876216735
0,1.5,1766876217103
0,1.5,1766876217500
0,1.5,1766876217890
0,1.5,1766876218277
0,1.5,1766876218677
0,1.5,1766876219054
0,1.5,1766876219558
0,1.5,1766876219958
0,1.5,1766876220328
0,1.5,1766876220709
0,1.5,1766876221091
0,1.5,1766876221478
0,1.5,1766876221869
0,1.5,1766876222247
0,1.5,1766876222622
0,1.5,1766876223016
0,1.5,1766876223386
0,1.5,1766876223794
0,1.5,1766876224166
0,1.5,1766876224603
0,1.5,1766876224980
0,1.5,1766876225353
0,1.5,1766876225736
0,1.5,1766876226110
0,1.5,1766876226512
0,1.5,1766876226890
0,1.5,1766876227270
0,1.5,1766876227665
0,1.5,1766876228035
0,1.5,1766876228435
0,1.5,1766876228804
0,1.5,1766876229190
0,1.5,1766876229580
0,1.5,1766876229956
0,1.5,1766876230330
0,1.5,1766876230711
0,1.5,1766876231108
0,1.5,1766876231490
0,1.5,1766876231880
0,1.5,1766876232268
0,1.5,1766876232775
0,1.5,1766876233171
0,1.5,1766876233544
0,1.5,1766876233923
0,1.5,1766876234292
0,1.5,1766876234675
0,1.5,1766876235054
0,1.5,1766876235429
0,1.5,1766876235818
0,1.5,1766876236208
0,1.5,1766876236588
0,1.5,1766876237008
0,1.5,1766876237393
0,1.5,1766876237770
0,1.5,1766876238152
0,1.5,1766876238537
0,1.5,1766876239027
0,1.5,1766876239460
0,1.5,1766876239857
0,1.5,1766876240359
