gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,32.0,1766876047025
0,32.0,1766876047347
0,32.0,1766876047589
0,34.0,1766876047845
0,32.0,1766876048096
0,32.0,1766876048341
0,32.0,1766876048580
0,32.0,1766876048820
0,33.0,1766876049077
0,32.0,1766876049324
0,32.0,1766876049576
0,32.0,1766876049816
0,32.0,1766876050065
0,32.0,1766876050313
0,34.0,1766876050572
0,32.0,1766876050839
0,32.0,1766876051078
0,32.0,1766876051314
0,32.0,1766876051554
0,33.0,1766876051809
0,33.0,1766876052056
0,32.0,1766876052298
0,32.0,1766876052552
0,32.0,1766876052792
0,33.0,1766876053047
0,33.0,1766876053302
0,32.0,1766876053548
0,32.0,1766876053805
0,32.0,1766876054060
0,32.0,1766876054303
0,34.0,1766876054563
0,32.0,1766876054811
0,32.0,1766876055058
0,32.0,1766876055306
0,32.0,1766876055551
0,32.0,1766876055795
0,33.0,1766876056045
0,32.0,1766876056289
0,32.0,1766876056532
0,32.0,1766876056792
0,32.0,1766876057040
0,33.0,1766876057290
0,33.0,1766876057541
0,32.0,1766876057792
0,32.0,1766876058032
0,32.0,1766876058287
0,33.0,1766876058548
0,33.0,1766876058793
0,32.0,1766876059037
0,32.0,1766876059287
0,32.0,1766876059524
0,32.0,1766876059771
0,33.0,1766876060135
0,32.0,1766876060394
0,32.0,1766876060642
0,32.0,1766876060889
0,32.0,1766876061130
0,34.0,1766876061405
0,33.0,1766876061644
0,32.0,1766876061983
0,32.0,1766876062232
0,33.0,1766876062474
0,33.0,1766876062728
0,33.0,1766876062979
0,32.0,1766876063215
0,32.0,1766876063466
0,32.0,1766876063717
0,34.0,1766876063966
0,33.0,1766876064223
0,32.0,1766876064462
0,32.0,1766876064702
0,32.0,1766876064951
0,33.0,1766876065216
0,33.0,1766876065468
0,33.0,1766876065713
0,32.0,1766876065962
0,32.0,1766876066211
0,34.0,1766876066463
0,35.0,1766876066727
0,33.0,1766876066966
0,33.0,1766876067230
0,32.0,1766876067479
0,32.0,1766876067718
0,33.0,1766876067961
0,33.0,1766876068212
0,33.0,1766876068457
0,32.0,1766876068718
0,32.0,1766876068972
0,34.0,1766876069227
0,33.0,1766876069491
0,33.0,1766876069742
0,33.0,1766876069999
0,32.0,1766876070255
0,33.0,1766876070521
0,34.0,1766876070792
0,33.0,1766876071043
0,33.0,1766876071321
0,34.0,1766876071688
0,33.0,1766876071947
0,32.0,1766876072228
0,32.0,1766876072495
0,32.0,1766876072746
0,32.0,1766876073064
0,32.0,1766876073317
0,32.0,1766876073570
0,32.0,1766876073829
0,32.0,1766876074094
0,32.0,1766876074364
0,32.0,1766876074613
0,32.0,1766876074860
0,32.0,1766876075132
0,31.0,1766876075395
0,31.0,1766876075661
0,31.0,1766876075928
0,31.0,1766876076184
0,31.0,1766876076439
0,31.0,1766876076706
0,31.0,1766876076956
0,31.0,1766876077214
0,31.0,1766876077474
0,31.0,1766876077740
0,31.0,1766876078067
0,31.0,1766876078321
0,31.0,1766876078589
0,31.0,1766876078852
0,31.0,1766876079109
0,31.0,1766876079372
0,31.0,1766876079636
0,31.0,1766876079883
0,31.0,1766876080144
0,31.0,1766876080409
0,31.0,1766876080746
0,31.0,1766876080996
0,31.0,1766876081250
0,31.0,1766876081520
0,31.0,1766876081775
0,31.0,1766876082035
0,31.0,1766876082272
0,31.0,1766876082544
0,31.0,1766876082791
0,31.0,1766876083044
0,31.0,1766876083305
0,31.0,1766876083555
0,32.0,1766876083799
0,31.0,1766876084046
0,31.0,1766876084295
0,31.0,1766876084543
0,31.0,1766876084784
0,31.0,1766876085039
0,31.0,1766876085292
0,31.0,1766876085539
0,31.0,1766876085795
0,31.0,1766876086044
0,31.0,1766876086295
0,31.0,1766876086542
0,31.0,1766876086788
0,32.0,1766876087042
0,31.0,1766876087287
0,31.0,1766876087532
0,31.0,1766876087798
0,31.0,1766876088057
0,31.0,1766876088324
0,31.0,1766876088575
0,31.0,1766876088825
0,31.0,1766876089201
0,31.0,1766876089445
0,31.0,1766876089701
0,31.0,1766876089948
0,31.0,1766876090194
0,31.0,1766876090442
0,31.0,1766876090692
0,31.0,1766876090956
0,31.0,1766876091249
0,31.0,1766876091510
0,31.0,1766876091759
0,31.0,1766876091998
0,31.0,1766876092252
0,31.0,1766876092519
0,31.0,1766876092760
0,31.0,1766876093015
0,31.0,1766876093262
0,31.0,1766876093525
0,31.0,1766876093781
0,31.0,1766876094031
0,31.0,1766876094289
0,31.0,1766876094544
0,31.0,1766876094784
0,31.0,1766876095073
0,31.0,1766876095325
0,31.0,1766876095573
0,31.0,1766876095834
0,31.0,1766876096087
0,31.0,1766876096342
0,31.0,1766876096605
0,31.0,1766876096885
0,31.0,1766876097142
0,31.0,1766876097510
0,31.0,1766876097767
0,31.0,1766876098016
0,31.0,1766876098278
0,31.0,1766876098539
0,31.0,1766876098795
0,31.0,1766876099048
0,31.0,1766876099312
0,31.0,1766876099649
0,31.0,1766876099900
0,31.0,1766876100155
0,31.0,1766876100403
0,31.0,1766876100655
0,31.0,1766876100904
0,31.0,1766876101152
0,31.0,1766876101398
0,31.0,1766876101663
0,31.0,1766876101907
0,31.0,1766876102186
0,31.0,1766876102431
0,31.0,1766876102673
0,31.0,1766876102933
0,31.0,1766876103179
0,31.0,1766876103442
0,31.0,1766876103683
0,30.0,1766876103939
0,31.0,1766876104192
0,31.0,1766876104438
0,31.0,1766876104690
0,31.0,1766876104950
0,30.0,1766876105203
0,31.0,1766876105457
0,31.0,1766876105724
0,31.0,1766876105978
0,31.0,1766876106232
0,31.0,1766876106490
0,31.0,1766876106737
0,31.0,1766876107008
0,30.0,1766876107252
0,31.0,1766876107530
0,30.0,1766876107788
0,30.0,1766876108053
0,30.0,1766876108299
0,30.0,1766876108562
0,31.0,1766876108814
0,30.0,1766876109070
0,30.0,1766876109327
0,30.0,1766876109592
0,30.0,1766876109837
0,31.0,1766876110107
0,30.0,1766876110352
0,30.0,1766876110596
0,31.0,1766876110853
0,30.0,1766876111107
0,30.0,1766876111353
0,30.0,1766876111615
0,30.0,1766876111868
0,31.0,1766876112120
0,30.0,1766876112378
0,30.0,1766876112672
0,30.0,1766876112929
0,30.0,1766876113195
0,31.0,1766876113447
0,30.0,1766876113686
0,31.0,1766876113952
0,30.0,1766876114202
0,30.0,1766876114445
0,30.0,1766876114702
0,30.0,1766876114957
0,30.0,1766876115206
0,30.0,1766876115466
0,30.0,1766876115713
0,30.0,1766876115982
0,30.0,1766876116240
0,30.0,1766876116491
0,31.0,1766876116745
0,30.0,1766876117107
0,31.0,1766876117374
0,30.0,1766876117623
0,30.0,1766876117874
0,30.0,1766876118127
0,30.0,1766876118382
0,31.0,1766876118641
0,30.0,1766876118889
0,30.0,1766876119132
0,30.0,1766876119383
0,30.0,1766876119628
0,30.0,1766876119885
0,30.0,1766876120174
0,30.0,1766876120421
0,30.0,1766876120677
0,30.0,1766876121031
0,30.0,1766876121282
0,30.0,1766876121527
0,30.0,1766876121784
0,30.0,1766876122036
0,30.0,1766876122290
0,31.0,1766876122546
0,30.0,1766876122831
0,30.0,1766876123088
0,30.0,1766876123348
0,30.0,1766876123604
0,30.0,1766876123857
0,30.0,1766876124106
0,30.0,1766876124363
0,30.0,1766876124619
0,30.0,1766876124869
0,30.0,1766876125120
0,30.0,1766876125375
0,30.0,1766876125654
0,30.0,1766876125920
0,30.0,1766876126171
0,30.0,1766876126430
0,30.0,1766876126684
0,30.0,1766876126944
0,30.0,1766876127308
0,30.0,1766876127570
0,31.0,1766876127828
0,30.0,1766876128089
0,30.0,1766876128341
0,30.0,1766876128620
0,30.0,1766876128867
0,30.0,1766876129128
0,30.0,1766876129386
0,30.0,1766876129637
0,30.0,1766876129893
0,30.0,1766876130141
0,30.0,1766876130400
0,31.0,1766876130655
0,30.0,1766876130904
0,30.0,1766876131185
0,30.0,1766876131442
0,30.0,1766876131696
0,31.0,1766876131954
0,30.0,1766876132204
0,30.0,1766876132453
0,30.0,1766876132700
0,30.0,1766876132944
0,30.0,1766876133209
0,30.0,1766876133474
0,30.0,1766876133717
0,30.0,1766876134062
0,30.0,1766876134307
0,31.0,1766876134557
0,30.0,1766876134800
0,31.0,1766876135049
0,30.0,1766876135305
0,30.0,1766876135563
0,31.0,1766876135817
0,30.0,1766876136067
0,30.0,1766876136314
0,30.0,1766876136579
0,30.0,1766876136823
0,30.0,1766876137088
0,30.0,1766876137341
0,31.0,1766876137609
0,30.0,1766876137871
0,30.0,1766876138125
0,31.0,1766876138389
0,30.0,1766876138631
0,30.0,1766876138886
0,30.0,1766876139151
0,30.0,1766876139401
0,30.0,1766876139662
0,30.0,1766876139919
0,30.0,1766876140168
0,30.0,1766876140428
0,30.0,1766876140687
0,30.0,1766876140927
0,30.0,1766876141182
0,30.0,1766876141461
0,30.0,1766876141711
0,30.0,1766876141973
0,30.0,1766876142232
0,30.0,1766876142483
0,30.0,1766876142730
0,30.0,1766876142998
0,30.0,1766876143251
0,30.0,1766876143531
0,30.0,1766876143791
0,30.0,1766876144057
0,30.0,1766876144313
0,30.0,1766876144564
0,30.0,1766876144935
0,30.0,1766876145180
0,30.0,1766876145421
0,30.0,1766876145679
0,30.0,1766876145941
0,30.0,1766876146192
0,30.0,1766876146449
0,30.0,1766876146697
0,30.0,1766876146935
0,31.0,1766876147200
0,30.0,1766876147447
0,30.0,1766876147692
0,30.0,1766876147997
0,30.0,1766876148235
0,31.0,1766876148499
0,30.0,1766876148755
0,30.0,1766876149007
0,30.0,1766876149304
0,30.0,1766876149549
0,30.0,1766876149806
0,30.0,1766876150073
0,30.0,1766876150341
0,30.0,1766876150599
0,30.0,1766876150880
0,30.0,1766876151152
0,30.0,1766876151404
0,30.0,1766876151651
0,30.0,1766876151912
0,30.0,1766876152154
0,30.0,1766876152412
0,30.0,1766876152677
0,30.0,1766876152925
0,30.0,1766876153181
0,30.0,1766876153426
0,31.0,1766876153680
0,30.0,1766876153944
0,30.0,1766876154200
0,30.0,1766876154447
0,30.0,1766876154686
0,30.0,1766876154949
0,30.0,1766876155257
0,30.0,1766876155506
0,30.0,1766876155764
0,30.0,1766876156032
0,30.0,1766876156285
0,30.0,1766876156542
0,30.0,1766876156805
0,30.0,1766876157060
0,30.0,1766876157317
0,30.0,1766876157576
0,30.0,1766876157827
0,30.0,1766876158079
0,31.0,1766876158342
0,30.0,1766876158590
0,30.0,1766876158843
0,30.0,1766876159104
0,30.0,1766876159351
0,31.0,1766876159616
0,30.0,1766876159862
0,30.0,1766876160117
0,30.0,1766876160381
0,30.0,1766876160629
0,30.0,1766876160881
0,30.0,1766876161137
0,30.0,1766876161397
0,30.0,1766876161658
0,30.0,1766876161913
0,30.0,1766876162173
0,30.0,1766876162427
0,30.0,1766876162671
0,30.0,1766876162927
0,30.0,1766876163175
0,30.0,1766876163435
0,30.0,1766876163697
0,30.0,1766876163952
0,30.0,1766876164207
0,30.0,1766876164463
0,30.0,1766876164718
0,30.0,1766876164965
0,30.0,1766876165222
0,30.0,1766876165493
0,30.0,1766876165749
0,30.0,1766876166001
0,30.0,1766876166252
0,30.0,1766876166506
0,30.0,1766876166769
0,30.0,1766876167019
0,30.0,1766876167268
0,30.0,1766876167526
0,30.0,1766876167772
0,30.0,1766876168019
0,30.0,1766876168273
0,30.0,1766876168524
0,30.0,1766876168775
0,30.0,1766876169026
0,30.0,1766876169273
0,30.0,1766876169529
0,30.0,1766876169767
0,30.0,1766876170045
0,30.0,1766876170297
0,30.0,1766876170545
0,30.0,1766876170802
0,30.0,1766876171050
0,30.0,1766876171308
0,30.0,1766876171583
0,30.0,1766876171825
0,31.0,1766876172083
0,30.0,1766876172330
0,30.0,1766876172708
0,30.0,1766876172955
0,30.0,1766876173197
0,30.0,1766876173455
0,30.0,1766876173708
0,30.0,1766876173956
0,30.0,1766876174211
0,30.0,1766876174459
0,30.0,1766876174714
0,30.0,1766876174964
0,30.0,1766876175215
0,30.0,1766876175463
0,30.0,1766876175714
0,30.0,1766876175972
0,30.0,1766876176222
0,30.0,1766876176469
0,30.0,1766876176728
0,30.0,1766876176969
0,30.0,1766876177218
0,30.0,1766876177466
0,30.0,1766876177711
0,30.0,1766876177972
0,30.0,1766876178250
0,30.0,1766876178505
0,30.0,1766876178764
0,30.0,1766876179023
0,30.0,1766876179286
0,30.0,1766876179552
0,30.0,1766876179806
0,30.0,1766876180104
0,30.0,1766876180367
0,30.0,1766876180612
0,30.0,1766876180883
0,30.0,1766876181139
0,30.0,1766876181422
0,30.0,1766876181671
0,30.0,1766876181917
0,30.0,1766876182182
0,30.0,1766876182431
0,30.0,1766876182749
0,30.0,1766876183010
0,30.0,1766876183255
0,30.0,1766876183513
0,30.0,1766876183763
0,30.0,1766876184013
0,30.0,1766876184265
0,30.0,1766876184519
0,30.0,1766876184804
0,30.0,1766876185052
0,30.0,1766876185313
0,30.0,1766876185558
0,30.0,1766876185804
0,30.0,1766876186066
0,30.0,1766876186306
0,30.0,1766876186561
0,30.0,1766876186811
0,30.0,1766876187085
0,30.0,1766876187334
0,30.0,1766876187582
0,30.0,1766876187848
0,30.0,1766876188103
0,30.0,1766876188355
0,30.0,1766876188627
0,30.0,1766876188873
0,30.0,1766876189140
0,30.0,1766876189390
0,30.0,1766876189633
0,31.0,1766876189895
0,30.0,1766876190143
0,30.0,1766876190390
0,30.0,1766876190646
0,30.0,1766876190894
0,30.0,1766876191161
0,30.0,1766876191429
0,30.0,1766876191682
0,30.0,1766876191939
0,30.0,1766876192191
0,30.0,1766876192436
0,30.0,1766876192706
0,30.0,1766876192960
0,30.0,1766876193231
0,30.0,1766876193483
0,30.0,1766876193724
0,30.0,1766876193988
0,30.0,1766876194231
0,30.0,1766876194480
0,30.0,1766876194725
0,30.0,1766876194976
0,30.0,1766876195236
0,30.0,1766876195497
0,30.0,1766876195749
0,30.0,1766876196003
0,30.0,1766876196260
0,30.0,1766876196514
0,30.0,1766876196771
0,30.0,1766876197013
0,30.0,1766876197275
0,30.0,1766876197536
0,30.0,1766876197792
0,30.0,1766876198042
0,30.0,1766876198293
0,30.0,1766876198545
0,30.0,1766876198788
0,30.0,1766876199033
0,30.0,1766876199294
0,30.0,1766876199540
0,30.0,1766876199802
0,30.0,1766876200189
0,30.0,1766876200448
0,30.0,1766876200706
0,30.0,1766876200956
0,30.0,1766876201207
0,30.0,1766876201464
0,30.0,1766876201713
0,30.0,1766876201966
0,30.0,1766876202235
0,30.0,1766876202487
0,30.0,1766876202738
0,30.0,1766876202997
0,30.0,1766876203240
0,30.0,1766876203502
0,30.0,1766876203756
0,30.0,1766876204002
0,30.0,1766876204252
0,30.0,1766876204509
0,30.0,1766876204757
0,30.0,1766876205007
0,30.0,1766876205258
0,30.0,1766876205498
0,30.0,1766876205744
0,30.0,1766876206030
0,30.0,1766876206285
0,30.0,1766876206543
0,30.0,1766876206795
0,30.0,1766876207050
0,30.0,1766876207298
0,30.0,1766876207546
0,30.0,1766876207809
0,30.0,1766876208062
0,30.0,1766876208326
0,30.0,1766876208602
0,30.0,1766876208858
0,30.0,1766876209118
0,30.0,1766876209376
0,30.0,1766876209630
0,30.0,1766876209900
0,30.0,1766876210247
0,30.0,1766876210501
0,30.0,1766876210756
0,30.0,1766876211023
0,30.0,1766876211267
0,29.0,1766876211518
0,30.0,1766876211783
0,30.0,1766876212035
0,30.0,1766876212307
0,30.0,1766876212570
0,30.0,1766876212875
0,30.0,1766876213129
0,30.0,1766876213389
0,30.0,1766876213630
0,30.0,1766876213883
0,30.0,1766876214130
0,30.0,1766876214382
0,30.0,1766876214631
0,30.0,1766876214886
0,29.0,1766876215140
0,30.0,1766876215384
0,30.0,1766876215629
0,30.0,1766876215884
0,30.0,1766876216131
0,30.0,1766876216378
0,30.0,1766876216630
0,30.0,1766876216878
0,30.0,1766876217130
0,30.0,1766876217379
0,30.0,1766876217633
0,30.0,1766876217884
0,30.0,1766876218130
0,30.0,1766876218386
0,30.0,1766876218633
0,30.0,1766876218875
0,30.0,1766876219124
0,30.0,1766876219383
0,30.0,1766876219641
0,30.0,1766876219915
0,30.0,1766876220158
0,30.0,1766876220434
0,30.0,1766876220696
0,30.0,1766876220949
0,30.0,1766876221198
0,29.0,1766876221442
0,30.0,1766876221702
0,29.0,1766876221976
0,30.0,1766876222229
0,30.0,1766876222485
0,30.0,1766876222736
0,30.0,1766876222984
0,30.0,1766876223221
0,30.0,1766876223474
0,30.0,1766876223727
0,30.0,1766876223973
0,30.0,1766876224241
0,30.0,1766876224501
0,29.0,1766876224755
0,30.0,1766876225011
0,29.0,1766876225257
0,30.0,1766876225505
0,30.0,1766876225758
0,29.0,1766876226024
0,30.0,1766876226276
0,30.0,1766876226522
0,30.0,1766876226770
0,30.0,1766876227036
0,30.0,1766876227282
0,30.0,1766876227675
0,30.0,1766876227926
0,30.0,1766876228188
0,30.0,1766876228434
0,30.0,1766876228686
0,30.0,1766876228950
0,30.0,1766876229197
0,30.0,1766876229447
0,30.0,1766876229716
0,30.0,1766876229960
0,30.0,1766876230239
0,30.0,1766876230500
0,29.0,1766876230745
0,30.0,1766876230999
0,30.0,1766876231244
0,30.0,1766876231504
0,30.0,1766876231755
0,29.0,1766876232006
0,30.0,1766876232280
0,29.0,1766876232534
0,29.0,1766876232787
0,29.0,1766876233059
0,29.0,1766876233312
0,30.0,1766876233590
0,30.0,1766876233863
0,30.0,1766876234112
0,29.0,1766876234381
0,29.0,1766876234631
0,30.0,1766876234880
0,30.0,1766876235124
0,30.0,1766876235399
0,30.0,1766876235647
0,30.0,1766876235890
0,29.0,1766876236146
0,29.0,1766876236400
0,29.0,1766876236659
0,29.0,1766876236916
0,29.0,1766876237268
0,29.0,1766876237522
0,29.0,1766876237784
0,29.0,1766876238118
0,29.0,1766876238368
0,29.0,1766876238634
0,29.0,1766876238893
0,29.0,1766876239155
0,29.0,1766876239408
0,29.0,1766876239655
0,29.0,1766876239921
0,29.0,1766876240176
0,29.0,1766876240428
0,29.0,1766876240686
0,29.0,1766876240951
0,29.0,1766876241207
0,29.0,1766876241467
0,29.0,1766876241733
0,29.0,1766876241989
0,29.0,1766876242251
0,28.0,1766876242525
0,28.0,1766876242910
0,28.0,1766876243181
0,28.0,1766876243458
0,28.0,1766876243740
0,28.0,1766876244128
0,28.0,1766876244404
0,28.0,1766876244712
0,28.0,1766876244984
0,27.0,1766876245249
0,27.0,1766876245607
0,28.0,1766876245953
0,28.0,1766876246204
0,28.0,1766876246458
0,28.0,1766876246700
0,29.0,1766876246961
0,29.0,1766876247214
0,29.0,1766876247469
0,29.0,1766876247732
0,29.0,1766876247983
0,29.0,1766876248232
0,29.0,1766876248474
0,29.0,1766876248735
0,29.0,1766876248988
0,29.0,1766876249236
0,29.0,1766876249484
0,29.0,1766876249723
0,30.0,1766876249972
0,29.0,1766876250227
0,29.0,1766876250471
0,29.0,1766876250710
0,30.0,1766876250960
0,29.0,1766876251213
0,29.0,1766876251461
0,29.0,1766876251713
0,29.0,1766876251989
0,30.0,1766876252251
0,29.0,1766876252505
0,29.0,1766876252751
0,29.0,1766876252990
0,29.0,1766876253233
0,30.0,1766876253487
0,29.0,1766876253745
0,29.0,1766876253985
0,29.0,1766876254230
0,29.0,1766876254485
0,29.0,1766876254755
0,29.0,1766876255003
0,29.0,1766876255254
0,29.0,1766876255495
0,29.0,1766876255757
0,29.0,1766876256128
0,29.0,1766876256370
0,29.0,1766876256616
0,29.0,1766876256860
0,29.0,1766876257119
0,29.0,1766876257408
0,29.0,1766876257655
0,29.0,1766876257901
0,29.0,1766876258156
0,29.0,1766876258407
0,29.0,1766876258685
0,29.0,1766876258932
0,29.0,1766876259174
0,30.0,1766876259424
0,29.0,1766876259712
0,29.0,1766876259960
0,29.0,1766876260239
0,29.0,1766876260492
0,29.0,1766876260754
0,29.0,1766876261003
0,29.0,1766876261262
0,29.0,1766876261513
0,30.0,1766876261810
0,29.0,1766876262061
0,29.0,1766876262320
0,29.0,1766876262585
0,29.0,1766876262833
0,30.0,1766876263088
0,29.0,1766876263386
0,29.0,1766876263647
0,29.0,1766876263908
0,29.0,1766876264179
0,29.0,1766876264434
0,29.0,1766876264698
0,29.0,1766876264961
0,29.0,1766876265217
0,29.0,1766876265491
0,29.0,1766876265757
0,29.0,1766876266018
0,29.0,1766876266350
0,30.0,1766876266636
0,29.0,1766876266933
0,29.0,1766876267191
0,29.0,1766876267516
0,30.0,1766876267789
0,29.0,1766876268028
0,29.0,1766876268274
0,29.0,1766876268509
0,29.0,1766876268756
0,29.0,1766876269018
0,29.0,1766876269263
0,29.0,1766876269502
0,29.0,1766876269743
0,29.0,1766876269993
0,30.0,1766876270256
0,29.0,1766876270491
0,29.0,1766876270725
0,29.0,1766876270972
0,30.0,1766876271219
0,29.0,1766876271465
0,29.0,1766876271704
0,29.0,1766876271947
0,29.0,1766876272191
0,29.0,1766876272446
0,30.0,1766876272696
0,29.0,1766876272929
0,29.0,1766876273182
0,29.0,1766876273415
0,30.0,1766876273667
0,29.0,1766876273904
0,29.0,1766876274141
0,29.0,1766876274378
0,29.0,1766876274628
0,29.0,1766876274881
0,29.0,1766876275120
0,29.0,1766876275365
0,29.0,1766876275600
0,29.0,1766876275838
0,30.0,1766876276090
0,29.0,1766876276327
0,29.0,1766876276569
0,29.0,1766876276816
0,30.0,1766876277064
0,29.0,1766876277301
0,29.0,1766876277535
0,29.0,1766876277792
0,29.0,1766876278024
0,29.0,1766876278264
0,29.0,1766876278503
0,29.0,1766876278736
0,29.0,1766876278995
0,29.0,1766876279240
0,30.0,1766876279496
0,29.0,1766876279797
0,29.0,1766876280042
0,29.0,1766876280283
0,29.0,1766876280529
0,29.0,1766876280766
0,29.0,1766876281002
0,29.0,1766876281249
0,29.0,1766876281498
0,30.0,1766876281738
0,29.0,1766876281977
0,29.0,1766876282221
0,29.0,1766876282457
0,29.0,1766876282702
0,30.0,1766876282946
