memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,3.2,1766876046952
0,3.2,1766876047268
0,3.2,1766876047518
0,3.2,1766876047759
0,3.2,1766876048012
0,3.2,1766876048269
0,3.2,1766876048508
0,3.2,1766876048743
0,3.2,1766876048995
0,3.2,1766876049253
0,3.2,1766876049502
0,3.2,1766876049743
0,3.2,1766876049994
0,3.2,1766876050233
0,3.2,1766876050489
0,3.2,1766876050768
0,3.2,1766876051005
0,3.2,1766876051243
0,3.2,1766876051483
0,3.2,1766876051727
0,3.2,1766876051985
0,3.2,1766876052226
0,3.2,1766876052479
0,3.2,1766876052719
0,3.2,1766876052956
0,3.2,1766876053229
0,3.2,1766876053475
0,3.2,1766876053723
0,3.2,1766876053988
0,3.2,1766876054232
0,3.2,1766876054467
0,3.2,1766876054739
0,3.2,1766876054985
0,3.2,1766876055224
0,3.2,1766876055479
0,3.2,1766876055715
0,3.2,1766876055966
0,3.2,1766876056217
0,3.2,1766876056457
0,3.2,1766876056710
0,3.2,1766876056968
0,3.2,1766876057209
0,3.2,1766876057461
0,3.2,1766876057719
0,3.2,1766876057959
0,3.2,1766876058207
0,3.2,1766876058464
0,3.2,1766876058721
0,3.2,1766876058957
0,3.2,1766876059215
0,3.2,1766876059452
0,3.2,1766876059693
0,3.2,1766876060061
0,3.2,1766876060321
0,3.2,1766876060560
0,3.2,1766876060817
0,3.2,1766876061055
0,3.2,1766876061317
0,3.2,1766876061571
0,3.2,1766876061906
0,3.2,1766876062160
0,3.2,1766876062396
0,3.2,1766876062646
0,3.2,1766876062907
0,3.2,1766876063142
0,3.2,1766876063383
0,3.2,1766876063645
0,3.2,1766876063884
0,3.2,1766876064143
0,3.2,1766876064390
0,3.2,1766876064630
0,3.2,1766876064868
0,3.2,1766876065131
0,3.2,1766876065391
0,3.2,1766876065638
0,3.2,1766876065885
0,3.2,1766876066134
0,3.2,1766876066376
0,2.7,1766876066635
0,2.7,1766876066893
0,2.7,1766876067156
0,2.7,1766876067404
0,2.8,1766876067645
0,2.8,1766876067884
0,2.8,1766876068138
0,2.8,1766876068385
0,2.8,1766876068639
0,2.8,1766876068892
0,2.8,1766876069139
0,2.9,1766876069411
