memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,3.2,1766875994139
0,3.2,1766875995640
0,3.2,1766875996958
0,3.2,1766875998256
0,3.2,1766875999573
0,3.2,1766876000930
0,3.2,1766876002250
0,3.2,1766876003565
0,3.2,1766876004875
0,3.2,1766876006272
0,3.2,1766876007601
0,3.2,1766876008921
0,3.2,1766876010249
0,3.2,1766876011611
0,3.2,1766876013074
0,3.2,1766876014385
0,3.2,1766876015690
0,3.2,1766876017012
0,3.2,1766876018347
0,3.2,1766876019652
0,3.2,1766876020965
0,3.2,1766876022269
0,3.2,1766876023615
0,3.2,1766876024913
0,3.2,1766876026215
0,3.2,1766876027628
0,3.2,1766876028947
0,3.2,1766876030306
0,3.2,1766876031657
0,3.2,1766876033014
0,3.2,1766876034344
0,3.2,1766876035711
0,3.2,1766876037007
0,2.7,1766876038313
0,2.8,1766876039650
0,2.9,1766876040964
0,2.9,1766876042286
0,3.0,1766876043596
0,3.0,1766876044908
0,3.0,1766876046239
0,3.2,1766876047612
0,3.2,1766876048936
0,3.2,1766876050340
0,3.2,1766876051653
0,3.2,1766876052964
0,3.2,1766876054352
0,3.2,1766876055662
0,3.2,1766876057162
0,3.2,1766876058468
0,3.2,1766876059771
0,3.2,1766876061129
0,3.2,1766876062446
0,3.2,1766876063779
0,3.2,1766876065087
0,3.2,1766876066406
0,2.8,1766876067850
0,2.8,1766876069180
0,2.9,1766876070506
0,2.9,1766876071458
