gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.0,1766875845648
0,0.1,1766875846005
0,0.14,1766875846280
0,0.12,1766875846552
0,0.11,1766875846840
0,0.14,1766875847138
0,0.1,1766875847442
0,0.04,1766875847726
0,0.1,1766875848018
0,0.14,1766875848285
0,0.1,1766875848573
0,0.14,1766875848876
0,0.1,1766875849167
0,0.14,1766875849446
0,0.04,1766875849731
0,0.1,1766875850031
0,0.13,1766875850297
0,0.1,1766875850574
0,0.14,1766875850863
0,0.14,1766875851148
0,0.1,1766875851436
0,0.11,1766875851725
0,0.1,1766875852007
0,0.14,1766875852299
0,0.1,1766875852571
0,0.13,1766875852858
0,0.1,1766875853185
0,0.14,1766875853459
0,0.04,1766875853741
0,0.1,1766875854036
0,0.14,1766875854330
0,0.1,1766875854599
0,0.14,1766875854895
0,0.1,1766875855239
0,0.14,1766875855523
0,0.1,1766875855804
0,0.14,1766875856079
0,0.14,1766875856378
0,0.1,1766875856663
0,0.11,1766875856961
0,0.1,1766875857257
0,0.07,1766875857541
0,0.1,1766875857858
0,0.1,1766875858177
0,0.1,1766875858473
0,0.04,1766875858754
0,0.1,1766875859052
0,0.09,1766875859346
0,0.1,1766875859652
0,0.12,1766875859946
0,0.1,1766875860246
0,0.14,1766875860533
0,0.1,1766875860867
0,0.1,1766875861167
0,0.1,1766875861461
0,0.11,1766875861762
0,0.1,1766875862099
0,0.14,1766875862394
0,0.1,1766875862699
0,0.14,1766875863050
0,0.1,1766875863348
0,0.1,1766875863623
0,0.14,1766875863918
0,0.14,1766875864202
0,0.1,1766875864503
0,0.14,1766875864787
0,0.1,1766875865065
0,0.14,1766875865358
0,0.1,1766875865644
0,0.14,1766875865934
0,0.1,1766875866221
0,0.14,1766875866499
0,0.14,1766875866797
0,0.1,1766875867081
0,0.14,1766875867360
0,0.1,1766875867652
0,0.14,1766875867931
0,0.12,1766875868221
0,0.11,1766875868518
0,0.14,1766875868815
0,0.1,1766875869088
0,0.1,1766875869381
0,0.1,1766875869666
0,0.14,1766875869962
0,0.1,1766875870255
0,0.14,1766875870577
0,0.1,1766875870960
0,0.1,1766875871245
0,0.14,1766875871542
0,0.04,1766875871809
0,0.1,1766875872116
0,0.07,1766875872393
0,0.1,1766875872679
0,0.12,1766875872989
0,0.1,1766875873285
0,0.14,1766875873556
0,0.1,1766875873850
0,0.14,1766875874121
0,0.06,1766875874398
0,0.1,1766875874710
0,0.11,1766875874996
0,0.1,1766875875305
0,0.09,1766875875612
0,0.1,1766875876004
0,0.1,1766875876293
0,0.14,1766875876590
0,0.1,1766875876865
0,0.14,1766875877141
0,0.14,1766875877434
0,0.1,1766875877715
0,0.14,1766875877996
0,0.1,1766875878292
0,0.14,1766875878577
0,0.1,1766875878867
0,0.14,1766875879215
0,0.1,1766875879505
0,0.14,1766875879780
0,0.1,1766875880091
0,0.14,1766875880372
0,0.1,1766875880682
0,0.14,1766875880970
0,0.1,1766875881296
0,0.14,1766875881579
0,0.14,1766875881863
0,0.1,1766875882141
0,0.1,1766875882423
0,0.1,1766875882747
0,0.09,1766875883026
