cpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,2.7,1766875863739
0,3.0,1766875864260
0,2.8,1766875864696
0,2.9,1766875865122
0,3.1,1766875865595
0,2.7,1766875866033
0,2.8,1766875866464
0,2.7,1766875866903
0,3.0,1766875867335
0,2.8,1766875867777
0,2.8,1766875868222
0,2.8,1766875868657
0,2.9,1766875869121
0,2.8,1766875869561
0,2.9,1766875870018
0,2.9,1766875870438
0,2.9,1766875870878
0,2.9,1766875871363
0,2.7,1766875871796
0,2.9,1766875872247
0,2.8,1766875872681
0,2.7,1766875873121
0,3.0,1766875873563
0,2.9,1766875874001
0,2.9,1766875874434
0,3.0,1766875874867
0,2.8,1766875875294
0,2.7,1766875875750
0,2.9,1766875876178
0,2.9,1766875876654
0,3.0,1766875877080
0,2.7,1766875877534
0,3.0,1766875877953
0,2.8,1766875878464
0,2.7,1766875878913
0,2.9,1766875879363
0,2.9,1766875879811
0,2.8,1766875880245
0,2.9,1766875880684
0,2.8,1766875881143
0,2.8,1766875881566
0,3.0,1766875882009
0,3.0,1766875882454
0,3.0,1766875882976
0,2.8,1766875883420
0,2.9,1766875883844
0,2.7,1766875884290
0,2.9,1766875884731
0,2.8,1766875885169
0,2.9,1766875885600
0,2.7,1766875886042
0,2.9,1766875886459
0,2.8,1766875886901
0,3.0,1766875887342
0,2.9,1766875887774
0,2.7,1766875888200
0,2.8,1766875888768
0,2.8,1766875889234
0,2.9,1766875889666
0,2.9,1766875890104
0,2.8,1766875890564
0,2.8,1766875890998
0,2.8,1766875891453
0,2.9,1766875891891
0,2.8,1766875892342
0,2.9,1766875892778
0,2.9,1766875893227
0,3.0,1766875893776
0,2.9,1766875894212
0,2.7,1766875894648
0,2.9,1766875895076
0,2.7,1766875895512
0,2.9,1766875895961
0,2.8,1766875896392
0,3.1,1766875896838
0,2.9,1766875897276
0,3.0,1766875897709
0,2.8,1766875898200
0,3.0,1766875898644
0,2.8,1766875899082
0,2.8,1766875899513
0,2.9,1766875899951
0,2.9,1766875900373
0,2.8,1766875900808
0,3.0,1766875901231
0,2.9,1766875901673
0,2.9,1766875902114
0,2.9,1766875902572
0,2.9,1766875902995
0,2.7,1766875903510
0,2.9,1766875904002
0,3.1,1766875904446
0,2.8,1766875904871
0,2.8,1766875905316
0,2.9,1766875905749
0,2.8,1766875906181
0,3.0,1766875906605
0,2.9,1766875907048
0,2.9,1766875907479
0,2.8,1766875907921
0,2.8,1766875908367
0,2.8,1766875908796
0,3.0,1766875909212
0,2.8,1766875909647
0,2.7,1766875910082
0,2.9,1766875910526
0,2.8,1766875910964
0,2.8,1766875911398
0,2.7,1766875911837
0,2.9,1766875912279
0,2.8,1766875912703
0,3.0,1766875913129
0,2.9,1766875913558
0,3.0,1766875914005
0,2.9,1766875914497
0,3.0,1766875914990
