gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,29.0,1766875979432
0,29.0,1766875980288
0,29.0,1766875981000
0,29.0,1766875981740
0,29.0,1766875982479
0,29.0,1766875983207
0,29.0,1766875983948
0,29.0,1766875984742
0,29.0,1766875985461
0,29.0,1766875986205
0,29.0,1766875986957
0,29.0,1766875987779
0,28.0,1766875988534
0,28.0,1766875989276
0,28.0,1766875990034
0,28.0,1766875990792
0,27.0,1766875991542
0,27.0,1766875992297
0,28.0,1766875993043
0,28.0,1766875993764
0,29.0,1766875994503
0,29.0,1766875995317
0,30.0,1766875996030
0,29.0,1766875996757
0,30.0,1766875997477
0,29.0,1766875998194
0,30.0,1766875998906
0,31.0,1766875999632
0,30.0,1766876000374
0,32.0,1766876001108
0,30.0,1766876001840
0,31.0,1766876002558
0,30.0,1766876003283
0,30.0,1766876004021
0,30.0,1766876004826
0,30.0,1766876005547
0,30.0,1766876006254
0,30.0,1766876006988
0,32.0,1766876007781
0,30.0,1766876008505
0,31.0,1766876009232
0,30.0,1766876009966
0,31.0,1766876010686
0,30.0,1766876011406
0,31.0,1766876012122
0,30.0,1766876012844
0,31.0,1766876013582
0,30.0,1766876014298
0,31.0,1766876015026
0,32.0,1766876015749
0,31.0,1766876016476
0,33.0,1766876017223
0,31.0,1766876017961
0,31.0,1766876018714
0,31.0,1766876019433
0,31.0,1766876020141
0,31.0,1766876020859
0,31.0,1766876021571
0,31.0,1766876022395
0,31.0,1766876023110
0,32.0,1766876023896
0,31.0,1766876024608
0,32.0,1766876025328
0,31.0,1766876026048
0,31.0,1766876026785
0,31.0,1766876027503
0,31.0,1766876028250
0,32.0,1766876028994
0,31.0,1766876029736
0,33.0,1766876030483
0,31.0,1766876031218
0,32.0,1766876032010
0,31.0,1766876032722
0,32.0,1766876033452
0,31.0,1766876034155
0,32.0,1766876034860
0,31.0,1766876035574
0,32.0,1766876036287
0,31.0,1766876037010
0,32.0,1766876037732
0,33.0,1766876038465
0,32.0,1766876039187
0,33.0,1766876039923
0,32.0,1766876040643
0,32.0,1766876041393
0,32.0,1766876042121
0,32.0,1766876042882
0,32.0,1766876043614
0,32.0,1766876044361
0,34.0,1766876045103
0,32.0,1766876045821
0,33.0,1766876046563
0,32.0,1766876047301
0,32.0,1766876048011
0,32.0,1766876048715
0,32.0,1766876049419
0,32.0,1766876050231
0,32.0,1766876050943
0,32.0,1766876051654
0,32.0,1766876052386
0,33.0,1766876053123
0,32.0,1766876053836
0,34.0,1766876054552
0,32.0,1766876055290
0,33.0,1766876056015
0,32.0,1766876056734
0,33.0,1766876057504
0,32.0,1766876058243
0,32.0,1766876058968
0,33.0,1766876059809
0,32.0,1766876060522
0,33.0,1766876061252
0,32.0,1766876061973
0,33.0,1766876062744
0,32.0,1766876063470
0,33.0,1766876064189
0,32.0,1766876064907
0,33.0,1766876065169
