gpu_temperature,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,23.0,1766875660388
0,23.0,1766875660862
0,23.0,1766875661237
0,23.0,1766875661605
0,24.0,1766875661998
0,24.0,1766875662385
0,24.0,1766875662763
0,24.0,1766875663127
0,23.0,1766875663499
0,23.0,1766875663853
0,23.0,1766875664230
0,24.0,1766875664589
0,24.0,1766875665036
0,24.0,1766875665393
0,24.0,1766875665780
0,24.0,1766875666148
0,24.0,1766875666517
0,24.0,1766875666869
0,24.0,1766875667249
0,24.0,1766875667621
0,24.0,1766875667996
0,24.0,1766875668382
0,24.0,1766875668736
0,24.0,1766875669092
0,24.0,1766875669477
0,24.0,1766875669837
0,24.0,1766875670207
0,24.0,1766875670559
0,24.0,1766875670932
0,24.0,1766875671295
0,24.0,1766875671677
0,24.0,1766875672056
0,24.0,1766875672439
0,24.0,1766875672812
0,24.0,1766875673218
0,24.0,1766875673576
0,24.0,1766875673954
0,24.0,1766875674328
0,24.0,1766875674686
0,24.0,1766875675040
0,24.0,1766875675445
0,24.0,1766875675802
0,24.0,1766875676180
0,24.0,1766875676633
0,24.0,1766875676978
0,24.0,1766875677334
0,25.0,1766875677674
0,24.0,1766875678067
0,24.0,1766875678455
0,24.0,1766875678830
0,24.0,1766875679183
0,24.0,1766875679543
0,24.0,1766875679889
0,24.0,1766875680243
0,25.0,1766875680599
0,25.0,1766875680955
0,25.0,1766875681353
0,25.0,1766875681822
0,25.0,1766875682188
0,25.0,1766875682561
0,25.0,1766875682918
0,25.0,1766875683296
0,25.0,1766875683751
0,25.0,1766875684124
0,25.0,1766875684501
0,25.0,1766875684875
0,25.0,1766875685234
0,25.0,1766875685726
0,25.0,1766875686102
0,25.0,1766875686481
0,25.0,1766875686840
0,25.0,1766875687205
0,25.0,1766875687568
0,25.0,1766875687952
0,25.0,1766875688329
0,25.0,1766875688713
0,25.0,1766875689066
0,25.0,1766875689425
0,25.0,1766875689792
0,25.0,1766875690164
0,25.0,1766875690534
0,25.0,1766875690901
0,25.0,1766875691274
0,25.0,1766875691703
0,25.0,1766875692071
0,25.0,1766875692445
0,25.0,1766875692810
0,25.0,1766875693227
0,25.0,1766875693599
0,25.0,1766875693967
0,25.0,1766875694361
0,25.0,1766875694759
0,25.0,1766875695247
0,25.0,1766875695601
0,25.0,1766875695978
0,25.0,1766875696386
0,25.0,1766875696751
0,25.0,1766875697165
0,25.0,1766875697644
0,25.0,1766875698017
0,25.0,1766875698398
0,25.0,1766875698758
0,25.0,1766875699171
0,25.0,1766875699559
0,25.0,1766875699940
0,25.0,1766875700313
0,25.0,1766875700676
0,26.0,1766875701059
0,25.0,1766875701544
0,25.0,1766875701909
0,25.0,1766875702283
0,26.0,1766875702751
0,25.0,1766875703129
0,26.0,1766875703499
0,26.0,1766875703861
0,26.0,1766875704216
0,26.0,1766875704609
0,26.0,1766875705092
0,26.0,1766875705451
0,26.0,1766875705839
0,26.0,1766875706206
0,26.0,1766875706578
0,26.0,1766875706919
0,26.0,1766875707294
0,26.0,1766875707663
0,26.0,1766875708039
0,26.0,1766875708401
0,26.0,1766875708757
0,26.0,1766875709138
0,26.0,1766875709496
0,26.0,1766875709926
0,26.0,1766875710416
0,26.0,1766875710775
0,26.0,1766875711254
0,26.0,1766875711606
0,26.0,1766875711974
0,26.0,1766875712355
0,26.0,1766875712760
0,26.0,1766875713190
0,26.0,1766875713590
0,26.0,1766875713941
0,26.0,1766875714326
0,26.0,1766875714812
0,26.0,1766875715175
0,26.0,1766875715533
0,26.0,1766875715899
0,26.0,1766875716266
0,26.0,1766875716628
0,26.0,1766875717020
0,26.0,1766875717417
0,26.0,1766875717777
0,26.0,1766875718149
0,26.0,1766875718566
0,26.0,1766875718917
0,26.0,1766875719303
0,26.0,1766875719701
0,26.0,1766875720097
0,26.0,1766875720598
0,26.0,1766875720994
0,26.0,1766875721430
0,26.0,1766875721837
0,26.0,1766875722203
0,26.0,1766875722592
0,26.0,1766875722964
0,26.0,1766875723353
0,26.0,1766875723713
0,26.0,1766875724078
0,26.0,1766875724438
0,26.0,1766875724867
0,26.0,1766875725228
0,26.0,1766875725582
0,26.0,1766875725950
0,26.0,1766875726326
0,26.0,1766875726677
0,26.0,1766875727047
0,26.0,1766875727396
0,26.0,1766875727774
0,27.0,1766875728140
0,26.0,1766875728535
0,26.0,1766875728895
0,26.0,1766875729279
0,26.0,1766875729644
0,26.0,1766875730009
0,26.0,1766875730397
