gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.04,1766875660349
0,0.08,1766875660813
0,0.08,1766875661199
0,0.08,1766875661560
0,0.14,1766875661955
0,0.08,1766875662339
0,0.1,1766875662724
0,0.08,1766875663084
0,0.08,1766875663447
0,0.08,1766875663813
0,0.08,1766875664185
0,0.15,1766875664547
0,0.08,1766875664998
0,0.08,1766875665348
0,0.08,1766875665737
0,0.08,1766875666102
0,0.08,1766875666476
0,0.08,1766875666826
0,0.08,1766875667205
0,0.08,1766875667575
0,0.08,1766875667951
0,0.11,1766875668338
0,0.14,1766875668696
0,0.08,1766875669048
0,0.08,1766875669435
0,0.08,1766875669796
0,0.08,1766875670161
0,0.08,1766875670520
0,0.1,1766875670887
0,0.08,1766875671254
0,0.08,1766875671633
0,0.08,1766875672016
0,0.08,1766875672395
0,0.08,1766875672764
0,0.15,1766875673176
0,0.08,1766875673530
0,0.11,1766875673910
0,0.08,1766875674284
0,0.08,1766875674647
0,0.08,1766875674998
0,0.08,1766875675403
0,0.08,1766875675759
0,0.08,1766875676142
0,0.08,1766875676587
0,0.09,1766875676934
0,0.1,1766875677290
0,0.08,1766875677636
0,0.08,1766875678025
0,0.11,1766875678416
0,0.08,1766875678789
0,0.08,1766875679141
0,0.08,1766875679500
0,0.08,1766875679851
0,0.08,1766875680196
0,0.08,1766875680556
0,0.15,1766875680908
0,0.08,1766875681315
0,0.08,1766875681779
0,0.08,1766875682151
0,0.08,1766875682510
0,0.08,1766875682878
0,0.08,1766875683252
0,0.14,1766875683710
0,0.08,1766875684082
0,0.08,1766875684459
0,0.11,1766875684834
0,0.08,1766875685197
0,0.08,1766875685685
0,0.08,1766875686055
0,0.08,1766875686443
0,0.08,1766875686799
0,0.08,1766875687168
0,0.13,1766875687528
0,0.1,1766875687906
0,0.08,1766875688288
0,0.08,1766875688676
0,0.08,1766875689026
0,0.08,1766875689380
0,0.08,1766875689753
0,0.08,1766875690116
0,0.08,1766875690492
0,0.08,1766875690855
0,0.09,1766875691235
0,0.08,1766875691647
0,0.08,1766875692024
0,0.11,1766875692396
0,0.08,1766875692769
0,0.08,1766875693181
0,0.08,1766875693558
0,0.08,1766875693924
0,0.13,1766875694322
0,0.08,1766875694719
0,0.11,1766875695200
0,0.06,1766875695561
0,0.02,1766875695930
0,0.08,1766875696348
0,0.08,1766875696712
0,0.08,1766875697122
0,0.08,1766875697598
0,0.08,1766875697978
0,0.08,1766875698352
0,0.08,1766875698715
0,0.08,1766875699125
0,0.09,1766875699507
0,0.05,1766875699900
0,0.14,1766875700273
0,0.09,1766875700630
0,0.11,1766875701009
0,0.08,1766875701496
0,0.08,1766875701869
0,0.08,1766875702236
0,0.09,1766875702709
0,0.08,1766875703092
0,0.08,1766875703459
0,0.08,1766875703822
0,0.08,1766875704176
0,0.07,1766875704562
0,0.08,1766875705047
0,0.08,1766875705406
0,0.08,1766875705796
0,0.08,1766875706164
0,0.08,1766875706532
0,0.08,1766875706882
0,0.08,1766875707254
0,0.08,1766875707623
0,0.08,1766875707992
0,0.08,1766875708355
0,0.14,1766875708711
0,0.08,1766875709097
0,0.08,1766875709454
0,0.08,1766875709890
0,0.08,1766875710377
0,0.08,1766875710731
0,0.11,1766875711216
0,0.08,1766875711564
0,0.08,1766875711937
0,0.1,1766875712310
0,0.08,1766875712720
0,0.08,1766875713153
0,0.08,1766875713544
0,0.09,1766875713901
0,0.12,1766875714280
0,0.09,1766875714761
0,0.08,1766875715132
0,0.1,1766875715490
0,0.08,1766875715860
0,0.08,1766875716220
0,0.08,1766875716586
0,0.08,1766875716971
0,0.08,1766875717377
0,0.08,1766875717736
0,0.08,1766875718113
0,0.08,1766875718527
0,0.08,1766875718879
0,0.1,1766875719253
0,0.08,1766875719660
0,0.08,1766875720055
0,0.08,1766875720560
0,0.08,1766875720954
0,0.08,1766875721388
0,0.08,1766875721795
0,0.08,1766875722163
0,0.08,1766875722547
0,0.11,1766875722925
0,0.08,1766875723308
0,0.08,1766875723672
0,0.08,1766875724031
0,0.08,1766875724393
0,0.08,1766875724829
0,0.14,1766875725184
0,0.08,1766875725536
0,0.11,1766875725905
0,0.08,1766875726283
0,0.08,1766875726629
0,0.08,1766875727006
0,0.08,1766875727356
0,0.08,1766875727734
0,0.12,1766875728095
0,0.12,1766875728495
0,0.08,1766875728846
0,0.09,1766875729230
0,0.08,1766875729606
0,0.08,1766875729969
0,0.08,1766875730357
0,0.08,1766875730715
0,0.08,1766875731071
0,0.12,1766875731447
0,0.08,1766875731806
0,0.08,1766875732162
0,0.08,1766875732547
0,0.1,1766875732986
0,0.11,1766875733388
0,0.08,1766875733849
0,0.08,1766875734247
