disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,1.5,1766875760389
0,1.5,1766875761100
0,1.5,1766875761746
0,1.5,1766875762390
0,1.5,1766875762988
0,1.5,1766875763586
0,1.5,1766875764193
0,1.5,1766875764810
0,1.5,1766875765487
0,1.5,1766875766098
0,1.5,1766875766695
0,1.5,1766875767283
0,1.5,1766875767875
0,1.5,1766875768468
0,1.5,1766875769114
0,1.5,1766875769718
0,1.5,1766875770333
0,1.5,1766875770956
0,1.5,1766875771641
0,1.5,1766875772262
0,1.5,1766875772841
0,1.5,1766875773571
0,1.5,1766875774242
0,1.5,1766875774916
0,1.5,1766875775522
0,1.5,1766875776166
0,1.5,1766875776803
0,1.5,1766875777479
0,1.5,1766875778083
0,1.5,1766875778682
0,1.5,1766875779303
0,1.5,1766875779895
0,1.5,1766875780508
0,1.5,1766875781135
0,1.5,1766875781796
0,1.5,1766875782421
0,1.5,1766875783008
0,1.5,1766875783663
0,1.5,1766875784262
0,1.5,1766875784859
0,1.5,1766875785554
0,1.5,1766875786147
0,1.5,1766875786740
0,1.5,1766875787358
0,1.5,1766875788187
0,1.5,1766875788872
0,1.5,1766875789582
0,1.5,1766875790192
0,1.5,1766875790827
0,1.5,1766875791432
0,1.5,1766875792095
0,1.5,1766875792730
0,1.5,1766875793342
0,1.5,1766875793924
0,1.5,1766875794496
0,1.5,1766875795120
0,1.5,1766875795704
0,1.5,1766875796368
0,1.5,1766875797076
0,1.5,1766875797681
0,1.5,1766875798354
0,1.5,1766875798936
0,1.5,1766875799514
0,1.5,1766875800127
0,1.5,1766875800789
0,1.5,1766875801403
0,1.5,1766875802020
0,1.5,1766875802645
0,1.5,1766875803248
0,1.5,1766875803849
0,1.5,1766875804464
0,1.5,1766875805164
0,1.5,1766875805748
0,1.5,1766875806346
0,1.5,1766875807002
0,1.5,1766875807641
0,1.5,1766875808213
0,1.5,1766875808832
0,1.5,1766875809443
0,1.5,1766875810037
0,1.5,1766875810639
0,1.5,1766875811233
0,1.5,1766875811871
0,1.5,1766875812432
0,1.5,1766875813076
0,1.5,1766875813698
0,1.5,1766875814290
0,1.5,1766875814887
0,1.5,1766875815491
0,1.5,1766875816092
0,1.5,1766875816675
0,1.5,1766875817258
0,1.5,1766875817874
0,1.5,1766875818456
0,1.5,1766875819080
0,1.5,1766875819760
0,1.5,1766875820463
0,1.5,1766875821042
0,1.5,1766875821617
0,1.5,1766875822208
0,1.5,1766875822783
0,1.5,1766875823367
0,1.5,1766875823951
0,1.5,1766875824545
0,1.5,1766875825156
0,1.5,1766875825747
0,1.5,1766875826352
0,1.5,1766875826950
0,1.5,1766875827583
0,1.5,1766875828290
0,1.5,1766875828868
0,1.5,1766875829500
0,1.5,1766875830136
0,1.5,1766875830747
0,1.5,1766875831353
0,1.5,1766875831955
0,1.5,1766875832627
0,1.5,1766875832871
