gpu_power_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.0,1766875660237
0,0.0,1766875660506
0,0.0,1766875660696
0,0.0,1766875660887
0,0.0,1766875661061
0,0.0,1766875661247
0,0.0,1766875661427
0,0.0,1766875661617
0,0.0,1766875661788
0,0.0,1766875661981
0,0.0,1766875662168
0,0.0,1766875662360
0,0.0,1766875662541
0,0.0,1766875662729
0,0.0,1766875662919
0,0.0,1766875663100
0,0.0,1766875663296
0,0.0,1766875663487
0,0.0,1766875663667
0,0.0,1766875663861
0,0.0,1766875664042
0,0.0,1766875664238
0,0.0,1766875664415
0,0.0,1766875664609
0,0.0,1766875664791
0,0.0,1766875664998
0,0.0,1766875665193
0,0.0,1766875665375
0,0.0,1766875665564
0,0.0,1766875665762
0,0.0,1766875665949
0,0.0,1766875666133
0,0.0,1766875666316
0,0.0,1766875666505
0,0.0,1766875666702
0,0.0,1766875666899
0,0.0,1766875667081
0,0.0,1766875667275
0,0.0,1766875667462
0,0.0,1766875667652
0,0.0,1766875667840
0,0.0,1766875668041
0,0.0,1766875668237
0,0.0,1766875668440
0,0.0,1766875668620
0,0.0,1766875668810
0,0.0,1766875668990
0,0.0,1766875669195
0,0.0,1766875669406
0,0.0,1766875669606
0,0.0,1766875669806
0,0.0,1766875670004
0,0.0,1766875670196
0,0.0,1766875670407
0,0.0,1766875670590
0,0.0,1766875670771
0,0.0,1766875670965
0,0.0,1766875671151
0,0.0,1766875671347
0,0.0,1766875671520
0,0.0,1766875671729
0,0.0,1766875671910
0,0.0,1766875672100
0,0.0,1766875672281
0,0.0,1766875672486
0,0.0,1766875672664
0,0.0,1766875672861
0,0.0,1766875673038
0,0.0,1766875673227
0,0.0,1766875673407
0,0.0,1766875673604
0,0.0,1766875673777
0,0.0,1766875673971
0,0.0,1766875674156
0,0.0,1766875674347
0,0.0,1766875674542
0,0.0,1766875674736
0,0.0,1766875674919
0,0.0,1766875675123
0,0.0,1766875675324
0,0.0,1766875675513
0,0.0,1766875675699
0,0.0,1766875675899
0,0.0,1766875676108
0,0.0,1766875676296
0,0.0,1766875676484
0,0.0,1766875676684
0,0.0,1766875676871
0,0.0,1766875677065
0,0.0,1766875677240
0,0.0,1766875677444
0,0.0,1766875677638
0,0.0,1766875677830
0,0.0,1766875678015
0,0.0,1766875678207
0,0.0,1766875678388
0,0.0,1766875678583
0,0.0,1766875678775
0,0.0,1766875678985
0,0.0,1766875679174
0,0.0,1766875679353
