memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,3.0,1766875660115
0,3.2,1766875660381
0,3.2,1766875660573
0,3.2,1766875660758
0,3.2,1766875660947
0,3.2,1766875661122
0,3.2,1766875661308
0,3.2,1766875661487
0,3.2,1766875661678
0,3.2,1766875661848
0,3.2,1766875662043
0,3.2,1766875662230
0,3.2,1766875662422
0,3.2,1766875662603
0,3.2,1766875662790
0,3.2,1766875662981
0,3.2,1766875663168
0,3.2,1766875663357
0,3.2,1766875663547
0,3.2,1766875663728
0,3.2,1766875663922
0,3.2,1766875664104
0,3.2,1766875664299
0,3.2,1766875664481
0,3.2,1766875664671
0,3.2,1766875664859
0,3.2,1766875665061
0,3.2,1766875665255
0,3.2,1766875665449
0,3.2,1766875665636
0,3.2,1766875665826
0,3.2,1766875666009
0,3.2,1766875666193
0,3.2,1766875666378
0,3.2,1766875666577
0,3.2,1766875666769
0,3.2,1766875666970
0,3.2,1766875667142
0,3.2,1766875667334
0,3.2,1766875667524
0,3.2,1766875667727
0,3.2,1766875667907
0,3.2,1766875668112
0,3.2,1766875668297
0,3.2,1766875668501
0,3.2,1766875668682
0,3.2,1766875668872
0,3.2,1766875669054
0,3.2,1766875669286
0,3.2,1766875669482
0,3.2,1766875669683
0,3.2,1766875669866
0,3.2,1766875670066
0,3.2,1766875670287
0,3.2,1766875670469
0,3.2,1766875670652
0,3.2,1766875670833
0,3.2,1766875671033
0,3.2,1766875671212
0,3.2,1766875671406
0,3.2,1766875671582
0,3.2,1766875671789
0,3.2,1766875671971
0,3.2,1766875672162
0,3.2,1766875672342
0,3.2,1766875672547
0,3.2,1766875672723
0,3.2,1766875672926
0,3.2,1766875673098
0,3.2,1766875673289
0,3.2,1766875673472
0,3.2,1766875673666
0,3.2,1766875673837
0,3.2,1766875674032
0,3.2,1766875674219
0,3.2,1766875674428
0,3.2,1766875674604
0,3.2,1766875674800
0,3.2,1766875674984
0,3.2,1766875675206
0,3.2,1766875675384
0,3.2,1766875675578
0,3.2,1766875675759
0,3.2,1766875675985
0,3.2,1766875676169
0,3.2,1766875676366
0,3.2,1766875676553
0,3.2,1766875676743
0,3.2,1766875676929
0,3.2,1766875677126
0,3.2,1766875677317
0,3.2,1766875677508
0,3.2,1766875677695
0,3.2,1766875677888
0,3.2,1766875678084
0,3.2,1766875678266
0,3.2,1766875678453
0,3.2,1766875678647
0,3.2,1766875678866
0,3.2,1766875679050
0,3.2,1766875679235
0,3.2,1766875679414
0,3.2,1766875679612
0,3.2,1766875679800
0,3.2,1766875679994
0,3.2,1766875680185
0,3.2,1766875680383
0,3.2,1766875680566
0,3.2,1766875680749
0,3.2,1766875680916
0,3.2,1766875681116
0,3.2,1766875681302
0,3.2,1766875681484
0,3.2,1766875681667
0,3.2,1766875681856
0,3.2,1766875682038
0,3.2,1766875682223
0,3.2,1766875682416
0,3.2,1766875682601
0,3.2,1766875682799
0,3.2,1766875682987
0,3.2,1766875683191
0,3.2,1766875683384
0,3.2,1766875683556
0,3.2,1766875683743
0,3.2,1766875683937
0,3.2,1766875684124
0,3.2,1766875684322
0,3.2,1766875684508
0,3.2,1766875684696
0,3.2,1766875684885
0,3.2,1766875685063
