disk_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.3,1766868245870
0,0.3,1766868248575
0,0.3,1766868251093
0,0.3,1766868253687
0,0.3,1766868256197
0,0.3,1766868258875
0,0.3,1766868261384
0,0.3,1766868263918
0,0.3,1766868266473
0,0.3,1766868269111
0,0.3,1766868271702
0,0.3,1766868274422
0,0.3,1766868276984
0,0.3,1766868279509
0,0.3,1766868282059
0,0.3,1766868284633
0,0.3,1766868287186
0,0.3,1766868289821
0,0.3,1766868292345
0,0.3,1766868294873
0,0.3,1766868297427
0,0.3,1766868300063
0,0.3,1766868302558
0,0.3,1766868305208
0,0.3,1766868307868
0,0.3,1766868310410
0,0.3,1766868312993
0,0.3,1766868315537
0,0.3,1766868318044
0,0.3,1766868320604
0,0.3,1766868323261
0,0.3,1766868325835
0,0.3,1766868328425
0,0.3,1766868331096
0,0.3,1766868333779
0,0.3,1766868336338
0,0.3,1766868338908
0,0.3,1766868341463
0,0.3,1766868344013
0,0.3,1766868346613
0,0.3,1766868349326
0,0.3,1766868351903
0,0.3,1766868354702
0,0.3,1766868357304
0,0.3,1766868359888
0,0.3,1766868362510
0,0.3,1766868365074
0,0.3,1766868367603
0,0.3,1766868370226
0,0.3,1766868372809
0,0.3,1766868375444
0,0.3,1766868378006
0,0.3,1766868380642
0,0.3,1766868383236
0,0.3,1766868385956
0,0.3,1766868388533
0,0.3,1766868391128
0,0.3,1766868393637
0,0.3,1766868395240
