gpu_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,0.07,1766868245907
0,0.02,1766868248612
0,0.05,1766868251130
0,0.02,1766868253724
0,0.05,1766868256234
0,0.02,1766868258915
0,0.02,1766868261420
0,0.02,1766868263955
0,0.02,1766868266509
0,0.05,1766868269153
0,0.02,1766868271743
0,0.07,1766868274463
0,0.07,1766868277021
0,0.05,1766868279546
0,0.07,1766868282098
0,0.02,1766868284674
0,0.02,1766868287224
0,0.03,1766868289859
0,0.05,1766868292386
0,0.05,1766868294912
0,0.02,1766868297464
0,0.27,1766868300100
0,0.0,1766868302596
0,0.0,1766868305250
0,0.0,1766868307910
0,0.0,1766868310453
0,0.0,1766868313033
0,0.0,1766868315574
0,0.0,1766868318084
0,0.0,1766868320640
0,0.0,1766868323303
0,0.0,1766868325872
0,0.0,1766868328464
0,0.0,1766868331135
0,0.0,1766868333820
0,0.0,1766868336378
0,0.0,1766868338949
0,0.0,1766868341507
0,0.0,1766868344051
0,0.0,1766868346651
0,0.0,1766868349366
0,0.0,1766868351941
0,0.0,1766868354742
0,0.0,1766868357342
0,0.0,1766868359928
0,0.0,1766868362552
0,0.0,1766868365114
0,0.0,1766868367641
0,0.0,1766868370264
0,0.0,1766868372845
0,0.0,1766868375481
0,0.0,1766868378045
0,0.0,1766868380684
0,0.0,1766868383275
0,0.0,1766868385997
0,0.0,1766868388570
0,0.0,1766868391171
0,0.0,1766868393675
0,0.0,1766868395278
