memory_usage,Context.TRAINING,LoggingItemKind.SYSTEM_METRIC
0,2.6,1766868027373
0,2.7,1766868027914
0,2.7,1766868028334
0,2.7,1766868028762
0,2.7,1766868029213
0,2.7,1766868029654
0,2.7,1766868030096
0,2.7,1766868030584
0,2.7,1766868031079
0,2.7,1766868031577
0,2.7,1766868032068
0,2.7,1766868032549
0,2.7,1766868033016
0,2.7,1766868033510
0,2.7,1766868033993
0,2.7,1766868034480
0,2.7,1766868034964
0,2.7,1766868035446
0,2.7,1766868035914
0,2.7,1766868036381
0,2.7,1766868036861
0,2.7,1766868037338
0,2.7,1766868037803
0,2.7,1766868038276
0,2.7,1766868038709
0,2.7,1766868039207
0,2.7,1766868039708
0,2.7,1766868040197
0,2.7,1766868040698
0,2.7,1766868041273
0,2.7,1766868041741
0,2.7,1766868042229
0,2.7,1766868042714
0,2.3,1766868043195
0,2.3,1766868043658
0,2.3,1766868044141
0,2.3,1766868044662
0,2.4,1766868045131
0,2.4,1766868045627
0,2.4,1766868046121
0,2.4,1766868046637
0,2.4,1766868047138
0,2.4,1766868047645
0,2.4,1766868048147
0,2.4,1766868048641
0,2.5,1766868049148
0,2.5,1766868049611
0,2.5,1766868050078
0,2.5,1766868050668
0,2.5,1766868051153
0,2.5,1766868051657
0,2.5,1766868052147
0,2.6,1766868052809
0,2.6,1766868053292
0,2.6,1766868053782
0,2.7,1766868054260
0,2.6,1766868054750
0,2.6,1766868055244
0,2.7,1766868055723
0,2.6,1766868056205
0,2.7,1766868056707
0,2.7,1766868057193
0,2.7,1766868057672
0,2.6,1766868058149
0,2.7,1766868058636
0,2.7,1766868059121
0,2.7,1766868059594
0,2.7,1766868060075
0,2.7,1766868060567
0,2.7,1766868061035
0,2.7,1766868061516
0,2.7,1766868061997
0,2.7,1766868062451
0,2.7,1766868062881
0,2.7,1766868063325
0,2.7,1766868063755
0,2.7,1766868064217
0,2.7,1766868064704
0,2.7,1766868065184
0,2.7,1766868065647
0,2.7,1766868066139
0,2.7,1766868066627
0,2.7,1766868067205
0,2.7,1766868067691
0,2.7,1766868068179
0,2.7,1766868068662
0,2.7,1766868069132
0,2.7,1766868069596
0,2.7,1766868070023
0,2.7,1766868070493
0,2.7,1766868070946
0,2.7,1766868071411
0,2.7,1766868071876
0,2.7,1766868072369
0,2.7,1766868072856
0,2.7,1766868073331
0,2.7,1766868073798
0,2.7,1766868074267
0,2.7,1766868074751
0,2.7,1766868075250
0,2.7,1766868075729
0,2.7,1766868076230
0,2.7,1766868076833
0,2.7,1766868077271
0,2.7,1766868077721
0,2.7,1766868078201
0,2.7,1766868078688
0,2.7,1766868079183
0,2.7,1766868079683
0,2.7,1766868080156
0,2.7,1766868080635
0,2.7,1766868081111
0,2.7,1766868081585
0,2.7,1766868082077
0,2.7,1766868082573
0,2.7,1766868083076
0,2.7,1766868083560
0,2.7,1766868084031
0,2.7,1766868084485
0,2.7,1766868084904
0,2.7,1766868085319
0,2.7,1766868085793
0,2.7,1766868086276
0,2.7,1766868086755
0,2.7,1766868087232
0,2.7,1766868087693
0,2.7,1766868088169
0,2.7,1766868088622
0,2.7,1766868089068
0,2.7,1766868089522
0,2.7,1766868090000
